song,artist,popularity
Easy On Me,Adele,84.0
Fancy Like,Walker Hayes,77.0
Bad Habits,Ed Sheeran,86.0
Shivers,Ed Sheeran,87.0
Good 4 U,Olivia Rodrigo,87.0
Need To Know,Doja Cat,82.0
Levitating,Dua Lipa,86.0
Heat Waves,Glass Animals,92.0
Beggin',Maneskin,86.0
Cold Heart (PNAU Remix),Elton John & Dua Lipa,87.0
Traitor,Olivia Rodrigo,88.0
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,19.0
Montero (Call Me By Your Name),Lil Nas X,81.0
Chasing After You,Ryan Hurd With Maren Morris,67.0
Moth To A Flame,Swedish House Mafia & The Weeknd,55.0
Thats What I Want,Lil Nas X,84.0
Pepas,Farruko,85.0
Love Nwantiti (Ah Ah Ah),CKay,83.0
Take My Breath,The Weeknd,76.0
Happier Than Ever,Billie Eilish,87.0
Wockesha,Moneybagg Yo,68.0
Better Days,NEIKED X Mae Muller X Polo G,79.0
Ghost,Justin Bieber,88.0
Lets Go Brandon,Loza Alexander,49.0
Cold As You,Luke Combs,73.0
A-O-K,Tai Verdes,19.0
You Should Probably Leave,Chris Stapleton,83.0
Memory I Don't Mess With,Lee Brice,71.0
Bubbly,Young Thug With Drake & Travis Scott,71.0
Gyalis,Capella Grey,64.0
I Was On A Boat That Day,Old Dominion,66.0
Have Mercy,Chloe,72.0
Same Boat,Zac Brown Band,64.0
My Boy,Elvie Shane,64.0
Hurricane,Kanye West,74.0
Knowing You,Kenny Chesney,62.0
Memory,Kane Brown X blackbear,48.0
Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",68.0
Pissed Me Off,Lil Durk,56.0
Woman,Doja Cat,86.0
Sand In My Boots,Morgan Wallen,80.0
'Til You Can't,Cody Johnson,77.0
Love Again,Dua Lipa,0.0
Whiskey And Rain,Michael Ray,65.0
One Mississippi,Kane Brown,66.0
Too Easy,Gunna & Future,56.0
Esta Danada,Ivan Cornejo,77.0
Tequila Little Time,Jon Pardi,67.0
2055,Sleepy Hallow,83.0
WFM,Realestk,71.0
Praise God,Kanye West,77.0
Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",80.0
For Tonight,Giveon,71.0
Thot Shit,Megan Thee Stallion,70.0
Like A Lady,Lady A,52.0
Get Into It (Yuh),Doja Cat,79.0
Scorpio,Moneybagg Yo,64.0
Big Energy,Latto,74.0
Money,Lisa,82.0
No Friends In The Industry,Drake,73.0
Who's In Your Head,Jonas Brothers,64.0
Just About Over You,Priscilla Block,57.0
To Be Loved By You,Parker McCollum,64.0
Life Goes On,Oliver Tree,77.0
Nevada,YoungBoy Never Broke Again,73.0
Deja Vu,Olivia Rodrigo,88.0
Ex For A Reason,Summer Walker & JT,2.0
Late At Night,Roddy Ricch,70.0
Livin It Up,Young Thug With Post Malone & A$AP Rocky,72.0
Stressed,Young Thug With J. Cole & T-Shyne,51.0
Yonaguni,Bad Bunny,84.0
Champagne Poetry,Drake,77.0
You Time,Scotty McCreery,55.0
Peepin Out The Window,Young Thug With Future & BSlime,50.0
Todo de Ti,Rauw Alejandro,80.0
Summer Of Love,Shawn Mendes & Tainy,78.0
Waves,Luke Bryan,63.0
Life Support,YoungBoy Never Broke Again,59.0
Bad Morning,YoungBoy Never Broke Again,58.0
Intro (Hate On Me),Meek Mill,53.0
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,73.0
Butter,BTS,79.0
Expensive Pain,Meek Mill,48.0
On My Soul,Meek Mill,51.0
Outside (100 MPH),Meek Mill,46.0
Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",71.0
The Feels,TWICE,76.0
Love Train,Meek Mill,47.0
TSU,Drake,75.0
No Where,YoungBoy Never Broke Again,63.0
On My Side,YoungBoy Never Broke Again,56.0
Things A Man Oughta Know,Lainey Wilson,75.0
Hold Me Down,YoungBoy Never Broke Again,54.0
50 Shots,YoungBoy Never Broke Again,55.0
Smoke Strong,YoungBoy Never Broke Again,54.0
Break Or Make Me,YoungBoy Never Broke Again,58.0
Sincerely,YoungBoy Never Broke Again,53.0
I Can't Take It Back,YoungBoy Never Broke Again,53.0
Forgiato,YoungBoy Never Broke Again,52.0
Rich Shit,YoungBoy Never Broke Again,49.0
Baddest Thing,YoungBoy Never Broke Again,53.0
Pipe Down,Drake,73.0
Papi's Home,Drake,70.0
Toxic Punk,YoungBoy Never Broke Again,57.0
Moon,Kanye West,74.0
