song,artist,popularity
Stay,The Kid LAROI & Justin Bieber,-1.0
Industry Baby,Lil Nas X & Jack Harlow,-1.0
Way 2 Sexy,Drake Featuring Future & Young Thug,-1.0
Essence,Wizkid Featuring Justin Bieber & Tems,-1.0
Kiss Me More,Doja Cat Featuring SZA,-1.0
You Right,Doja Cat & The Weeknd,-1.0
Save Your Tears,The Weeknd & Ariana Grande,-1.0
If I Didn't Love You,Jason Aldean & Carrie Underwood,-1.0
My Universe,Coldplay x BTS,-1.0
Girls Want Girls,Drake Featuring Lil Baby,-1.0
Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,-1.0
Buy Dirt,Jordan Davis Featuring Luke Bryan,-1.0
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),-1.0
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,-1.0
Wild Side,Normani Featuring Cardi B,-1.0
Family Ties,Baby Keem & Kendrick Lamar,-1.0
Fair Trade,Drake Featuring Travis Scott,-1.0
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,-1.0
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",-1.0
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,-1.0
Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,-1.0
Jugaste y Sufri,Eslabon Armado Featuring DannyLux,-1.0
Volvi,Aventura x Bad Bunny,-1.0
Whole Lotta Money,BIA Featuring Nicki Minaj,-1.0
Maybach,42 Dugg Featuring Future,-1.0
Poke It Out,Wale Featuring J. Cole,-1.0
Freedom Was A Highway,Jimmie Allen & Brad Paisley,-1.0
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,-1.0
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,-1.0
In The Bible,Drake Featuring Lil Durk & Giveon,-1.0
Ain't Shit,Doja Cat,-1.0
Come Through,H.E.R. Featuring Chris Brown,-1.0
Leave Before You Love Me,Marshmello X Jonas Brothers,-1.0
Rich N***a Shit,Young Thug With Juice WRLD,-1.0
Let Somebody Go,Coldplay X Selena Gomez,-1.0
Woo Baby,Pop Smoke Featuring Chris Brown,-1.0
Flocky Flocky,Don Toliver Featuring Travis Scott,-1.0
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,-1.0
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,-1.0
Your Heart,Joyner Lucas & J. Cole,-1.0
Hot,Meek Mill Featuring Moneybagg Yo,-1.0
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,-1.0
Me (FWM),Meek Mill Featuring A$AP Ferg,-1.0
Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,-1.0
Ride For You,Meek Mill Featuring Kehlani,-1.0
Love All,Drake Featuring JAY-Z,-1.0
Rumors,Lizzo Featuring Cardi B,-1.0
N 2 Deep,Drake Featuring Future,-1.0
Scoop,Lil Nas X Featuring Doja Cat,-1.0
Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,-1.0
Lonely,DaBaby X Lil Wayne,-1.0
One Of Me,Lil Nas X Featuring Elton John,-1.0
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),-1.0
Am I Dreaming,Lil Nas X Featuring Miley Cyrus,-1.0
Don't Go Yet,Camila Cabello,-1.0
Range Brothers,Baby Keem & Kendrick Lamar,-1.0
IMY2,Drake Featuring Kid Cudi,-1.0
Yebba's Heartbreak,Drake & Yebba,-1.0
Get Along Better,Drake Featuring Ty Dolla $ign,-1.0
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,-1.0
Fountains,Drake Featuring Tems,-1.0
Fucking Fans,Drake,-1.0
AM,Nio Garcia X J Balvin X Bad Bunny,-1.0
Matt Hardy 999,Trippie Redd Featuring Juice WRLD,-1.0
Famous Friends,Chris Young + Kane Brown,-1.0
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,-1.0
Already Won,Rod Wave Featuring Lil Durk,-1.0
Betrayal,Trippie Redd Featuring Drake,-1.0
Holy Smokes,Trippie Redd Featuring Lil Uzi Vert,-1.0
You,Regard x Troye Sivan x Tate McRae,-1.0
MP5,Trippie Redd Featuring SoFaygo,-1.0
Get Ready,Rod Wave Featuring Kodak Black,-1.0
Danny Phantom,Trippie Redd Featuring XXXTENTACION,-1.0
Demon Time,Trippie Redd Featuring Ski Mask The Slump God,-1.0
Mind Of Melvin,YNW Melly Featuring Lil Uzi Vert,-1.0
Hats Off,"Lil Baby, Lil Durk & Travis Scott",-1.0
Over The Top,Smiley Featuring Drake,-1.0
my.life,"J. Cole, 21 Savage & Morray",-1.0
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",-1.0
Outside,MO3 X OG Bobby Billions,-1.0
5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",-1.0
My Ex's Best Friend,Machine Gun Kelly X blackbear,-1.0
EPMD 2,Nas Featuring Eminem & EPMD,-1.0
Lose,KSI x Lil Wayne,-1.0
Fiel,"Los Legendarios, Wisin & Jhay Cortez",-1.0
Mood,24kGoldn Featuring iann dior,-1.0
One Too Many,Keith Urban Duet With P!nk,-1.0
From The Garden,Isaiah Rashad Featuring Lil Uzi Vert,-1.0
Working,Tate McRae X Khalid,-1.0
Wants And Needs,Drake Featuring Lil Baby,-1.0
Better Believe,"Belly, The Weeknd & Young Thug",-1.0
Still Chose You,The Kid LAROI Featuring Mustard,-1.0
Bout A Million,Pop Smoke Featuring 21 Savage & 42 Dugg,-1.0
transparentsoul,Willow Featuring Travis Barker,-1.0
30,Pop Smoke Featuring Bizzy Banks,-1.0
Calling My Phone,Lil Tjay Featuring 6LACK,-1.0
Volando,"Mora, Bad Bunny & Sech",-1.0
Wasting Time,Brent Faiyaz Featuring Drake,-1.0
Cry No More,G Herbo Featuring Polo G & Lil Tjay,-1.0
Essence,Wizkid Featuring Tems,-1.0
Having Our Way,Migos Featuring Drake,-1.0
Tell Em,Cochise & $NOT,-1.0
Hot Wind Blows,"Tyler, The Creator Featuring Lil Wayne",-1.0
I Don't Do Drugs,Doja Cat Featuring Ariana Grande,-1.0
Sir Baudelaire,"Tyler, The Creator Featuring DJ Drama",-1.0
Sweet / I Thought You Wanted To Dance,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues",-1.0
RunItUp,"Tyler, The Creator Featuring Teezo Touchdown",-1.0
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,-1.0
