headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
Joshua Wong and Alex Chow: The People of Hong Kong Will Not Be Cowed by China,2019-09-01,-0.5407,0.20555555555555557,Opinion,You can arrest us. But more protesters will keep coming out.,"['Hong Kong Protests (2019)', 'Politics and Government', 'Secession and Independence Movements', 'Human Rights and Human Rights Violations', 'Extradition', 'United States International Relations']",https://www.nytimes.com/2019/08/31/opinion/hong-kong-protest-joshua-wong.html,article,Op-Ed,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.5407}"
53 People Died in Mass Shootings in August Alone in the U.S.,2019-09-01,-0.8687,0.11666666666666667,U.S.,"So far this year, there have been at least 38 shootings with three or more fatalities, data shows.","['El Paso, Tex, Shooting (2019)', 'Dayton, Ohio, Shooting (2019)', 'School Shootings and Armed Attacks', 'Mass Shootings', 'Gilroy, Calif, Shooting (2019)', 'Virginia Beach, Va, Shooting (2019)', 'Gun Control']",https://www.nytimes.com/2019/08/31/us/us-mass-shootings.html,article,News,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.8687}"
"A Very German Idea of Freedom: Nude Ping-Pong, Nude Sledding, Nude Just About Anything",2019-09-01,0.916,0.26833333333333337,World,"Germany’s nudist movement, unique in the world, has survived Hitler, Communism and Instagram. It has everything to do with wanting to be free, say nudists, and zero to do with sex.",['Nudism and Nudity'],https://www.nytimes.com/2019/08/31/world/europe/germany-nudism.html,article,News,"{'neg': 0.028, 'neu': 0.794, 'pos': 0.178, 'compound': 0.916}"
"Diana Willkie, Frank Hamilton",2019-09-01,0.0,0.16666666666666666,Fashion & Style,The couple met at a bar in 2015 and soon began dating.,['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/diana-willkie-frank-hamilton.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Edna Ishayik, Seth London",2019-09-01,0.0,0.16666666666666666,Fashion & Style,"The couple met in 2013 at a friend’s wedding in Lovettsville, Va.",['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/edna-ishayik-seth-london.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Katharine Anawalt, Harrison Gish",2019-09-01,0.4939,0.16666666666666666,Fashion & Style,"The bride and groom both graduated from Oberlin College, and met through a mutual college friend.",['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/katharine-anawalt-harrison-gish.html,article,News,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.4939}"
"Melanie Goldstein, Daniel Berenson",2019-09-01,0.0,0.16666666666666666,Fashion & Style,"The couple met at a Yom Kippur breakfast at Stanford, when both were studying at the university.",['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/melanie-goldstein-daniel-berenson.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Seanna Irvin-Anderson, Andrew Granchelli",2019-09-01,0.4939,0.16666666666666666,Fashion & Style,The couple met in December 2014 while both were strolling on the beach in the Dominican Republic during a music festival.,['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/seanna-irvin-anderson-andrew-granchelli.html,article,News,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.4939}"
How Much Will the Trade War Cost You by the End of the Year?,2019-09-01,-0.5994,0.1106060606060606,Business Day,"About $460 for the average family, according to a new economic analysis.","['International Trade and World Market', 'Customs (Tariff)', 'Prices (Fares, Fees and Rates)', 'Washing Machines and Dryers', 'United States Politics and Government', 'United States International Relations']",https://www.nytimes.com/interactive/2019/business/economy/trade-war-costs.html,multimedia,Interactive Feature,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.5994}"
"As Trump Escalates Trade War, U.S. and China Move Further Apart With No End in Sight",2019-09-01,-0.7269,0.18888888888888888,World,The standoff is upending the relationship between the world’s two largest economies.,"['United States International Relations', 'International Trade and World Market', 'Customs (Tariff)', 'United States Economy', 'United States Politics and Government']",https://www.nytimes.com/2019/09/01/world/asia/trump-trade-war-china.html,article,News,"{'neg': 0.157, 'neu': 0.787, 'pos': 0.055, 'compound': -0.7269}"
"Natalie Heer, Jeremy Cushman",2019-09-01,0.0,0.16666666666666666,Fashion & Style,"The couple met at Harvard, where both were members of the Gilbert & Sullivan Players",['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/natalie-heer-jeremy-cushman.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Julia Winn, Thomas Buckley",2019-09-01,0.0,0.16666666666666666,Fashion & Style,"The couple met at Harvard, from which both graduated.",['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/julia-winn-thomas-buckley.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Laura Sirico, MJ Schanne",2019-09-01,0.0,-0.010416666666666671,Fashion & Style,"They met at camp where he sang “Little Bunny Foo-Foo” 100 times a day, and moonlighted as the camp superhero Mr. Respectacular.",['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/laura-sirico-mj-schanne.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Natalie Reid, Ryan Lecznar",2019-09-01,0.8807,0.08333333333333333,Fashion & Style,"She swiped left both times she saw his profile on a dating site, but then mutual friends convinced her to give him a chance.",['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/natalie-reid-ryan-lecznar.html,article,News,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.8807}"
"Stephanie Hagen, Ludovic Wiart",2019-09-01,0.0,0.16666666666666666,Fashion & Style,The couple met through the dating app Tinder in Paris in July 2015.,['Weddings and Engagements'],https://www.nytimes.com/2019/09/01/fashion/weddings/stephanie-hagen-ludovic-wiart.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
