headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
Frank Martin’s Formula for Success: ‘You Figure It Out’,2017-04-01,0.9246,0.16666666666666666,Sports,The South Carolina coach has used his three weeks in the national spotlight to dispense wisdom acquired during a life spent seizing opportunities.,"['Basketball (College)', 'Coaches and Managers']",https://www.nytimes.com/2017/03/31/sports/ncaabasketball/south-carolina-frank-martin-coach.html,article,News,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.9246}"
Who’s Worth What at the White House: The Financial Disclosures,2017-04-01,0.2263,0.07777777777777778,U.S.,The Trump administration is releasing the financial disclosure forms from members of the White House staff. Follow along as we discover what they reveal.,[],https://www.nytimes.com/2017/03/31/us/politics/white-house-releases-staff-financial-disclosures.html,article,News,"{'neg': 0.0, 'neu': 0.96, 'pos': 0.04, 'compound': 0.2263}"
"Quotation of the Day: In Lawsuit After Lawsuit, It’s Everyday People v. Trump",2017-04-01,-0.4215,-0.016666666666666677,Today’s Paper,"Quotation of the Day for Saturday, April 1, 2017.",[],https://www.nytimes.com/2017/03/31/todayspaper/quotation-of-the-day-in-lawsuit-after-lawsuit-its-everyday-people-v-trump.html,article,Quote,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.4215}"
White House Ends Bar Association’s Role in Vetting Judges,2017-04-01,-0.5267,0.03333333333333333,U.S.,"The American Bar Association, which recently gave its highest rating to Judge Neil M. Gorsuch, will no longer evaluate candidates for the federal bench.","['United States Politics and Government', 'Federal Courts (US)', 'Appointments and Executive Changes']",https://www.nytimes.com/2017/03/31/us/politics/white-house-american-bar-association-judges.html,article,News,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.5267}"
An Expansive View of a Forgotten People,2017-04-01,-0.4215,0.08333333333333333,Times Insider,"One of the largest photo displays in Times history, of people who have fled Boko Haram, required an effort just as immense.",['Photography'],https://www.nytimes.com/2017/03/31/insider/niger-migrants-boko-haram-photography.html,article,News,"{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.4215}"
"And Now, the Dreaded Trump Curse",2017-04-01,-0.8126,0.16666666666666666,Opinion,Meet the gang from under the bus.,"['United States Politics and Government', 'Mines and Mining']",https://www.nytimes.com/2017/03/31/opinion/and-now-the-dreaded-trump-curse.html,article,Op-Ed,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.8126}"
"After Murder, a Second Chance",2017-04-01,-0.9709,-0.026666666666666682,Opinion,"To fix America’s prison crisis, we have to release more people convicted of violent crimes.","['Prisons and Prisoners', 'Amnesties, Commutations and Pardons', 'Murders, Attempted Murders and Homicides']",https://www.nytimes.com/2017/03/31/opinion/after-murder-a-second-chance.html,article,Editorial,"{'neg': 0.408, 'neu': 0.592, 'pos': 0.0, 'compound': -0.9709}"
"Francine Hughes Wilson, 69, Domestic Violence Victim Who Took Action, Dies",2017-04-01,-0.9403,-0.019444444444444445,U.S.,"Her case, which was the subject of “The Burning Bed,” a book and a television movie, helped transform the public’s understanding of domestic abuse.","['Domestic Violence', 'Deaths (Obituaries)']",https://www.nytimes.com/2017/03/31/us/francine-hughes-wilson-dead-burning-bed-defendant.html,article,Obituary (Obit),"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.9403}"
Oregon’s 3-Point Past Catches Up to the Present,2017-04-01,0.5719,-0.05555555555555556,Sports,"Howard Hobson, the coach when the Ducks won the 1939 N.C.A.A. title, tested the long-range shot during a scrimmage six years later. It took a while to catch on.","['NCAA Basketball Championships (Men)', 'Basketball (College)']",https://www.nytimes.com/2017/03/31/sports/ncaabasketball/oregon-3-pointer-final-four.html,article,News,"{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.5719}"
Man Who Killed Bus Driver With a Stolen Truck Is Found Guilty,2017-04-01,-0.9825,-0.11939393939393941,New York,"A jury convicted Domonic Whilby of aggravated vehicular homicide for crashing a truck into a New York City bus after a night of drinking in 2014, though they rejected murder charges.","['Murders, Attempted Murders and Homicides', 'Traffic Accidents and Safety']",https://www.nytimes.com/2017/03/31/nyregion/domonic-whilby-bus-crash-verdict.html,article,News,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.9825}"
President Trump’s Leaky Ship of State,2017-04-01,-0.6908,-0.11111111111111112,Opinion,It shouldn’t be difficult for Mr. Trump to catch those “low-life leakers.” Some of the loosest lips belong to “people close to the White House.”,"['United States Politics and Government', 'Appointments and Executive Changes']",https://www.nytimes.com/2017/03/31/opinion/president-trumps-leaky-ship-of-state.html,article,Editorial,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.6908}"
U.S. Beats Canada in Clash That Almost Didn’t Happen,2017-04-01,0.8422,0.25555555555555554,Sports,"Canadian players offered kind words during an American wage dispute, but the friendliness disappeared as the U.S. won, 2-0.","['Hockey, Ice']",https://www.nytimes.com/2017/03/31/sports/hockey/usa-canada-world-championship.html,article,News,"{'neg': 0.072, 'neu': 0.736, 'pos': 0.192, 'compound': 0.8422}"
Albany Works Overtime as Budget Deal Proves Elusive,2017-04-01,-0.5267,0.022222222222222216,New York,"Lawmakers continued to talk on Saturday, with stumbling blocks centered on issues like charter schools and raising the age of criminal responsibility.","['Budgets and Budgeting', 'State Legislatures']",https://www.nytimes.com/2017/03/31/nyregion/new-york-state-budget-andrew-cuomo.html,article,News,"{'neg': 0.122, 'neu': 0.833, 'pos': 0.044, 'compound': -0.5267}"
Venezuela’s Descent Into Dictatorship,2017-04-01,-0.4215,-0.21666666666666667,Opinion,A court ruling annulling the legislature’s authority represents a dangerous turning point for Venezuela.,['Politics and Government'],https://www.nytimes.com/2017/03/31/opinion/venezuelas-descent-into-dictatorship.html,article,Editorial,"{'neg': 0.09, 'neu': 0.872, 'pos': 0.038, 'compound': -0.4215}"
"Mexico Welcomes Possible U.S. Shift on Nafta, but Mistrust of Trump Persists",2017-04-01,0.8658,-0.026666666666666672,World,A draft letter circulating among members of Congress seems to propose keeping much of the trade agreement in place.,"['North American Free Trade Agreement', 'International Trade and World Market', 'United States Politics and Government']",https://www.nytimes.com/2017/03/31/world/americas/mexico-trump-nafta.html,article,News,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.8658}"
North Carolina’s Dominance Fails to Cover Cheating’s Stain,2017-04-01,0.1779,-0.08333333333333334,Sports,"For two decades, until 2013, North Carolina engaged in academic improprieties that benefited its student-athletes. The repercussions are still being felt.","['Basketball (College)', 'Cheating', 'NCAA Basketball Championships (Men)']",https://www.nytimes.com/2017/03/31/sports/ncaabasketball/north-carolina-final-four-cheating-fake-classes.html,article,News,"{'neg': 0.053, 'neu': 0.863, 'pos': 0.084, 'compound': 0.1779}"
President’s Growing Trade Gap: A Gulf Between Talk and Action,2017-04-01,0.5023,0.21471861471861473,U.S.,"The president said two new executive orders would “set the stage for a great revival of American manufacturing,” but they probably won’t make much difference.","['United States Politics and Government', 'United States International Relations', 'International Trade and World Market', 'North American Free Trade Agreement', 'Trans-Pacific Partnership']",https://www.nytimes.com/2017/03/31/us/politics/trump-trade-agreements-actions.html,article,News,"{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.5023}"
"For Russian Exemplar of Grace, Olympic Hopes Require It",2017-04-01,0.8779,0.009523809523809521,Sports,"Evgenia Medvedeva, 17, won her second figure skating world championship, but reaching the 2018 Olympics is contingent on the International Olympic Committee.","['Figure Skating', 'World Figure Skating Championships', 'Olympic Games', 'Doping (Sports)']",https://www.nytimes.com/2017/03/31/sports/evgenia-medvedeva-russia-figure-skating-world-championship.html,article,News,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.8779}"
White House Accepts ‘Political Reality’ of Assad’s Grip on Power in Syria,2017-04-01,0.4939,0.05333333333333333,U.S.,Remarks by the White House press secretary made it clear that President Trump has abandoned the goal of forcing President Bashar al-Assad of Syria from office.,"['United States International Relations', 'United States Politics and Government']",https://www.nytimes.com/2017/03/31/us/politics/trump-bashar-assad-syria.html,article,News,"{'neg': 0.047, 'neu': 0.841, 'pos': 0.112, 'compound': 0.4939}"
Go Gonzaga! But Who Is Gonzaga?,2017-04-01,0.3404,0.20833333333333331,Sports,"Aloysius Gonzaga, who cared for plague victims in the 16th century, is the patron saint of youth. Now you know.","['NCAA Basketball Championships (Men)', 'Basketball (College)']",https://www.nytimes.com/2017/03/31/sports/ncaabasketball/gonzaga-final-four-saint.html,article,News,"{'neg': 0.065, 'neu': 0.839, 'pos': 0.096, 'compound': 0.3404}"
The Cartoons of Jack Ziegler,2017-04-01,0.0258,0.07575757575757575,Arts,"Jack Ziegler’s satirical, silly and observational style enlivened more than 1,600 cartoons at The New Yorker.",['Cartoons and Cartoonists'],https://www.nytimes.com/slideshow/2017/03/31/arts/design/the-cartoons-of-jack-ziegler.html,multimedia,Slideshow,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.0258}"
"Jack Ziegler, Cartoonist at The New Yorker, Dies at 74",2017-04-01,0.0,0.13484848484848483,Arts,"Mr. Ziegler set his cartoons nearly anywhere — in courtrooms or boardrooms, backyards or stadiums, barrooms or churches.","['Deaths (Obituaries)', 'Cartoons and Cartoonists', 'Magazines']",https://www.nytimes.com/2017/03/31/arts/design/jack-ziegler-dead-new-yorker-cartoonist.html,article,Obituary (Obit),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
