headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
It’s Infrastructure Week!,2019-05-01,-0.3147,"{'neg': 0.118, 'neu': 0.812, 'pos': 0.07, 'compound': -0.3147}",Opinion,"Mr. Trump, here’s a fight worth having.","['Infrastructure (Public Works)', 'United States Politics and Government']",https://www.nytimes.com/2019/04/30/opinion/trump-infrastructure.html,article,Editorial
Would You Let the Police Search Your Phone?,2019-05-01,0.3094,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.3094}",Opinion,We are much more likely to give consent than we think.,"['Search and Seizure', 'Police', 'Privacy', 'Cellular Telephones']",https://www.nytimes.com/2019/04/30/opinion/police-phone-privacy.html,article,Op-Ed
Alabama Is More Pro-Immigrant Than You Think,2019-05-01,-0.7269,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.7269}",Opinion,White evangelicals are tired of letting their fear of outsiders outweigh their duties as Christians.,"['Immigration and Emigration', 'Migrant Labor (Agriculture)', 'Evangelical Movement']",https://www.nytimes.com/2019/04/30/opinion/alabama-evangelicals-immigrants.html,article,Op-Ed
"Trump, Seeking to Put Pressure on Maduro, Threatens a Full Embargo on Cuba",2019-05-01,-0.4767,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.4767}",U.S.,"Mike Pompeo, the secretary of state, said in an interview with CNN that Mr. Maduro had planned to flee to Cuba on Tuesday, but was urged by the Russian government to stay.","['United States International Relations', 'Embargoes and Sanctions']",https://www.nytimes.com/2019/04/30/us/politics/trump-maduro-cuba.html,article,News
Judge Overturns Conviction of Ex-Penn State President in Sandusky Case,2019-05-01,-0.8176,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.8176}",Sports,"The president, Graham Spanier, had been convicted on a misdemeanor charge related to failing to report the abuse of a boy by Jerry Sandusky.","['Sex Crimes', 'Child Abuse and Neglect']",https://www.nytimes.com/2019/04/30/sports/penn-state-spanier-sandusky.html,article,News
Anti-Semites Don’t Just Hate Jews. They’re Targeting Freedom.,2019-05-01,-0.4238,"{'neg': 0.117, 'neu': 0.823, 'pos': 0.06, 'compound': -0.4238}",Opinion,No wonder gunmen are coming for us.,"['ANTI-SEMITISM', 'Synagogues', 'Pittsburgh, Pa, Shooting (2018)', 'Passover', 'Jews and Judaism', 'Chabad of Poway Synagogue Shooting (2019)', 'Hate Crimes']",https://www.nytimes.com/2019/04/30/opinion/san-diego-synagogue-shooting.html,article,Op-Ed
"Corrections: May 1, 2019",2019-05-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections appearing in print on Wednesday, May 1, 2019.",[],https://www.nytimes.com/2019/04/30/pageoneplus/corrections-may-1-2019.html,article,Correction
Quotation of the Day: Who Killed Atlanta’s Children? Retesting Evidence After 40 Years,2019-05-01,-0.6705,"{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.6705}",Today’s Paper,"Quotation of the Day for Wednesday, May 1, 2019.",[],https://www.nytimes.com/2019/04/30/todayspaper/quotation-of-the-day-who-killed-atlantas-children-retesting-evidence-after-40-years.html,article,Quote
"Congressional Democrats’ Lawsuit Examining Trump’s Private Business Can Proceed, Federal Judge Says",2019-05-01,-0.4767,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.4767}",U.S.,The decision is at least a temporary victory for the president’s critics who say he is willfully flouting constitutional bans.,['Constitution (US)'],https://www.nytimes.com/2019/04/30/us/politics/trump-emoluments-clauses.html,article,News
"Peacocks, but Not Peahens",2019-05-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Crosswords & Games,Joel Fagliano springs a pop quiz on us.,['Crossword Puzzles'],https://www.nytimes.com/2019/04/30/crosswords/daily-puzzle-2019-05-01.html,article,News
