ID,song,artist,track_length,track_popularity,valence,danceability,energy,loudness,tempo
46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,224694,83,0.13,0.604,0.366,-7.519,141.981
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,141805,86,0.478,0.591,0.764,-5.484,169.928
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,212000,82,0.894,0.736,0.704,-7.409,149.995
58UKC45GPNTflCN6nwCUeF,Fancy Like,Walker Hayes,161853,77,0.855,0.647,0.765,-6.459,79.994
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,230746,86,0.537,0.807,0.893,-3.745,126.011
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),Drake,257604,78,0.331,0.803,0.597,-6.035,136.008
50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,207853,87,0.822,0.788,0.859,-2.724,141.02
4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,178146,87,0.688,0.563,0.664,-5.044,166.928
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,210560,82,0.194,0.664,0.609,-6.509,130.041
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,203064,86,0.915,0.702,0.825,-3.787,102.977
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),Wizkid,248040,75,0.602,0.849,0.707,-6.002,104.027
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),Doja Cat,208666,83,0.781,0.764,0.705,-3.463,110.97
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,238805,92,0.531,0.761,0.525,-6.9,80.87
3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,211560,86,0.589,0.714,0.8,-4.808,134.002
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Elton John,202735,87,0.942,0.796,0.798,-6.312,116.032
0k4d5YPDr1r7FX77VdqWez,You Right,Doja Cat,186173,82,0.436,0.828,0.621,-6.414,128.986
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,215626,89,0.644,0.68,0.826,-5.487,118.051
1WQ40xJSvgDmD9K7ckJwux,If I Didn't Love You,Jason Aldean,212030,72,0.483,0.456,0.679,-4.802,184.075
5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,229226,88,0.0849,0.38,0.339,-7.885,100.607
3FeVmId7tL5YN8B7R3imoM,My Universe,Coldplay,228000,81,0.443,0.588,0.701,-6.39,104.988
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,THE ANXIETY,162680,78,0.399,0.773,0.47,-7.93,94.995
1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,137704,81,0.71,0.593,0.503,-6.725,178.781
3MkXV52jXtsG4pvKp4cGE8,Chasing After You,Ryan Hurd,207666,68,0.446,0.601,0.675,-6.358,131.933
37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),Drake,221979,78,0.381,0.767,0.438,-8.726,86.975
0VO8gYVDSwM1Qdd2GsMoYK,Moth To A Flame (with The Weeknd),Swedish House Mafia,234000,83,0.105,0.553,0.659,-7.295,120.146
3qwnYfT6vhs5gNRjXSLAwR,Let's Go Brandon,Bryson Gray,224697,40,0.522,0.908,0.702,-3.688,137.013
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,Lil Nas X,143901,84,0.546,0.737,0.846,-4.51,87.981
5fwSHlTEWpluwOM0Sxnh5k,Pepas,Farruko,287120,85,0.442,0.762,0.766,-3.955,130.001
2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,145800,83,0.533,0.727,0.739,-3.805,93.005
2vgUijXOTRMnWXDtvgMp2b,Take My Breath,The Weeknd,339023,76,0.354,0.698,0.769,-7.154,121.02
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,298899,87,0.297,0.332,0.225,-8.697,81.055
0nqhKXDjsyBMvbeWmgijD0,Wockesha,Moneybagg Yo,180930,68,0.771,0.582,0.537,-9.229,82.103
6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,160656,79,0.699,0.717,0.671,-5.077,110.054
69AIpwGNLxr4qS1X5ynx60,Buy Dirt,Jordan Davis,167480,83,0.437,0.586,0.559,-6.725,177.945
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,153190,88,0.441,0.601,0.741,-5.569,153.96
36fpGAf7yaHajJP2QhHsPF,Lets Go Brandon,Loza Alexander,140979,49,0.0654,0.693,0.54,-8.044,176.056
7IWV29mryrqtO0JVgnPtfv,Cold As You,Luke Combs,186106,73,0.328,0.598,0.846,-4.956,144.04
2xdSF7JRootmerTeradyGb,A-O-K,Various Artists,171880,19,0.812,0.73,0.643,-6.51,82.496
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,Chris Stapleton,213493,83,0.552,0.602,0.477,-8.425,183.89
4wBjKhJx6JnGoNJfJs24pd,Thinking 'Bout You (feat. MacKenzie Porter),Dustin Lynch,170560,77,0.801,0.403,0.711,-4.189,203.803
1zYZs8Vbjhbzx5M3olcRnm,Memory I Don't Mess With,Lee Brice,180616,71,0.57,0.617,0.704,-7.61,91.541
4KDNRh9Oor80z3XIxdWlui,Bubbly (with Drake & Travis Scott),Young Thug,165066,71,0.599,0.91,0.585,-7.572,129.011
2vXgyN14LX2zl7JEASw242,Wild Side (feat. Cardi B),Normani,209476,70,0.315,0.74,0.576,-6.744,110.095
7wpyrkjEgz7W1vNYDxMKrF,GYALIS,Capella Grey,105377,64,0.756,0.666,0.643,-7.01,96.375
7u6kAP26NFU2rwNKjFUpI8,I Was On a Boat That Day,Old Dominion,178680,65,0.767,0.541,0.903,-4.746,139.981
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),Baby Keem,252262,84,0.144,0.711,0.611,-5.453,134.093
5SixeLvPsYpk7qq9lo5xYg,Have Mercy,Chlöe,148778,72,0.508,0.903,0.535,-6.434,130.022
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),Drake,291175,86,0.292,0.666,0.465,-8.545,167.937
4HD9SLK4s9rwRyuFt3n8N7,Same Boat,Zac Brown Band,190451,64,0.664,0.486,0.838,-5.407,171.963
47fyYjbsfq48e3fUys4Xaa,My Boy,Elvie Shane,203381,64,0.542,0.686,0.566,-5.977,146.042
6Hfu9sc7jvv6coyy2LlzBF,Hurricane,Kanye West,243187,74,0.351,0.587,0.561,-6.569,80.009
1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),Blxst,161684,75,0.605,0.571,0.767,-5.16,93.421
33N9JGkr9McbbPEMgUjqPj,Baddest,Yung Bleu,202247,57,0.452,0.712,0.703,-6.174,89.024
2EEfUuBRZA4Ax1vYcluFS0,Knowing You,Kenny Chesney,226266,62,0.187,0.557,0.565,-6.12,125.956
34chhNX59Wo9HMFCsI3K8Y,Memory,Kane Brown,153337,71,0.845,0.434,0.889,-5.684,113.326
67wUHsoXdZ8UOLt6rodpQ9,Cold Beer Calling My Name,Jameson Rodgers,210560,68,0.788,0.585,0.863,-4.061,147.931
25GyyK9CyZRiDCsPY51fIT,Not In The Mood (feat. Fivio Foreign & Kay Flock),Lil Tjay,150475,67,0.357,0.545,0.82,-4.489,141.908
52nTQQahs46s1iHFQ3Wv5Q,Pissed Me Off,Lil Durk,123076,56,0.223,0.723,0.516,-10.707,155.967
6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,172626,86,0.881,0.824,0.764,-4.175,107.998
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,Morgan Wallen,202133,80,0.414,0.403,0.537,-6.628,69.877
4k3lPl8YTKuY8c1HelVnm3,'Til You Can't,Cody Johnson,224213,77,0.46,0.501,0.815,-4.865,160.087
6yBvrDFnF63zk0Zmu5Rd3J,Love Again,Various Artists,258004,0,0.468,0.659,0.667,-4.668,115.982
1tf4Bfk8JIKryLpWYRvyiI,Whiskey And Rain,Michael Ray,206506,65,0.718,0.653,0.623,-4.56,100.021
4FdPnT2cFrpWCmWZd7GXc3,One Mississippi,Kane Brown,213718,66,0.539,0.471,0.846,-5.269,100.089
4c7LkE1lSNj3RR4cZo0jEi,Switches & Dracs (with Lil Durk feat. EST Gee),Moneybagg Yo,133631,60,0.521,0.772,0.563,-8.188,160.064
3NqBxTOMCJ3zW9CIP51td4,Jugaste y Sufrí,Eslabon Armado,275194,80,0.34,0.39,0.499,-7.778,200.156
1t55dGrBkLvKDzNa9QJ3LV,too easy,Gunna,138453,65,0.293,0.798,0.572,-6.627,155.933
6G2xXQRSZlEzYsUEb3uvuR,Está Dañada,Ivan Cornejo,214148,77,0.166,0.405,0.565,-9.266,159.892
2vmfvSoZBFAt9hhRoEByLi,Volví,Aventura,230125,81,0.791,0.725,0.86,-3.726,175.896
15npbUjCgwt2lRvyrJvyxw,Tequila Little Time,Jon Pardi,207161,67,0.855,0.757,0.705,-5.084,104.972
67G6iaOw8DZqp1z8STR89R,WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA,229601,67,0.591,0.893,0.463,-5.301,81.026
