0,1
"['""alexis ohanian""', '""ronda rousey fight""', '""hollyweed""', '""ronda rousey""', '""happy new year 2017""', '""2016 best nine""', '""rose bowl""', '""mariah carey""', '""amanda nunes""', '""rose bowl 2017""', '""debbie reynolds""', '""ufc 207""', '""mariah carey new years eve performance""', '""serena williams""', '""clemson football""', '""happy new year""', '""ohio state football""', '""todd fisher""', '""sugar bowl""', '""penn state football""', '""alabama football""', '""eddie fisher""', '""fuller house cast""', '""ohio state""', '""betty white""']","['""+3,050%""', '""+2,350%""', '""+2,000%""', '""+1,700%""', '""+1,400%""', '""+1,200%""', '""+1,150%""', '""+1,100%""', '""+1,050%""', '""+1,050%""', '""+900%""', '""+850%""', '""+850%""', '""+800%""', '""+750%""', '""+650%""', '""+550%""', '""+500%""', '""+500%""', '""+450%""', '""+450%""', '""+400%""', '""+400%""', '""+350%""', '""+350%""']"
"['""golden globes""', '""meryl streep""', '""golden globes 2017""', '""ft lauderdale airport""', '""esteban santiago""', '""school closing""', '""clemson vs alabama""', '""golden globe winners""', '""nfl playoffs 2017""', '""charles manson""', '""the night manager""', '""derrick rose""', '""google classroom""', '""soulja boy""', '""kahoot""', '""donald glover""', '""classroom""', '""fort lauderdale""', '""quizlet""', '""nfl playoff bracket""', '""ed sheeran""', '""dylann roof""', '""hidden figures""', '""schoology""', '""cool math""']","['""+2,850%""', '""+1,900%""', '""+1,850%""', '""+1,750%""', '""+1,750%""', '""+1,500%""', '""+1,150%""', '""+800%""', '""+500%""', '""+450%""', '""+400%""', '""+350%""', '""+350%""', '""+350%""', '""+300%""', '""+300%""', '""+300%""', '""+300%""', '""+300%""', '""+300%""', '""+200%""', '""+200%""', '""+200%""', '""+190%""', '""+170%""']"
"['""eddie long""', '""john lewis""', '""bishop eddie long""', '""a series of unfortunate events""', '""cowboys game""', '""the bye bye man""', '""obama farewell address""', '""family tree now""', '""sleepless""', '""katelyn nicole davis video""', '""nintendo switch""', '""nfl playoff schedule 2017""', '""bye bye man""', '""live by night""', '""patriots day""', '""monster trucks""', '""steve harvey""', '""chiefs""', '""martin luther king jr""', '""patriots""', '""kansas city chiefs""', '""atlanta falcons""', '""super bowl 2017 date""', '""rex tillerson""', '""cowboys""']","['""+1,600%""', '""+1,400%""', '""+1,050%""', '""+800%""', '""+700%""', '""+650%""', '""+650%""', '""+600%""', '""+600%""', '""+600%""', '""+550%""', '""+550%""', '""+500%""', '""+500%""', '""+500%""', '""+400%""', '""+350%""', '""+350%""', '""+350%""', '""+300%""', '""+300%""', '""+300%""', '""+250%""', '""+250%""', '""+250%""']"
"['""yordano ventura""', '""barron trump""', '""trump inauguration speech""', '""melania trump""', '""who is the president of the usa""', '""who is the president""', '""miguel ferrer""', '""tpp""', '""betsy devos""', '""melania trump inaugural gown""', '""richard spencer""', '""melania trump age""', '""sean spicer""', '""womens march""', '""how old is melania trump""', '""trump inauguration""', '""ivanka trump""', '""what time is the inauguration""', '""inauguration""', '""ivana trump""', '""cnn live""', '""oscar nominations 2017""', '""australian open""', '""kellyanne conway""', '""www.facebook""']","['""+2,050%""', '""+2,050%""', '""+1,650%""', '""+1,500%""', '""+1,400%""', '""+1,200%""', '""+1,100%""', '""+1,000%""', '""+950%""', '""+950%""', '""+900%""', '""+900%""', '""+850%""', '""+750%""', '""+600%""', '""+600%""', '""+550%""', '""+500%""', '""+450%""', '""+400%""', '""+400%""', '""+350%""', '""+350%""', '""+300%""', '""+300%""']"
"['""mary tyler moore""', '""john hurt""', '""sally yates""', '""miss universe 2017""', '""new edition""', '""cash me outside how bow dah""', '""ronnie devoe""', '""pro bowl""', '""pro bowl 2017""', '""mary tyler moore show""', '""steve bannon""', '""emmett till""', '""doomsday clock""', '""aclu""', '""beauty blender""', '""brooke payne""', '""dick van dyke""', '""wwe network""', '""wheresmyrefund""', '""irs refund status""', '""chinese new year 2017""', '""resident evil 7""', '""gmail sign in""', '""when is the super bowl""', '""carmelo anthony""']","['""Breakout""', '""+3,650%""', '""+1,600%""', '""+1,300%""', '""+1,150%""', '""+1,100%""', '""+950%""', '""+950%""', '""+800%""', '""+750%""', '""+700%""', '""+700%""', '""+650%""', '""+650%""', '""+550%""', '""+450%""', '""+400%""', '""+200%""', '""+180%""', '""+170%""', '""+150%""', '""+140%""', '""+130%""', '""+120%""', '""+120%""']"
"['""bowling green massacre""', '""lady gaga super bowl 2017""', '""super bowl score""', '""superbowl score""', '""lady gaga""', '""beyonce pregnant 2017""', '""84 lumber""', '""what time does the superbowl start""', '""super bowl 2017 time""', '""jamie lynn spears""', '""who won the superbowl""', '""groundhog day 2017""', '""melissa mccarthy""', '""irs.gov refund""', '""neil gorsuch""', '""tom brady""', '""tom brady wife""', '""groundhog day""', '""frederick douglass""', '""what channel is the superbowl on""', '""what time is the super bowl""', '""milo yiannopoulos""', '""superbowl""', '""kristen stewart""', '""beyonce""']","['""+3,850%""', '""+2,800%""', '""+2,450%""', '""+2,250%""', '""+2,200%""', '""+1,850%""', '""+1,800%""', '""+1,750%""', '""+1,300%""', '""+1,200%""', '""+1,100%""', '""+1,000%""', '""+950%""', '""+750%""', '""+750%""', '""+750%""', '""+750%""', '""+750%""', '""+700%""', '""+700%""', '""+700%""', '""+650%""', '""+600%""', '""+600%""', '""+600%""']"
"['""oroville dam""', '""charles oakley""', '""grammys""', '""grammys 2017""', '""joy villa""', '""happy valentines day""', '""fab melo""', '""verizon unlimited""', '""the strange thing about the johnsons""', '""happy valentines day images""', '""michael flynn""', '""valentines day quotes""', '""adele""', '""verizon unlimited data""', '""chance the rapper""', '""george michael""', '""valentines""', '""john wick 2""', '""john wick""', '""valentines day""', '""school closings""', '""bruno mars""', '""danielle bregoli""', '""lego batman movie""', '""50 shades darker""']","['""Breakout""', '""+3,350%""', '""+3,200%""', '""+2,950%""', '""+2,400%""', '""+2,300%""', '""+1,400%""', '""+1,400%""', '""+1,200%""', '""+1,150%""', '""+1,000%""', '""+1,000%""', '""+800%""', '""+750%""', '""+550%""', '""+500%""', '""+350%""', '""+350%""', '""+350%""', '""+350%""', '""+350%""', '""+250%""', '""+250%""', '""+200%""', '""+200%""']"
"['""demarcus cousins""', '""all star game""', '""fist fight""', '""nba all star game 2017""', '""a cure for wellness""', '""milo yiannopoulos""', '""future new album""', '""darrelle revis""', '""the great wall""', '""mama june new look""', '""presidents day""', '""nascar""', '""irs.gov refund""', '""irs.gov""', '""pewdiepie""', '""wheres my refund""', '""wheresmyrefund""', '""irs refund status""', '""babocush""', '""nba trade rumors""', '""oscars 2017""', '""irs""', '""powerball""', '""daylight savings 2017""', '""easter 2017""']","['""+1,000%""', '""+900%""', '""+700%""', '""+550%""', '""+500%""', '""+500%""', '""+400%""', '""+400%""', '""+350%""', '""+300%""', '""+250%""', '""+130%""', '""+100%""', '""+100%""', '""+100%""', '""+90%""', '""+90%""', '""+70%""', '""+70%""', '""+70%""', '""+60%""', '""+60%""', '""+60%""', '""+60%""', '""+50%""']"
"['""bill paxton""', '""oscar winners""', '""giraffe giving birth""', '""oscars""', '""remy ma""', '""oscars 2017""', '""casey affleck""', '""neil fingleton""', '""moonlight""', '""mahershala ali""', '""emma stone""', '""nicki minaj""', '""collide""', '""cpac""', '""rock dog""', '""academy awards 2017""', '""get out movie""', '""national margarita day""', '""daytona 500""', '""oscar nominees 2017""', '""manchester by the sea""', '""get out""', '""hacksaw ridge""', '""mama june""', '""la la land""']","['""Breakout""', '""+2,250%""', '""+2,150%""', '""+1,650%""', '""+1,550%""', '""+1,450%""', '""+950%""', '""+850%""', '""+600%""', '""+600%""', '""+550%""', '""+550%""', '""+500%""', '""+450%""', '""+400%""', '""+400%""', '""+350%""', '""+300%""', '""+300%""', '""+250%""', '""+250%""', '""+180%""', '""+170%""', '""+150%""', '""+140%""']"
"['""snap stock""', '""jeff sessions""', '""before i fall""', '""ufc 209""', '""logan movie""', '""nfl combine""', '""deadpool 2""', '""kevin durant""', '""logan""', '""the shack""', '""dancing with the stars 2017""', '""nintendo switch""', '""snap""', '""ufc""', '""ash wednesday""', '""daylight savings 2017""', '""beauty and the beast""', '""ihop""', '""nfl""', '""hotmail sign in""', '""april the giraffe""', '""weather radar""', '""snapchat""', '""dr seuss""']","['""+1,350%""', '""+700%""', '""+550%""', '""+500%""', '""+450%""', '""+400%""', '""+400%""', '""+300%""', '""+300%""', '""+250%""', '""+250%""', '""+250%""', '""+130%""', '""+130%""', '""+100%""', '""+90%""', '""+90%""', '""+80%""', '""+70%""', '""+70%""', '""+50%""', '""+50%""', '""+50%""', '""+50%""']"
