date,DJIA_percent_change,trends_bert_sum,trends_bert_mean,trends_vader_mean,trends_vader_sum,trends_textblob_mean,trends_textblob_sum,NYT_vader,NYT_textblob,NYT_flair,NYT_bert,whole_song_vader,song_mean_by_sentence_vader,song_mean_by_sentence_without_0_vader,whole_song_textblob,song_by_sentence_without_0_textblob,song_bert,song_flair,WEIGHTED_whole_song_score,WEIGHTED_mean_by_sentence_song_score,WEIGHTED_mean_without_0_by_sentence_song_score,WEIGHTED_tb_whole_song,WEIGHTED_tb_song_by_sentence,WEIGHTED_tb_song_by_sentence_without_0,WEIGHTED_bert,WEIGHTED_flair,,vader,textblob,textblob_full,vader_full
1/3/17,0.010078242,-1.251681983,-0.050067279,0.055956,1.3989,0.130909091,3.272727273,0.022296622,0.071347053,0.059468429,0.011698801,0.342644,0.058717405,0.113224206,0.102330329,0.118448238,3.330889383,0.132211426,0.346191283,0.058468301,0.112700409,0.108016498,0.045995225,0.124024521,3.597214101,0.091059729,,1.095073458,1.118784351,1.036156958,1.06846245
1/10/17,-0.003925931,-4.271749616,-0.170869985,0.031796,0.7949,0.067333333,1.683333333,0.087536508,0.094456349,0.007536067,0.054493264,0.282988,0.048846632,0.085448719,0.075832646,0.087923541,3.197612319,0.018187199,0.315919805,0.053936598,0.099118343,0.08519775,0.037470649,0.097302973,3.486711152,-0.009069534,,1.068608524,1.082278755,1.026796198,1.065111839
1/17/17,-0.002949476,-13.03508681,-0.521403472,0.005624,0.1406,-0.021212121,-0.53030303,0.034522159,0.092090328,0.046848101,0.034319873,0.24816,0.039356385,0.070404304,0.072616219,0.084230845,3.180948054,0.057724767,0.282875891,0.043809376,0.083093351,0.081238155,0.035957755,0.092516479,3.433035639,0.035991853,,1.052017735,1.101198297,1.0280266,1.056437135
1/24/17,0.013264304,2.774017632,0.110960705,0,0,0.009454545,0.236363636,0.019754913,0.064662778,-0.089692084,-0.054306772,0.313874,0.046611237,0.091588635,0.086640109,0.098249304,3.214145358,0.095629327,0.343877401,0.050085105,0.098743374,0.093071711,0.039853029,0.104948278,3.521329992,0.068947719,,1.057749244,1.085144621,1.032332966,1.056547118
1/31/17,-0.001112027,-7.994503856,-0.319780154,-0.050028,-1.2507,-0.018484848,-0.462121212,0.028894118,0.08608561,-0.02180335,0.033067432,0.29395,0.04505506,0.090661791,0.080233825,0.095805595,3.190644186,0.108502529,0.32383388,0.048548793,0.098918292,0.087103131,0.038584265,0.103588252,3.501793867,0.084611966,,1.074470472,1.085319036,1.028910405,1.057785619
2/7/17,0.009763994,-4.093242466,-0.163729699,0.11878,2.9695,0.058666667,1.466666667,-0.025818994,0.081002179,-0.091978076,-0.073717951,0.397111,0.054598829,0.113099671,0.093411946,0.114321764,3.236636251,0.090160969,0.449192117,0.062372835,0.128502155,0.10557401,0.047414105,0.127307354,3.556382163,0.070567704,,1.091607933,1.099804828,1.036379634,1.065118508
2/14/17,0.017197398,2.436474979,0.097458999,0.089448,2.2362,0.094,2.35,0.058297248,0.073156736,0.086926557,0.06788089,0.344772,0.055539812,0.110314021,0.092687966,0.111704641,3.227970508,0.088777893,0.38707897,0.062110137,0.122311715,0.101602706,0.044502093,0.122460944,3.529949483,0.088505379,,1.126496202,1.107917143,1.034552367,1.067043924
2/21/17,0.009495355,-5.432894289,-0.217315772,0.02734,0.6835,0.008181818,0.204545455,0.006594709,0.06895276,0.125484578,0.014642663,0.415443,0.058202148,0.117517879,0.085400246,0.102642422,3.219632647,0.077700514,0.461155036,0.065401111,0.131537316,0.094748504,0.040193475,0.111881254,3.508982711,0.065930793,,1.101377392,1.090481605,1.034344875,1.065100359
2/28/17,0.008757143,3.559927642,0.142397106,0.047932,1.1983,0,0,0.058428042,0.069557119,-0.001128097,0.013371323,0.380286,0.049646731,0.100777496,0.075004034,0.090776493,3.212367881,0.145366615,0.428271568,0.056546894,0.114009857,0.085017433,0.036150409,0.103533454,3.549791878,0.135520195,,1.912658703,1.175251524,1.024795571,1.059017097
3/7/17,-0.00491461,-8.607940197,-0.358664175,0.0244125,0.5859,0,0,0.043177778,0.065890821,-0.224364296,-0.142418973,0.347911,0.048057688,0.096886435,0.077959609,0.091592993,3.212717414,0.033159288,0.400771031,0.055656063,0.110821438,0.088406723,0.035997163,0.104573456,3.5687637,0.023000166,,1.787738273,1.085523678,1.023465239,1.055650633
