real_date_trends_songs,vader_mean,vader_sum,vader_weighted_mean,vader_weighted_sum,textblob_mean,textblob_sum,textblob_weighted_mean,textblob_weighted_sum,date, value,day_of_week_x,change,percent_change,_merge,Open,High,Low,Close,Adj Close,Volume,day_of_week_y,change_VTI,percent_change_VTI,change_adj,percent_change_adj,nyt_vader_mean,nyt_vader_sum,nyt_textblob_mean,nyt_textblob_sum,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0
1/3/17,0.055956,1.3989,41.5778,1039.445,0.130909091,3.272727273,143.8272727,3595.681818,1/6/17,19963.8,Friday,201.2,0.010078242,both,117.019997,117.519997,116.639999,117.230003,104.913101,2317600,Friday,1.910003,0.016292783,1.709312,0.016292646,0.036672049,32.9315,0.081493523,73.18118371,0.363558763,0.062742534,0.120276294,0.102398677,0.046485743,0.120066339
1/10/17,0.031796,0.7949,17.41816,435.454,0.067333333,1.683333333,75.44666667,1886.166667,1/13/17,19885.73,Friday,-78.07,-0.003925931,both,116.989998,117.400002,116.980003,117.220001,104.904152,2031800,Friday,-0.010002,-8.53E-05,-0.008949,-8.53E-05,0.06561834,79.0701,0.080998278,97.60292446,0.309067347,0.052592557,0.09207265,0.07532708,0.036647669,0.088603932
1/17/17,0.005624,0.1406,-8.6876,-217.19,-0.021212121,-0.53030303,-26.43939394,-660.9848485,1/20/17,19827.25,Friday,-58.48,-0.002949476,both,116.839996,117.230003,116.589996,116.910004,104.62674,2636100,Friday,-0.309997,-0.002651587,-0.277412,-0.002651445,0.042616098,52.4178,0.077941574,95.86813578,0.273528571,0.04290863,0.076721206,0.072045012,0.035371328,0.084835874
1/24/17,0,0,0,0,0.009454545,0.236363636,4.581818182,114.5454545,1/27/17,20093.78,Friday,266.53,0.013264304,both,118.449997,118.480003,118.019997,118.160004,105.745415,1479500,Friday,1.25,0.010578876,1.118675,0.010578946,0.030436242,36.28,0.069687119,83.06704638,0.340583673,0.050311541,0.098337871,0.086355104,0.039526384,0.099140424
1/31/17,-0.050028,-1.2507,-96.1898,-2404.745,-0.018484848,-0.462121212,2.681818182,67.04545455,2/3/17,20071.46,Friday,-22.32,-0.001112027,both,117.989998,118.519997,117.919998,118.419998,105.978073,1837600,Friday,0.259994,0.002195524,0.232658,0.002195341,0.033411365,43.8023,0.096455567,126.4532477,0.320253061,0.048723605,0.097392111,0.079818079,0.037726861,0.096646844
2/7/17,0.11878,2.9695,198.9896,4974.74,0.058666667,1.466666667,90.53333333,2263.333333,2/10/17,20269.37,Friday,197.91,0.009763994,both,119.290001,119.699997,119.209999,119.540001,106.980392,1837800,Friday,1.120003,0.009369274,1.002319,0.009369184,0.044273236,51.4455,0.090206708,104.8201952,0.425519388,0.058462145,0.120287908,0.093265141,0.043161185,0.115540893
2/14/17,0.089448,2.2362,156.651,3916.275,0.094,2.35,184.8,4620,2/17/17,20624.05,Friday,354.68,0.017197398,both,120.660004,121.309998,120.660004,121.309998,108.56443,1948400,Friday,1.769997,0.014590694,1.584038,0.014590764,0.085689932,113.1964,0.085871946,113.4368408,0.372112245,0.059422331,0.117445408,0.092526386,0.040889516,0.11287036
2/21/17,0.02734,0.6835,6.8662,171.655,0.008181818,0.204545455,-9.272727273,-231.8181818,2/24/17,20821.76,Friday,197.71,0.009495355,both,121.379997,121.989998,121.239998,121.980003,109.16404,2962900,Friday,0.670005,0.005492745,0.59961,0.005492743,0.027949659,32.8129,0.069435426,81.51718973,0.424166327,0.05983969,0.121184196,0.083780878,0.036908729,0.101614361
2/28/17,0.047932,1.1983,77.9398,1948.495,0,0,0,0,3/3/17,21005.71,Friday,183.95,0.008757143,both,122.629997,122.800003,122.330002,122.75,109.853157,1651200,Friday,0.769997,0.006272888,0.689117,0.006273074,0.057259477,72.2042,0.082919143,104.5610391,0.408061224,0.05150284,0.105571577,0.072773,0.031986861,0.08939357
3/7/17,0.0244125,0.5859,2.197125,52.731,0,0,0,0,3/10/17,20902.98,Friday,-102.73,-0.00491461,both,122.190002,122.25,121.459999,122.040001,109.217743,2987300,Friday,-0.709999,-0.005817756,-0.635414,-0.005817864,0.043710851,52.3656,0.075998642,91.04637266,0.37502551,0.049881369,0.101601107,0.075788893,0.032073583,0.090226734
