date,song,artist,lyrics
11/6/2021,Fair Trade,Drake Featuring Travis Scott,"Yeah
(Senseless sight to see)
Yeah
(Senseless sight to see)
Ayy
Feelin' young but they treat me like the OG
And they want the tea on me, I swear these bitches nosy
Said he put some money on my head, I guess we gon' see
I won't put no money on his head, my niggas owe me
I gotta be single for a while, you can't control me
Uno, dos, tres, in a race, they can't hold me
And I show my face in a case so you know it's me
Imitation isn't flattery, it's just annoyin' me
And I'm too about it
And the dirt that they threw on my name
Turned to soil and I grew up out it
Time for y'all to figure out what y'all gon' do about it
Big wheels keep rollin', rollin'
I'm outside, 29, G5, seaside
I been losin' friends and findin' peace
But honestly, that sound like a fair trade to me
If I ever heard one and I'm still here
Outside, frontline, Southside
I've been losin' friends and findin' peace
Honestly, that sound like a fair trade to me
Look, don't invite me over if you throw another pity party
Lookin' back, it's hard to tell you where I started
I don't know who love me, but I know that it ain't everybody
I can never love her, she a busy body
Baby, if you want me, can't be turnin' up with everybody, nah
Can't be fuckin' on just anybody, yeah
I got feelings for you, that's the thing about it, yeah
You know that, it's somethin' when I sing about it, yeah
Momma used to be on disability but gave this ability
And now she walkin' with her head high and her back straight
I don't think you feelin', I'm out here
Bein' everything they said I wouldn't be and couldn't be
I don't know what happened to them guys that said they would be
I still see you at the top and they misunderstood me
I hold no resentment in my heart, that's that maturity
And we don't keep on us anymore, it's with security
I'm outside (yeah), 29 (yeah), G5, seaside
I've been losin' friends and findin' peace
But honestly, that sound like a fair trade to me
If I ever heard one and I'm still here
Outside, frontline, Southside (Southside)
I've been losin' friends and findin' peace
Honestly, that sound like a fair trade to me
I don't understand why you blame me
Take me as I am, it's the same me (I'm trying)
Senseless sight to see
Senseless sight to see (outside)
Rollin' in a Rolls and ain't no safety
Ridin', engine revvin'
Gotta roll over to you gotta get my release
Spread your legs downtown as I'm going out to eat
You can hear the raw sounds when it rock up in your sleep
I'ma roll on her 'fore I let her roll on me
Split this one down the middle, wake up in a harmony (sick)
Worried sick, I'm sick of worryin' (sick, sick)
It's just a worryin', I'd rather bury them
I'm talkin' fake friends and skeletons (yeah)
Early morning, shoulder rubs and lawyer signed the settlement
I'm never settling this shit get darker then my melanin
At the crib all by myself, this shit been cavin' in
Scrolling through my call log by emojis how I'm saving 'em
Del Mar as the beach where my hoe was but I favorite them
That butterfly emoji hold me down and all my babies dem
Backwood in your face, won't push away, he got the K on him
I broke bread instead of watchin' niggas break down (break it)
They sent a couple bitches too like I'm from Cape Town
Know they position, you know ass up with the face down (let's go)
I'm never content, two mil' an event, I get it frequent
I'm make an expense, to me it's just sense
I'm droppin' the top, no tint for the whip
I'm dropping the top 'cause bro tried to spin
She dropping the top she back again
Fuck her 'cause she at the crib again, company
I let it slide when I really should slid
After all the shit I did
Look at how they repaying me back
Now fall out my real
Tell me, what kind of payment is that?
I put that on my kid and my trust
Yeah, it is what it is
I'm outside, 29, G5, (ah-ah-ah), seaside
I been losing friends and finding peace
But honestly that sounds like a fair trade to me
If I ever heard one then I'm still here
Outside, front line, Southside
I been losing friends and finding peace
Honestly, that sounds like a fair trade to me
I don't understand why you blame me
Take me as I am, it's the same me
Senseless sight to see
Senseless sight to see
Up on a mountain (up on a mountain)
Search through the valley (search through the valley)
You hear me calling (you hear me calling)
Won't you come find me? (Won't you come find me?)
Please don't forsake me (please don't forsake me)
All of a sudden (all of a sudden)
My heart is breaking (breaking)
I feel it coming, I, I"
11/6/2021,In The Bible,Drake Featuring Lil Durk & Giveon,"Okay, okay
Okay
Countin' up my bodies, damn, that thing just start to pile
Judge me how you judge me, take them bitches out to trial
Fucked a hundred niggas, how them niggas love you now?
You don't know love, you don't love me like my child
Lay your ass down, then that liquor get you fired up
Turn up every day, girl, it don't say that in the Bible
Can't give it up 'cause you love the lifestyle
Told the girls to meet at Tao
Now y'all doin' shots, now them bitches got you fired up
Don't know who you talking 'bout, I put that on the Bible
Turnin' up on me, don't make me turn it back around
And you know
Think I'm Tiger Woods, the way I'm teed off the 17
And you know pockets on whatever jeans, forever green
And you know, told me lotta things but ain't say everything
But now I know, every single thing there was plenty things I didn't know
Plenty things you didn't say, was fuckin' with you anyway
Was fuckin' with you way before you had some confessions to make
You decide to take it to the grave, I know you gon' take it
And you know (and you know, and you know)
Okay, okay
Okay
Countin' up my bodies, damn, that thing just start to pile
Judge me how you judge me, take them bitches out to trial
Fucked a hundred niggas, how them niggas love you now?
You don't know love, you don't love me like my child
Lay your ass down, then that liquor get you fired up
Turn up every day, girl, it don't say that in the Bible
Can't give it up 'cause you love the lifestyle
Okay, okay, okay
Trenches bitch, I got her a salon
Gucci and Pucci, it's deep in her budget
She hittin' up Virgil for Louis Vuitton
It's not in the Bible to wife off one girl
I'm Muslim, I go by Quran
The way I be smilin' and holdin' my gun
She think I be mimickin' Von, Grandson
She only play me in the whip, India Royale cosmetic
I'm just promoted my bitch
Drake song do a billion streams for sure, I'm just promotin' her shit
Nasty with it, take her to Sono Bello and get her some massive titties
Fashion nigga, Rhude call when they drop, might send my addy with it
Bitch left me and I'm glad she did it
Know I be testin' bitches
Back to back, I'm wrestlin' with 'em
Lean' voice, I'm raspy with it
I did my dance one time on TikTok and went viral with it
Mm-hmm, mm (yeah, yeah), mm-hmm, mm (yeah-yeah, yeah-yeah)
Mm-hmm, mm (yeah-yeah)
Mm-hmm, mm (yeah-yeah)
Okay, okay
Okay
Countin' up my bodies, damn, that thing just start to pile
Judge me how you judge me, take them bitches out to trial
Fucked a hundred niggas, how them niggas love you now?
You don't know love, you don't love me like my child
Lay your ass down, then that liquor get you fired up
Turn up every day, girl, it don't say that in the Bible
Can't give it up 'cause you love the lifestyle
You've been on my mind
We've been spendin' time, but I'm scared
A good girl inside (a good girl inside)
But you're tainted every time that I'm there (tainted)
Here we are now and it's crazy, how my flaws down to you, baby
You love, you trust, you trust
I'm not what you think
Don't be proud of me
I'm not what you feel
And you gon' see it real soon
I'm not what you think
Don't be proud of me
I'm not what you feel
And when you see the real, will you still want me?"
10/16/2021,Love All,Drake Featuring JAY-Z,"Previously on Ready To Die
Never had a lot, this is all I need
People never care 'til it's R.I.P.
Niggas turned they back on me for no good reason
Loyalty is priceless and it's all I need
Can't burn a bridge just to light my way
Lotta '42 on the flights I'm taking
Pouring out my soul and it might sound crazy
Lotta falling outs help me build foundation
Never had a lot, this is all I need
People never care 'til it's R.I.P.
Niggas turned they back on me for no good reason
Never had a lot, this is all I need
Lost individuals is all I see
Grab the top spot like ""pardon my reach""
Woke up one day and it was all on me
If it comes down, it's gon' fall on me
Lotta '42 on the flights I'm taking
Long way down from the heights I'm chasing
Just touched down, I was lights out in Vegas
Girls checking in 'cause my lifestyle dangerous
Hard to tell people that I'm all out of favors
Call me for songs or they call me for paper
Turning off my phone for the night now, baby
Pouring out my soul and it might sound crazy
Some of my niggas don't love me
We should sit down before shit turns ugly
We should sit down since you said things about me
Never had a lot, this is all I need
People never care 'til it's R.I.P.
Niggas turned they back on me for no good reason
Loyalty is priceless and it's all I need
Can't burn a bridge just to light my way
Lotta '42 on the flights I'm taking
Pouring out my soul and it might sound crazy
Lotta falling outs help me build foundation
Never had a lot, this is all I need
People never care 'til it's R.I.P.
Niggas turned they back on me for no good reason
Niggas wanted to kill me and y'all still with 'em
Nigga, y'all chill with 'em, and y'all wonder why we not friends?
Best thing I can do is not build with you
When I could destroy you, that takes some fucking discipline
I could send a team to come drill you, I got a billion or two
And I know where the fuck you live
Niggas gotta chill with talking gangsta
You should just thank us, humble yourselves a little bit
This ain't the same Shawn that you knew once
I don't shine shoes, uh
This ain't what you want, no
All that back and forth on the internet
Nigga, we don't tennis that
Y'all gotta do something, yeah
Only thing we 'spect now is violence
Anything besides this, we playing violins, uh
I'm public enemy
Niggas wanted to kill me, and y'all want me to be friendly
Niggas want sympathy after they wanted to end me
Be those closest to it, be the very ones that envy
Shout out to the family
I don't want no friends no more, not many understand me
Everybody want something
You know the price of everything but the value of nothing
But everybody want something
You know the price of everything but the value of nothing
Never had a lot, this is all I need
People never care 'til it's R.I.P.
Niggas turned they back on me for no good reason
Loyalty is priceless and it's all I need
Can't burn a bridge just to light my way
Lotta '42 on the flights I'm taking
Pouring out my soul and it might sound crazy
Lotta falling outs help me build foundation
Never had a lot, this is all I need
People never care 'til it's R.I.P.
Niggas turned they back on me for no good reason"
9/25/2021,IMY2,Drake Featuring Kid Cudi,"I think that's what life is about
Truly finding yourself
And then closin' your eyes and dyin' in your sleep
Lifted are my days, my dreams are vivid colors (woo)
The jet is low, they make me take your trips, we fly by (let's go)
No stress is on my brain, no worries here, I'm chosen (yeah, yeah)
Made another way, my nigga, watch me go shine
When I close my eyes, my world comes alive (yeah)
La-la-la-la-la-la
People grow, good times sometimes (nigga)
Real niggas in life survive (yeah)
And I'm sailin' to the edge of my mind
Nigga, double up life (yeah, yeah)
Set the tempo, got a nympho on my line (yeah-yeah)
Said she wanna unwind (she do)
And I'm focused on gettin' more
They too stuck on gettin' even, I'm ready for it
We should really be together more
'Cause I know we got some time but I'm never sure
Catch me ten-toes in the limelight (yeah)
Fuck the world up, on my life, right
Sayin' I'm the one, she lie, lie
She checkin' for me, now baby come in my dreams, my dreams (yeah)
Whoa, whoa, whoa, whoa, whoa, whoa
Hey-ayy, hey-ayy, hey-yeah
Whoa-whoa, whoa-whoa, whoa, whoa, whoa, whoa
Finding myself as the days
Fly by like us on the move
You told me I was a phase
Okay, fine, I miss you too
Probably wouldn't believe me if I told you
Pieces of myself that I should never lose
All these people that love you don't know you
How am I supposed to move?
Hey-ayy, hey-ayy, hey-yeah
How am I supposed to move?
All my niggas rally 'round me
Bold niggas gettin' real italics 'round me
Finally circled, found the purple
Undisclosed amounts straight from Universal
Too commercial, 'leven years later, I done found my purpose
Here I am, oh, they mad
Goin' out swingin' for 'em, goin' out sad
Catch me ten-toes in the limelight (yeah)
Fuck the world up, on my life, right
Sayin' I'm the one, she lie, lie
She checkin' for me, now baby come in my dreams, my dreams (yeah)
Whoa, whoa, whoa, whoa, whoa, whoa
Hey-ayy, hey-ayy, hey-yeah
Whoa-whoa, whoa-whoa, whoa, whoa, whoa, whoa
Finding myself as the days
Fly by like us on the move
You told me I was a phase
Okay, fine, I miss you too
Probably wouldn't believe me if I told you
Pieces of myself that I should never lose
All these people that love you don't know you
How am I supposed to move?
Gettin' more
We should really be together more
But I'm never sure"
9/4/2021,Betrayal,Trippie Redd Featuring Drake,"Hit it (hit it)
(PinkGrillz)
Paper planes (paper planes), Novocaine (Novocaine)
Mary Jane (yeah)
Say one thing to me, you Texas toast, no Raising Cane's
I can't lie, life's good, man, I can't complain (yeah)
Walkin' through the hood undoubtedly without a stain
Hopped off the porch, I'm a prodigy, they know the name
Had to run it up like my prophecy financial gain (PinkGrillz)
If you ain't with me, you against me, then get out the way (woah)
We be spinnin' on you and your people, dancin' on your grave
Keep them choppers like Resident Evil, we dress like Blood Range
Rocked out, American eagle, hoodie got blood stains
And my brother whippin' up them kilos, I told him ""Fuck the game""
Twin Glocks, Max Payne, kickin' shit, Johnny Cage
Ices out at Johnny Dang, beat shit, Liu Kang
Flamin' shit, Liu Kang, brand new day (PinkGrillz)
Brand new K, ballin' like 2K
I swear I been betrayed ('trayed)
One too many times (times)
Too many to count (count), yeah
All them nights I prayed
Solid how I stayed (stayed)
No matter how they played it, I still don't mind (woah, yeah)
There's too many to count (ayy, ayy, PinkGrillz)
Times I been betrayed, fuck is that about?
Paper plane, Laker game, Novocaine (Novocaine)
Head shot, Drizzy, man, you know the aim (grrrt)
Niggas prayin' that I spare 'em like a bowling lane (woo, woo)
Yeah, like Mike (like Mike)
Corleone (Corleone), sporty flow (sporty flow)
I done done it all, it's like I'm Shawty Lo (shawty)
All these fools I'm beefin' that I barely know
45, 44 (burned out), let it go
Ye ain't changin' shit for me, it's set in stone
Rollin' stones, heavy stones (PinkGrillz)
Precious stone, let me make my presence known
Paper planes (paper planes), Novocaine (Novocaine)
Mary Jane (yeah)
Say one thing to me, you Texa's toast, no Raising Cane's
I can't lie, life's good, man, I can't complain (yeah)
Walkin' through the hood undoubtedly without a stain
Hopped off the porch, I'm a prodigy, they know the name
Had to run it up like my prophecy, financial gain (PinkGrillz)
If you ain't with me, you against me, then get out the way (yeah, woah)"
9/4/2021,Holy Smokes,Trippie Redd Featuring Lil Uzi Vert,"Yeah, yeah
Holy fuckin' smokes, I got my money up (cash)
Countin' all these bands, took me a while just to damn run it up
Multi millions, I fill a hundred up
All this cash on me but I still can't buy love
Put the hunduns in the Chanel, got my racks up
See a bag for this shit like a acrobat, nigga, get your stacks up
Got two accounts, still got millions in my backup
All this cash on me, but this money still won't buy love
You can't fit my racks in an arena
White cup filled with purple stuff, it look like Frieza
Bro and them got hit with that subpoena
Better keep they mouth shut or we're gonna have to clean up
Throwin' money up like I'm nauseous
Baby girl, I'm exhausted
Baby, be cautious
Know the streets be talkin'
Every day, walk with a check and a motherfuckin' target
Every day, makin' money every way, hang with them bosses
Holy fuckin' smokes, I got my money up (cash)
Countin' all these bands, took me a while just to damn run it up
Multi millions, I fill a hundred up
All this cash on me but I still can't buy love
Put the hunduns in the Chanel, got my racks up
See a bag for this shit like a acrobat, nigga, get your stacks up
Got two accounts, still got millions in my backup
All this cash on me, but this money still won't buy love
All this damn dick fillin' her tummy up (yeah)
I done fucked your bitch and her best friend in front of her
How the fuck you ain't never get your money up?
I just spent me a hundred thousand, I treat it like it's 20 bucks
I'm a Leo, now watch how I fuck the summer up
Your girl got my name tatted, she swear she won't get a cover up
If he want smoke with me, that's another blunt
All different kinds
Every girl fine
Can't make my mind
Holy fuckin' smokes, I got my money up (cash)
Countin' all these bands, took me a while just to damn run it up
Multi millions, I fill a hundred up
All this cash on me but I still can't buy love
Put the hunduns in the Chanel, got my racks up
See a bag for this shit like a acrobat, nigga, get your stacks up
Got two accounts, still got millions in my backup
All this cash on me, but this money still won't buy love"
9/4/2021,MP5,Trippie Redd Featuring SoFaygo,"I'm too far gone (ah)
Yeah
Hop out a GT3 with an MP5 (bah)
Yeah, I got ice like Alaska, jet to Dubai (on gang, yeah)
Had to spread my wings to teach 'em all how to fly (yeah)
Yeah, you niggas square divided by pi
Yeah, rolling 'round, three GMC's, 'bout to be a drive-by (brrah)
But lil' homie know what's up with me
Talk down, you gon' die (you gon' die)
Keep that forty on my lap, I spent like twenty-four on my wrist (woo)
When you see me out in LA, just know I'm balling like Kobe (woo)
I've been number one, bitch, don't need no trophy
Know we crackheads, pass me the rock and I be balling like Kobe
Rolling down the 101, not no Zoey
I stay stacking with my twin for the win, Zack & Cody
You niggas be hating, Mister Moseby (Mister Moseby ass nigga)
Stackin' it up on lowkey (stack, stack, stack)
Stackin' up, rackin' up, triple OG (woo, stack)
Don't stress, stay blessed (yeah)
Get away from the phony (yeah, yeah, yeah)
Hop out a GT3 with an MP5 (bah)
Yeah, I got ice like Alaska, jet to Dubai (on gang, yeah)
Had to spread my wings to teach 'em all how to fly (yeah)
Yeah, you niggas square divided by pi
Yeah, rolling 'round, three GMC's, 'bout to be a drive-by (brrah)
But lil' homie know what's up with me
Talk down, you gon' die (you gon' die)
Keep that forty on my lap, I spent like twenty-four on my wrist (woo)
When you see me out in LA, just know I'm balling like Kobe (woo)
Light that shit up (go)
Walk in the spot, I'ma pipe that shit up (yeah, yeah)
Yeah, them niggas hatin' my swag, them niggas so bitter (yeah)
I thought I told them lil' niggas
I'm hard hitter (taking that shit to the heart)
Yeah, I thought I told you lil' niggas
I'm go getter (tell them lil' niggas, on God)
Pressure don't matter, like how could you fold nigga? (How could you, bitch? Oh my God)
Yeah, how could you let the hate sit in your soul, nigga? (How could that sit in your soul?)
Yeah, shorty a demon, a real soul switcher (oh my God, how did you know?)
Young nigga stepping on toes (go)
Handle that shit like you grown (go)
Doin' this shit on my lone, aye
I got that bag by my own
Fuck it, I'm in the zone
Ghost, like nigga I'm gone
Hop in that Ghost, I'm ghost, on God
Hop out a GT3 with an MP5 (bah)
Yeah, I got ice like Alaska, jet to Dubai (on gang, yeah)
Had to spread my wings to teach 'em all how to fly (yeah)
Yeah, you niggas square divided by pi
Yeah, rolling 'round, three GMC's, 'bout to be a drive-by (brrah)
But lil' homie know what's up with me
Talk down, you gon' die (you gon' die)
Keep that forty on my lap, I spent like twenty-four on my wrist (woo)
When you see me out in LA, just know I'm balling like Kobe (woo)"
6/12/2021,Solid,Young Thug & Gunna Featuring Drake,"Ayy
Slip, slide, tryna provide for me
For me
For me

Find me somewhere out in London, you know that's the hideaway
I need some head and some moral support from you right away
Since I been makin' donations, see you like United Way, you know how I do
Stories you told me 'bout him, I can see that it's night and day, he told me the truth
Walkin' from here to my bedroom, it feel like it's miles away, there's too many rooms

And I'm still hard body, I don't fear nobody
Phantom whips, I'm ridin', all my friendships solid
I get big deposits, all my whips exotic

Revvin' the engine, whoa
City dependin', I gotta finish it
I want opinions, why? She want a demon, yeah
She want a ring or some sort of arrangement, yeah
Somethin' that's dangerous
I wanna change it, I wanna claim it, yeah
I want it painted, yeah
She quick to say, ""No"", 'cause she know she a diamond, uh
She gettin' quiet, uh
She on a diet, she want a massage, yeah
Tryna get intimate, ayy
Bank account never diminishin', yeah
Niggas are changing they images, yeah
Niggas act hard but they innocent, yeah
Hop in a tank and move militant
Yeah, yeah, yeah, yeah

Find me somewhere out in London, you know that's the hideaway
I need some head and some moral support from you right away
Since I been makin' donations, see you like United Way, you know how I do
Stories you told me 'bout him, I can see that it's night and day, he told me the truth
Walkin' from here to my bedroom, it feel like it's miles away, there's too many rooms

And I'm still hard body, I don't fear nobody
Phantom whips, I'm ridin', all my friendships solid
I get big deposits, all my whips exotic

Trunk on the engine, I'm on a mission
The Bronco two-fifty, I'm out your division
I got 'em excited, know it's been a lil' minute
I left her delighted, man, I love all her Chrome Hearts
These suckers despised it, the touch is the Midas
She said, ""F*ck me and cum,"" I just do it like Loverboy Nike
Ordered the jet just for you and your friends
Chauffeur you 'round in that big body Benz
Got a lil' bitch that came up from nothing
We shoppin' in London and doin' it big
Been in private but we out in public
I know we the topic for you and your kids
Life's Monopoly, goin' broke not a option
If they could've stopped it, they would've been did
They would've been dead, she could be the wig
Don't play with my head, don't you test my emotions
Don't be textin' my phone every day, I'ma leave it on read
I'm diggin' and strokin'
My new bitch pussy wet like a ocean, I need a new spread
The solid one chosen
Young Gunwunna stay focused, I can't let 'em put me on edge

No, they cannot put me on edge
I just bust down my wrist and it's rose gold and it's ahead
I just put pointers on fingers
I just counted ten million, all cash, and got head from the feds
Woo, yeah, I just told 'em if he play then we stoppin' the growth of they dreads (stoppin')
I just had talk with the peppermint Porsch
That I'm never gon' drive 'em this year (skrr, skrr, skrr, skrr)
Feel the panoramic doors, we got fours and deuces, toast
I'm the big dog of my coast (whoa)
Micro minis with the scopes (uh)
Ain't tellin' this bitch my goals (my goals)
Had her livin' at the Montrose (Montrose)
I'ma peep, but a player not poor (yeah)
I been thinkin' 'bout selling my soul (woo)
Take me out the country and drop me in apartments, she won't see me cry
I just put macaroni cheese in my pocket, it came with the sides
I just put twenty mil' inside a escrow, I don't give a f*ck 'bout your life
You had a bust, but that shit was too little, I promise you never was hot"
5/15/2021,Sorry Not Sorry,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy","Ah-ah
Oh-woah
Sorry, not sorry, don't mind me
I'm livin' the dream, livin' the dream, yeah
Came from nothin', whoever thought that we would be
Livin' the dream? Livin' the dream, yeah
We The Best Music
Another one
DJ Khaled
Hear ye, hear ye, only kings stand near me
Silicon Valley money mixed with Henny, that's Effendi
Half a century almost, sliced the green like a lawnmower
'Til we all on, never fall off, hear a boss talk
You don't hear me? That's your loss
Winner in life, fuck a coin toss
I'm coin-based, basically cryptocurrency Scarface
Join us, there's gotta be more of us
I'm from the ghetto, what location? Two seconds from the Devil
I live heavenly in Cabo, with a Mexican sombrero
Drink heavily, health is wealth (health is wealth)
Look at wealthy me, wipe your nose, HSTRY my type of clothes
Miss me with the hate, helped so many people get cake
Whips and cream for the crew, no other weed, that thing faster
The time I spit this, I started some other business (some other business)
Came from the pitchin' (came from the pitchin')', 'caine in the kitchen
Dangerous missions, wastin' your time if you want my forgiveness (forgiveness)
Sorry, not sorry, don't mind me
I'm livin' the dream, livin' the dream, yeah
Came from nothin', whoever thought that we would be
Livin' the dream? Livin' the dream, yeah
Sorry, that's another B
Haters still ain't recover from the other B
Mmm, that's a double B
Nah, that's a triple B, can't forget 'bout the other Bey (hey)
It's the white gloves for me
Hater know not to touch me, I'm with the fuckery (fuck with me)
Humbly (humbly), nah, respectfully
I'm a project baby, fuck y'all expect from me? (Technically)
'Merica's disrespect for me
You killed Christ, you created religion, unexpectedly
Circular ice on Japanese whiskey, on my mezzanine
Overlookin' the City of Angels, the angel invested in things
Unprecedented run (facts)
Everybody's gettin' bands, we just dance to different drums
I like who I've become
Intermittin' fastin', but these mil's, I'm not missin' none, sorry
Sorry, not sorry, don't mind me
I'm livin' the dream, livin' the dream, yeah
Came from nothin', whoever thought that we would be
Livin' the dream? Livin' the dream, yeah
La-la, la-la, la, la-la (oh, oh-oh, oh)
La, la, la-la (oh, oh-oh, oh)
La, la, la-la (oh, oh-oh, oh-oh)
La, la, la-la
La, la, la-la (oh, oh-oh, oh-oh)
La, la, la-la (oh, oh-oh, oh-oh)
La, la, la-la (oh, oh-oh, oh-oh, oh-oh, oh-oh, oh)"
5/8/2021,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,"CashMoneyAP
Get 'em, get 'em, get 'em, oh
Oh (I'm tryna fuckin' get 'em), oh (I'm tryna fuckin' get 'em)
Oh, oh (get 'em), oh
Oh (gettin' big on this), oh, oh, oh
Oh, oh, oh, oh
Oh, oh, oh
What do you want? Won't tell you twice, yeah
I'm a thief in the night (thief in the night), oh
I did some wrongs (oh, oh), but I'm always right (oh, oh)
Said, ""I know how to shoot"" (oh), and I know how to fight
If I tell you once, won't tell you twice
I'm real discreet, like a thief in the night
Look, if I call you bae, you bae for the day
Or bae for the night, you not my wife
She want a killer to fuck all night
I wanna fuck on a thot, gimme head all night
AP, big rocks, in the hood with the 'rillas
Five K on the dinner, bring 300 thou' to the dealer
I did some wrongs (oh, oh), but I'm always right (oh, oh)
Said, ""I know how to shoot"" (oh), and I know how to fight
If I tell you once, won't tell you twice
I'm real discreet, like a thief in the night
Baby
I'm rich but I'm ridin' and I'm low on exotic
I'm 'bout to fly out and go get me some
Nothin' ain't seen, all this money on me
Hunnid racks in the bag, that's a honey bun
Baby OG, I been runnin' these streets
Got the game fully shine on my momma's son
Learn 'bout the triple cross when I was young
And I know I ain't goin' so I keep a gun
I flew to Paris just to buy some Dior
She beggin' for attention, I don't see her
C.I.P. Pop, I wish that you could see us
Million cash plus whenever I go re-up
I got some niggas in the street, wanna beat me
I got the industry tryna be me
I just go Ray Charles, they can't see me
I'm in the Rolls Royce with a RiRi
I did some wrongs (oh, oh), but I'm always right (oh, oh)
Said, ""I know how to shoot"" (oh), and I know how to fight
If I tell you once, won't tell you twice
I'm real discreet, like a thief in the night
Yeah, like a thief in the night (thief)
I pull up, give her D for the night (uh-huh)
Tryna fuck in the V, it's aight (let's fuck)
We can't fuck up my seats 'cause they white
(That's my seats, watch my motherfuckin' seats)
I'm livin' like Thriller, I only come out at the night time
She don't fuck with liquor, don't like bein' tipsy
She don't do the Henny, just white wine (what she do?)
Pop the cork on some new Pinot Grigio (yeah)
I pull up in the Porsche wit' a freaky hoe (zoom)
Park the Porsche and pull up in a Lambo' (hmph)
I hop out, Major Payne, rockin' camo (yessir)
Think she cute, make her fuck, watch her man go (she cute)
Like to shoot, light you up, bitch, I'm Rambo
Cuban link full of rocks, it's a choker (oh)
Rest in peace to the Pop, make me smoke ya
I did some wrongs (oh), but I'm always right (oh, oh)
Said, ""I know how to shoot"" (oh), and I know how to fight
If I tell you once, won't tell you twice
I'm real discreet, like a thief in the night"
