,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,"[{'label': 'NEU', 'score': 0.9452081322669983}]","[{'label': 'NEU', 'score': 0.9380334615707397}]","[{'label': 'NEU', 'score': 0.9016368389129639}]","[{'label': 'NEU', 'score': 0.9400241374969482}]","[{'label': 'POS', 'score': 0.9903964996337891}]","[{'label': 'POS', 'score': 0.9526457786560059}]","[{'label': 'NEU', 'score': 0.8777199387550354}]","[{'label': 'NEU', 'score': 0.8934277892112732}]","[{'label': 'NEU', 'score': 0.9438005685806274}]","[{'label': 'NEU', 'score': 0.9065219759941101}]","[{'label': 'NEU', 'score': 0.900743305683136}]","[{'label': 'NEU', 'score': 0.9356188774108887}]","[{'label': 'NEU', 'score': 0.6599701642990112}]","[{'label': 'NEU', 'score': 0.9345780611038208}]","[{'label': 'NEU', 'score': 0.9567961692810059}]","[{'label': 'POS', 'score': 0.9909091591835022}]","[{'label': 'NEU', 'score': 0.9612054228782654}]","[{'label': 'NEU', 'score': 0.9271542429924011}]","[{'label': 'NEU', 'score': 0.9122371673583984}]","[{'label': 'NEU', 'score': 0.9597341418266296}]","[{'label': 'NEU', 'score': 0.963908314704895}]","[{'label': 'NEU', 'score': 0.9173902273178101}]","[{'label': 'NEU', 'score': 0.9610520601272583}]","[{'label': 'NEU', 'score': 0.9561338424682617}]","[{'label': 'NEU', 'score': 0.8987745642662048}]",
1,"[{'label': 'NEU', 'score': 0.6170374155044556}]","[{'label': 'NEU', 'score': 0.9091403484344482}]","[{'label': 'NEU', 'score': 0.7971261739730835}]","[{'label': 'NEU', 'score': 0.9501264095306396}]","[{'label': 'NEU', 'score': 0.9409937262535095}]","[{'label': 'NEU', 'score': 0.7426469326019287}]","[{'label': 'NEU', 'score': 0.9687735438346863}]","[{'label': 'POS', 'score': 0.7795879244804382}]","[{'label': 'NEU', 'score': 0.9522168040275574}]","[{'label': 'NEU', 'score': 0.9250121712684631}]","[{'label': 'NEU', 'score': 0.9321557879447937}]","[{'label': 'NEU', 'score': 0.929276704788208}]","[{'label': 'NEU', 'score': 0.8777848482131958}]","[{'label': 'NEU', 'score': 0.8743703961372375}]","[{'label': 'NEU', 'score': 0.8823124766349792}]","[{'label': 'NEU', 'score': 0.9184660911560059}]","[{'label': 'NEU', 'score': 0.8719562292098999}]","[{'label': 'NEU', 'score': 0.9321140646934509}]","[{'label': 'NEU', 'score': 0.8711199164390564}]","[{'label': 'NEU', 'score': 0.9605526328086853}]","[{'label': 'NEU', 'score': 0.7551864981651306}]","[{'label': 'NEU', 'score': 0.9363835453987122}]","[{'label': 'NEU', 'score': 0.916364312171936}]","[{'label': 'NEU', 'score': 0.9390591382980347}]","[{'label': 'POS', 'score': 0.8903955817222595}]",
2,"[{'label': 'NEU', 'score': 0.8980967402458191}]","[{'label': 'NEU', 'score': 0.9281912446022034}]","[{'label': 'NEU', 'score': 0.926582932472229}]","[{'label': 'NEG', 'score': 0.6426931023597717}]","[{'label': 'NEU', 'score': 0.9411688446998596}]","[{'label': 'NEU', 'score': 0.6799272298812866}]","[{'label': 'NEU', 'score': 0.8817419409751892}]","[{'label': 'NEU', 'score': 0.951898992061615}]","[{'label': 'NEU', 'score': 0.7899625897407532}]","[{'label': 'NEU', 'score': 0.9654198884963989}]","[{'label': 'NEU', 'score': 0.5177159905433655}]","[{'label': 'NEU', 'score': 0.966742217540741}]","[{'label': 'NEG', 'score': 0.6587381362915039}]","[{'label': 'NEU', 'score': 0.8808256983757019}]","[{'label': 'POS', 'score': 0.7470887899398804}]","[{'label': 'NEU', 'score': 0.8327396512031555}]","[{'label': 'NEU', 'score': 0.8871414065361023}]","[{'label': 'NEU', 'score': 0.8835607767105103}]","[{'label': 'NEU', 'score': 0.8981230854988098}]","[{'label': 'NEU', 'score': 0.7200286388397217}]","[{'label': 'NEU', 'score': 0.951572597026825}]","[{'label': 'NEU', 'score': 0.940571129322052}]","[{'label': 'NEU', 'score': 0.8542011380195618}]","[{'label': 'NEU', 'score': 0.9329843521118164}]","[{'label': 'NEU', 'score': 0.9043014049530029}]",
3,"[{'label': 'NEU', 'score': 0.949648916721344}]","[{'label': 'NEU', 'score': 0.8666921257972717}]","[{'label': 'NEU', 'score': 0.9125537872314453}]","[{'label': 'NEU', 'score': 0.769961416721344}]","[{'label': 'NEU', 'score': 0.9514898061752319}]","[{'label': 'NEU', 'score': 0.9206602573394775}]","[{'label': 'NEU', 'score': 0.9506995677947998}]","[{'label': 'NEU', 'score': 0.9149207472801208}]","[{'label': 'NEU', 'score': 0.8850350379943848}]","[{'label': 'NEU', 'score': 0.9729878306388855}]","[{'label': 'NEU', 'score': 0.9411723613739014}]","[{'label': 'NEU', 'score': 0.8516577482223511}]","[{'label': 'NEU', 'score': 0.939309298992157}]","[{'label': 'NEU', 'score': 0.9416521191596985}]","[{'label': 'NEU', 'score': 0.9675766229629517}]","[{'label': 'NEU', 'score': 0.8388028144836426}]","[{'label': 'NEU', 'score': 0.9227277040481567}]","[{'label': 'NEU', 'score': 0.9683251976966858}]","[{'label': 'NEU', 'score': 0.8924330472946167}]","[{'label': 'NEU', 'score': 0.887589156627655}]","[{'label': 'NEU', 'score': 0.9211696982383728}]","[{'label': 'NEU', 'score': 0.9285768270492554}]","[{'label': 'NEU', 'score': 0.9143432974815369}]","[{'label': 'NEU', 'score': 0.9525570869445801}]","[{'label': 'NEU', 'score': 0.9277939200401306}]",
4,"[{'label': 'NEU', 'score': 0.9378900527954102}]","[{'label': 'NEG', 'score': 0.867940366268158}]","[{'label': 'NEU', 'score': 0.9390587210655212}]","[{'label': 'NEU', 'score': 0.9193567633628845}]","[{'label': 'NEU', 'score': 0.8946929574012756}]","[{'label': 'NEU', 'score': 0.9412785172462463}]","[{'label': 'NEU', 'score': 0.9067457914352417}]","[{'label': 'NEU', 'score': 0.8309105038642883}]","[{'label': 'NEU', 'score': 0.916232705116272}]","[{'label': 'NEU', 'score': 0.9519011378288269}]","[{'label': 'NEU', 'score': 0.9423269033432007}]","[{'label': 'NEU', 'score': 0.9419069290161133}]","[{'label': 'NEU', 'score': 0.571408748626709}]","[{'label': 'NEU', 'score': 0.8948683738708496}]","[{'label': 'NEU', 'score': 0.9124082922935486}]","[{'label': 'NEU', 'score': 0.9311313629150391}]","[{'label': 'NEU', 'score': 0.8783285021781921}]","[{'label': 'NEU', 'score': 0.9117388129234314}]","[{'label': 'NEU', 'score': 0.49601995944976807}]","[{'label': 'NEU', 'score': 0.9018767476081848}]","[{'label': 'NEU', 'score': 0.900962233543396}]","[{'label': 'NEU', 'score': 0.8313730955123901}]","[{'label': 'NEU', 'score': 0.9519599080085754}]","[{'label': 'NEU', 'score': 0.9073916673660278}]","[{'label': 'NEU', 'score': 0.9551485180854797}]",
5,"[{'label': 'NEG', 'score': 0.7309762239456177}]","[{'label': 'NEU', 'score': 0.8550980687141418}]","[{'label': 'NEU', 'score': 0.8981481194496155}]","[{'label': 'NEU', 'score': 0.9211425185203552}]","[{'label': 'NEU', 'score': 0.8906130790710449}]","[{'label': 'NEU', 'score': 0.8968560099601746}]","[{'label': 'NEU', 'score': 0.9351809024810791}]","[{'label': 'NEU', 'score': 0.962579071521759}]","[{'label': 'NEU', 'score': 0.5774164199829102}]","[{'label': 'NEU', 'score': 0.909072756767273}]","[{'label': 'NEU', 'score': 0.9124691486358643}]","[{'label': 'NEG', 'score': 0.5007072687149048}]","[{'label': 'NEU', 'score': 0.9454261064529419}]","[{'label': 'NEU', 'score': 0.9094926118850708}]","[{'label': 'NEU', 'score': 0.9292969107627869}]","[{'label': 'NEU', 'score': 0.9388376474380493}]","[{'label': 'NEU', 'score': 0.9508236050605774}]","[{'label': 'NEU', 'score': 0.5303642749786377}]","[{'label': 'NEU', 'score': 0.9555824398994446}]","[{'label': 'NEU', 'score': 0.9421126842498779}]","[{'label': 'NEU', 'score': 0.9540460109710693}]","[{'label': 'NEU', 'score': 0.9563198089599609}]","[{'label': 'NEU', 'score': 0.882030189037323}]","[{'label': 'NEU', 'score': 0.9369359612464905}]","[{'label': 'NEU', 'score': 0.7339999675750732}]",
6,"[{'label': 'NEU', 'score': 0.9348725080490112}]","[{'label': 'NEU', 'score': 0.9258247017860413}]","[{'label': 'NEU', 'score': 0.8862766623497009}]","[{'label': 'NEU', 'score': 0.8708508014678955}]","[{'label': 'POS', 'score': 0.6203961968421936}]","[{'label': 'POS', 'score': 0.9921548962593079}]","[{'label': 'NEU', 'score': 0.6115432977676392}]","[{'label': 'POS', 'score': 0.5110862851142883}]","[{'label': 'NEU', 'score': 0.8622247576713562}]","[{'label': 'POS', 'score': 0.992100179195404}]","[{'label': 'NEU', 'score': 0.9297511577606201}]","[{'label': 'NEU', 'score': 0.7924693822860718}]","[{'label': 'NEU', 'score': 0.8337110280990601}]","[{'label': 'POS', 'score': 0.7307610511779785}]","[{'label': 'NEU', 'score': 0.6987446546554565}]","[{'label': 'NEU', 'score': 0.9325898289680481}]","[{'label': 'NEU', 'score': 0.6800022721290588}]","[{'label': 'NEU', 'score': 0.9040889143943787}]","[{'label': 'NEU', 'score': 0.8875924944877625}]","[{'label': 'POS', 'score': 0.4989575445652008}]","[{'label': 'NEG', 'score': 0.7500380277633667}]","[{'label': 'NEU', 'score': 0.6130886673927307}]","[{'label': 'NEU', 'score': 0.9500791430473328}]","[{'label': 'NEU', 'score': 0.5325393080711365}]","[{'label': 'NEU', 'score': 0.926659882068634}]",
7,"[{'label': 'NEU', 'score': 0.9457780718803406}]","[{'label': 'NEU', 'score': 0.9308536052703857}]","[{'label': 'NEU', 'score': 0.7385240793228149}]","[{'label': 'NEU', 'score': 0.9514312148094177}]","[{'label': 'NEU', 'score': 0.6884012222290039}]","[{'label': 'NEU', 'score': 0.9563198089599609}]","[{'label': 'NEU', 'score': 0.6105095744132996}]","[{'label': 'NEU', 'score': 0.9347068667411804}]","[{'label': 'POS', 'score': 0.6230610609054565}]","[{'label': 'NEU', 'score': 0.9038223028182983}]","[{'label': 'NEU', 'score': 0.8943082690238953}]","[{'label': 'NEU', 'score': 0.8456194400787354}]","[{'label': 'NEU', 'score': 0.9094926118850708}]","[{'label': 'NEU', 'score': 0.9446589946746826}]","[{'label': 'POS', 'score': 0.6592531204223633}]","[{'label': 'NEU', 'score': 0.6875942945480347}]","[{'label': 'NEU', 'score': 0.49601995944976807}]","[{'label': 'NEU', 'score': 0.9018767476081848}]","[{'label': 'NEU', 'score': 0.8970291018486023}]","[{'label': 'NEU', 'score': 0.9586374759674072}]","[{'label': 'NEU', 'score': 0.8171586394309998}]","[{'label': 'NEU', 'score': 0.8706600666046143}]","[{'label': 'POS', 'score': 0.5051947236061096}]","[{'label': 'NEU', 'score': 0.943434476852417}]","[{'label': 'NEU', 'score': 0.8408772349357605}]",
8,"[{'label': 'NEU', 'score': 0.9089500308036804}]","[{'label': 'POS', 'score': 0.8553257584571838}]","[{'label': 'NEU', 'score': 0.9380021691322327}]","[{'label': 'NEU', 'score': 0.766606330871582}]","[{'label': 'NEU', 'score': 0.9354293942451477}]","[{'label': 'NEU', 'score': 0.8171586394309998}]","[{'label': 'NEU', 'score': 0.9586254358291626}]","[{'label': 'NEU', 'score': 0.9424420595169067}]","[{'label': 'NEU', 'score': 0.8620191216468811}]","[{'label': 'NEU', 'score': 0.947819709777832}]","[{'label': 'NEU', 'score': 0.9346451163291931}]","[{'label': 'NEU', 'score': 0.9062556028366089}]","[{'label': 'NEU', 'score': 0.8663688898086548}]","[{'label': 'NEU', 'score': 0.9088018536567688}]","[{'label': 'NEU', 'score': 0.8814177513122559}]","[{'label': 'NEU', 'score': 0.9051483273506165}]","[{'label': 'NEU', 'score': 0.9237702488899231}]","[{'label': 'POS', 'score': 0.864127516746521}]","[{'label': 'NEU', 'score': 0.8344289660453796}]","[{'label': 'NEU', 'score': 0.9163303971290588}]","[{'label': 'NEU', 'score': 0.8538719415664673}]","[{'label': 'NEU', 'score': 0.6296857595443726}]","[{'label': 'NEU', 'score': 0.9224802255630493}]","[{'label': 'NEU', 'score': 0.9341989755630493}]","[{'label': 'NEU', 'score': 0.9235147833824158}]",
9,"[{'label': 'NEU', 'score': 0.8819072246551514}]","[{'label': 'NEU', 'score': 0.9297707080841064}]","[{'label': 'NEU', 'score': 0.848669707775116}]","[{'label': 'NEU', 'score': 0.9298772811889648}]","[{'label': 'NEU', 'score': 0.9114485383033752}]","[{'label': 'NEU', 'score': 0.9302545785903931}]","[{'label': 'POS', 'score': 0.621254026889801}]","[{'label': 'NEU', 'score': 0.9464166760444641}]","[{'label': 'NEU', 'score': 0.9085327982902527}]","[{'label': 'NEU', 'score': 0.9172818660736084}]","[{'label': 'NEU', 'score': 0.7708864212036133}]","[{'label': 'NEU', 'score': 0.5177159905433655}]","[{'label': 'NEU', 'score': 0.8648642301559448}]","[{'label': 'NEU', 'score': 0.9067893028259277}]","[{'label': 'NEU', 'score': 0.9289320111274719}]","[{'label': 'NEU', 'score': 0.943434476852417}]","[{'label': 'NEU', 'score': 0.7998145222663879}]","[{'label': 'NEU', 'score': 0.570945143699646}]","[{'label': 'NEU', 'score': 0.8983285427093506}]","[{'label': 'NEU', 'score': 0.9580449461936951}]","[{'label': 'NEU', 'score': 0.9340000152587891}]","[{'label': 'NEU', 'score': 0.9379518628120422}]","[{'label': 'NEU', 'score': 0.8625082969665527}]","[{'label': 'NEU', 'score': 0.8982402086257935}]",,
