song,artist,counter
Easy On Me,Adele,"{'go': 6, 'easy': 6, 'choose': 6, 'baby': 4, 'still': 3, 'child': 3, 'get': 3, 'chance': 3, 'feel': 3, 'world': 3, 'around': 3, 'time': 3, 'know': 2, 'hope': 2, 'change': 2, 'gold': 1, 'river': 1, 'washin': 1, 'hand': 1, 'forever': 1, 'water': 1, 'bring': 1, 'swim': 1, 'drown': 1, 'silence': 1, 'let': 1, 'room': 1, 'thing': 1, 'deeply': 1, 'stuck': 1, 'way': 1, 'deny': 1, 'hard': 1, 'try': 1, 'put': 1, 'first': 1, 'give': 1, 'th': 1, 'good': 1, 'intention': 1, 'high': 1, 'right': 1, 'probably': 1, 'even': 1, 'show': 1}"
Stay,The Kid LAROI & Justin Bieber,"{'ooh': 20, 'woah': 19, 'oh': 16, 'stay': 13, 'know': 12, 'need': 12, 'tell': 10, 'never': 10, 'hey': 6, 'thing': 5, 'would': 5, 'change': 5, 'even': 5, 'could': 5, 'find': 5, 'nobody': 5, 'else': 5, 'good': 5, 'fuck': 4, 'feel': 3, 'right': 3, 'waste': 2, 'way': 2, 'leave': 2, 'get': 1, 'drunk': 1, 'wake': 1, 'still': 1, 'realize': 1, 'time': 1, 'like': 1, 'away': 1, 'miss': 1, 'touch': 1, 'reason': 1, 'believe': 1, 'love': 1, 'difficult': 1, 'trust': 1, 'afraid': 1, 'strand': 1, 'cause': 1, 'ever': 1, 'empty': 1, 'hand': 1, 'live': 1, 'without': 1, 'baby': 1}"
Industry Baby,Lil Nas X & Jack Harlow,"{'get': 15, 'yeah': 14, 'tell': 11, 'ayy': 9, 'back': 7, 'say': 7, 'em': 7, 'like': 7, 'wait': 6, 'run': 6, 'dog': 6, 'soldier': 6, 'need': 5, 'mmm': 5, 'baby': 4, 'couple': 4, 'bitch': 4, 'ooh': 4, 'one': 3, 'long': 3, 'ago': 3, 'road': 3, 'nothing': 3, 'layin': 3, 'low': 3, 'never': 3, 'really': 3, 'root': 3, 'anyway': 3, 'top': 3, 'wanna': 3, 'hear': 3, 'nothin': 3, 'break': 3, 'nigga': 3, 'hah': 3, 'makin': 3, 'd': 2, 'plaque': 2, 'throw': 2, 'champion': 2, 'lose': 2, 'since': 2, 'begin': 2, 'funny': 2, 'end': 2, 'go': 2, 'uh': 2, 'do': 2, 'let': 2, 'call': 2, 'runnin': 2, 'nowhere': 2, 'gettin': 2, 'woo': 2, 'late': 2, 'cause': 2, 'make': 2, 'junior': 2, 'comin': 2, 'industry': 2, 'daytrip': 1, 'take': 1, 'ten': 1, 'hey': 1, 'rack': 1, 'grammys': 1, 'fact': 1, 'album': 1, 'number': 1, 'every': 1, 'song': 1, 'nicki': 1, 'rap': 1, 'see': 1, 'ya': 1, 'pop': 1, 'bieber': 1, 'fuck': 1, 'queer': 1, 'madea': 1, 'oh': 1, 'fall': 1, 'release': 1, 'new': 1, 'shit': 1, 'blow': 1, 'everybody': 1, 'tryna': 1, 'sue': 1, 'nas': 1, 'hood': 1, 'doobie': 1, 'track': 1, 'record': 1, 'clean': 1, 'bash': 1, 'must': 1, 'flashy': 1, 'world': 1, 'gas': 1, 'stay': 1, 'girl': 1, 'know': 1, 'nasty': 1, 'send': 1, 'boyfriend': 1, 'handprint': 1, 'as': 1, 'cheek': 1, 'city': 1, 'talkin': 1, 'takin': 1, 'note': 1, 'keep': 1, 'post': 1, 'wish': 1, 'could': 1, 'close': 1, 'og': 1, 'proud': 1, 'chokin': 1, 'toast': 1, 'type': 1, 'control': 1, 'would': 1, 'clear': 1, 'rumor': 1, 'sense': 1, 'humor': 1, 'joke': 1, 'old': 1, 'boomer': 1, 'turn': 1, 'hater': 1, 'consumer': 1, 'vet': 1, 'feel': 1, 'time': 1, 'soon': 1, 'oklahoma': 1, 'mine': 1, 'sooner': 1, 'bloomer': 1, 'peak': 1, 'high': 1, 'school': 1, 'still': 1, 'cuter': 1, 'social': 1, 'network': 1, 'computer': 1, 'pussy': 1, 'walkin': 1, 'round': 1, 'loser': 1}"
Fancy Like,Walker Hayes,"{'like': 13, 'get': 13, 'ayy': 10, 'fancy': 9, 'girl': 6, 'yeah': 6, 'need': 5, 'whip': 5, 'cream': 5, 'styrofoam': 5, 'way': 5, 'home': 5, 'ooh': 5, 'gotta': 4, 'applebee': 3, 'date': 3, 'night': 3, 'bourbon': 3, 'street': 3, 'steak': 3, 'oreo': 3, 'shake': 3, 'top': 3, 'two': 3, 'straw': 3, 'one': 3, 'check': 3, 'bougie': 3, 'natty': 3, 'squeaky': 3, 'squeakin': 3, 'truck': 3, 'bed': 3, 'alabama': 3, 'jamma': 3, 'dixieland': 3, 'delight': 3, 'hey': 3, 'slow': 3, 'every': 2, 'pay': 2, 'spoil': 2, 'baby': 2, 'upgrade': 2, 'tesla': 2, 'impress': 2, 'go': 2, 'dancin': 2, 'right': 2, 'add': 2, 'without': 2, 'em': 2, 'bangin': 1, 'low': 1, 'maintenance': 1, 'champagne': 1, 'poppin': 1, 'entertainment': 1, 'take': 1, 'wendy': 1, 'keep': 1, 'wanna': 1, 'dip': 1, 'fry': 1, 'frosty': 1, 'uh': 1, 'happy': 1, 'rollin': 1, 'vespa': 1, 'mansion': 1, 'romancin': 1, 'woo': 1, 'super': 1, 'fine': 1, 'double': 1, 'wide': 1, 'new': 1, 'clean': 1, 'blue': 1, 'jean': 1, 'hole': 1, 'country': 1, 'kiss': 1, 'lips': 1, 'theskoal': 1, 'probably': 1, 'gon': 1, 'keepin': 1, 'victoria': 1, 'secret': 1, 'maybe': 1, 'little': 1, 'maybelline': 1, 'kitchen': 1, 'light': 1, 'radio': 1, 'box': 1, 'wine': 1, 'up': 1, 'do': 1}"
Bad Habits,Ed Sheeran,"{'ooh': 26, 'bad': 14, 'habit': 14, 'lead': 13, 'know': 8, 'nothin': 6, 'lose': 6, 'true': 5, 'two': 4, 'time': 4, 'say': 4, 'control': 4, 'get': 4, 'way': 4, 'every': 3, 'late': 3, 'night': 3, 'endin': 3, 'alone': 3, 'conversation': 3, 'stranger': 3, 'barely': 3, 'swearin': 3, 'last': 3, 'probably': 3, 'leave': 3, 'use': 3, 'wide': 3, 'eye': 3, 'starin': 3, 'space': 3, 'thing': 3, 'yeah': 3, 'lookin': 3, 'escape': 3, 'happen': 3, 'go': 2, 'take': 2, 'start': 2, 'one': 1, 'three': 1, 'four': 1, 'come': 1, 'around': 1, 'sun': 1, 'let': 1, 'feel': 1, 'paradise': 1, 'world': 1, 'implodes': 1, 'tonight': 1, 'something': 1, 'wonderful': 1, 'tru': 1, 'l': 1, 'ad': 1, 'pure': 1, 'intention': 1, 'end': 1, 'good': 1, 'fallin': 1, 'everything': 1, 'reach': 1, 'first': 1, 'spark': 1, 'neon': 1, 'light': 1, 'dark': 1, 'far': 1, 'long': 1, 'round': 1, 'burn': 1, 'till': 1, 'fun': 1, 'run': 1}"
Way 2 Sexy,Drake Featuring Future & Young Thug,"{'sexy': 51, 'yeah': 28, 'woah': 15, 'get': 8, 'jack': 6, 'okay': 5, 'like': 5, 'bitch': 5, 'syrup': 4, 'way': 4, 'girl': 3, 'world': 3, 'ice': 3, 'chain': 3, 'gang': 3, 'fame': 3, 'trap': 3, 'cap': 3, 'go': 3, 'pop': 3, 'oh': 3, 'young': 3, 'make': 3, 'cash': 3, 'spend': 3, 'bag': 3, 'shirt': 2, 'milan': 2, 'new': 2, 'alright': 2, 'fine': 2, 'goin': 2, 'metro': 2, 'housin': 2, 'diamond': 2, 'sixty': 2, 'need': 2, 'crowd': 2, 'pray': 2, 'nigga': 2, 'gon': 2, 'car': 2, 'wherever': 2, 'fly': 2, 'sexin': 2, 'look': 2, 'ah': 2, 'neck': 2, 'let': 2, 'hundred': 2, 'woo': 2, 'hurt': 1, 'york': 1, 'japan': 1, 'feelin': 1, 'accept': 1, 'request': 1, 'unprotected': 1, 'tesla': 1, 'electric': 1, 'think': 1, 'almost': 1, 'swallow': 1, 'thousand': 1, 'piece': 1, 'section': 1, 'ting': 1, 'ayy': 1, 'boy': 1, 'well': 1, 'tell': 1, 'turnt': 1, 'little': 1, 'thotty': 1, 'wife': 1, 'fuck': 1, 'friend': 1, 'send': 1, 'back': 1, 'ghost': 1, 'know': 1, 'dog': 1, 'niggas': 1, 'behind': 1, 'fence': 1, 'prayer': 1, 'drippin': 1, 'spillin': 1, 'designer': 1, 'gear': 1, 'bicoastal': 1, 'pay': 1, 'attention': 1, 'detail': 1, 'two': 1, 'tone': 1, 'choker': 1, 'always': 1, 'ready': 1, 'murk': 1, 'somethin': 1, 'call': 1, 'smoker': 1, 'havin': 1, 'motion': 1, 'sure': 1, 'windmill': 1, 'leave': 1, 'scene': 1, 'action': 1, 'best': 1, 'work': 1, 'knee': 1, 'pill': 1, 'money': 1, 'jewelry': 1, 'count': 1, 'fetty': 1, 'baguetty': 1, 'hoo': 1, 'red': 1, 'spaghetti': 1, 'paper': 1, 'shred': 1, 'swindle': 1, 'sweatin': 1, 'saw': 1, 'beggin': 1, 'ho': 1, 'goddamn': 1, 'petty': 1, 'ha': 1, 'do': 1, 'spending': 1, 'penny': 1, 'pinch': 1, 'bags': 1, 'man': 1, 'steal': 1, 'god': 1, 'hoe': 1, 'wish': 1, 'rich': 1, 'all': 1, 'green': 1, 'gator': 1, 'switch': 1, 'giorgio': 1, 'twenty': 1, 'six': 1, 'lick': 1, 'mani': 1, 'baguetties': 1, 'molest': 1, 'caress': 1, 'todayski': 1, 'ski': 1, 'kickin': 1, 'shit': 1, 'might': 1, 'prosthetic': 1, 'chopper': 1, 'pillow': 1, 'tooth': 1, 'fairy': 1}"
Shivers,Ed Sheeran,"{'like': 16, 'wanna': 16, 'ooh': 10, 'shiver': 10, 'get': 9, 'say': 9, 'baby': 8, 'love': 7, 'oh': 7, 'back': 7, 'close': 6, 'give': 6, 'dance': 6, 'til': 6, 'sunlight': 6, 'crack': 6, 'party': 6, 'bring': 6, 'right': 6, 'yeah': 5, 'want': 4, 'fire': 4, 'make': 4, 'kiss': 3, 'singin': 3, 'know': 3, 'take': 2, 'heart': 2, 'never': 2, 'mmm': 2, 'feelin': 2, 'guy': 2, 'eye': 2, 'drink': 2, 'smile': 2, 'feel': 2, 'soul': 2, 'stay': 2, 'day': 2, 'night': 2, 'enough': 2, 'could': 2, 'burn': 2, 'hot': 2, 'thing': 2, 'start': 2, 'stop': 2, 'er': 2, 'arrow': 1, 'mouth': 1, 'taste': 1, 'strawberry': 1, 'somethin': 1, 'lipstick': 1, 'guitar': 1, 'fill': 1, 'engine': 1, 'drive': 1, 'real': 1, 'far': 1, 'go': 1, 'dancin': 1, 'underneath': 1, 'star': 1, 'th': 1, 'car': 1, 'backseat': 1, 'moonlit': 1, 'dark': 1, 'wrap': 1, 'leg': 1, 'arm': 1, 'tear': 1, 'apart': 1, 'put': 1, 'together': 1, 'think': 1, 'hard': 1, 'hey': 1}"
Good 4 U,Olivia Rodrigo,"{'good': 15, 'ah': 12, 'guess': 8, 'well': 7, 'really': 7, 'maybe': 6, 'care': 5, 'like': 5, 'never': 5, 'ever': 4, 'baby': 4, 'get': 4, 'emotional': 4, 'new': 3, 'girl': 3, 'look': 3, 'happy': 3, 'healthy': 3, 'ask': 3, 'doin': 3, 'great': 3, 'without': 3, 'god': 3, 'lose': 3, 'mind': 3, 'spent': 3, 'night': 3, 'cryin': 3, 'floor': 3, 'bathroom': 3, 'unaffected': 3, 'move': 2, 'easily': 2, 'find': 2, 'remember': 2, 'want': 2, 'world': 2, 'wish': 2, 'could': 2, 'even': 2, 'screw': 2, 'apathy': 2, 'wound': 2, 'salt': 2, 'take': 1, 'couple': 1, 'week': 1, 'say': 1, 'give': 1, 'workin': 1, 'therapist': 1, 'help': 1, 'man': 1, 'brand': 1, 'gettin': 1, 'everything': 1, 'buy': 1, 'car': 1, 'career': 1, 'takin': 1, 'happen': 1, 'fuck': 1, 'meet': 1, 'swore': 1, 'person': 1, 'hurt': 1, 'way': 1, 'know': 1, 'damn': 1, 'sociopath': 1}"
Need To Know,Doja Cat,"{'yeah': 24, 'like': 22, 'know': 17, 'woah': 15, 'need': 14, 'baby': 13, 'oh': 13, 'mmm': 10, 'get': 8, 'fuck': 7, 'wanna': 6, 'type': 6, 'time': 6, 'pipe': 6, 'size': 5, 'come': 5, 'night': 4, 'lotta': 4, 'throw': 4, 'could': 4, 'ten': 4, 'show': 3, 'really': 3, 'ooh': 3, 'fantasizin': 3, 'gotta': 3, 'tell': 3, 'give': 3, 'curve': 2, 'wide': 2, 'five': 2, 'pen': 2, 'sayin': 2, 'eat': 2, 'ayy': 2, 'take': 2, 'ride': 2, 'as': 2, 'prolly': 2, 'wait': 2, 'friend': 2, 'dick': 2, 'gimme': 2, 'add': 1, 'subtract': 1, 'divide': 1, 'vide': 1, 'daddy': 1, 'hold': 1, 'goin': 1, 'start': 1, 'go': 1, 'play': 1, 'mean': 1, 'writ': 1, 'help': 1, 'b': 1, 'sexual': 1, 'schedule': 1, 'new': 1, 'trick': 1, 'flexible': 1, 'might': 1, 'makeup': 1, 'apron': 1, 'til': 1, 'change': 1, 'thong': 1, 'favorite': 1, 'song': 1, 'danger': 1, 'zone': 1, 'nigga': 1, 'buggin': 1, 'wonderin': 1, 'well': 1, 'itchin': 1, 'ugly': 1, 'sweater': 1, 'chuck': 1, 'e': 1, 'cheddar': 1, 'exciting': 1, 'boy': 1, 'find': 1, 'eye': 1, 'girl': 1, 'feel': 1, 'u': 1, 'fight': 1, 'try': 1, 'likely': 1, 'tryna': 1, 'see': 1, 'handle': 1, 'panic': 1, 'attack': 1, 'sorry': 1, 'random': 1, 'erection': 1, 'thinkin': 1, 'telekinetic': 1, 'fan': 1, 'magic': 1, 'poof': 1, 'pussy': 1, 'alakazam': 1, 'heard': 1, 'stand': 1, 'one': 1, 'clink': 1, 'drink': 1, 'sip': 1, 'kink': 1, 'spank': 1, 'slap': 1, 'choke': 1, 'bite': 1, 'ew': 1, 'ah': 1, 'bout': 1, 'wifey': 1}"
Levitating,Dua Lipa,"{'yeah': 41, 'levitate': 11, 'moonlight': 10, 'dance': 10, 'tonight': 10, 'away': 9, 'need': 8, 'want': 8, 'baby': 8, 'starlight': 8, 'night': 8, 'come': 8, 'fly': 8, 'take': 7, 'ride': 7, 'let': 7, 'get': 6, 'way': 5, 'like': 5, 'feel': 5, 'glitter': 4, 'woo': 4, 'stop': 3, 'sugarboo': 3, 'milky': 3, 'renegade': 3, 'sky': 2, 'eye': 2, 'shin': 2, 'time': 2, 'ever': 2, 'love': 2, 'rocket': 2, 'watch': 2, 'blast': 2, 'electric': 2, 'as': 2, 'even': 2, 'wanna': 1, 'run': 1, 'know': 1, 'galaxy': 1, 'premonition': 1, 'fell': 1, 'rhythm': 1, 'music': 1, 'life': 1, 'little': 1, 'bit': 1, 'company': 1, 'meet': 1, 'perfect': 1, 'believe': 1, 'energy': 1, 'see': 1, 'u': 1, 'write': 1, 'star': 1, 'go': 1, 'wherever': 1, 'never': 1, 'nothing': 1, 'far': 1, 'forever': 1, 'every': 1, 'together': 1, 'whatever': 1, 'lose': 1, 'mar': 1, 'levitating': 1}"
