song,artist,counter,Vader,TextBlob,VaderBoost,TextBlobBoost,VaderPolarity,TextBlobPolarity,VaderBoostPolarity,TextBlobBoostPolarity,,FullTextBlobPolarity,FullVaderPolarity
Easy On Me,Adele,"{'easy': 6, 'choose': 6, 'bring': 1, 'drown': 1, 'stuck': 1, 'deny': 1, 'hard': 1}","{'pos': 6, 'neg': 4, 'neu': 7}","{'pos': 6, 'neg': 1, 'neu': 10}","{'pos': 1.4, 'neg': 2.6, 'neu': 5.6}","{'pos': 7.2, 'neg': 1.2, 'neu': 8.0}",1.18018018,1.45045045,0.855421687,1.64516129,,1.12482663,1.13024602
Stay,The Kid LAROI & Justin Bieber,"{'ooh': 20, 'realize': 1, 'believe': 1, 'difficult': 1, 'afraid': 1, 'live': 1}","{'pos': 0, 'neg': 1, 'neu': 24}","{'pos': 1, 'neg': 2, 'neu': 22}","{'pos': 0, 'neg': 0.2, 'neu': 18.6}","{'pos': 0.8, 'neg': 2.4, 'neu': 17.6}",0.960159363,0.958506224,0.989417989,0.92039801,,1.005178664,0.994848016
Industry Baby,Lil Nas X & Jack Harlow,"{'ooh': 4, 'long': 3, 'hear': 3, 'lose': 2, 'woo': 2, 'late': 2, 'new': 1, 'nasty': 1, 'send': 1, 'proud': 1}","{'pos': 3, 'neg': 3, 'neu': 14}","{'pos': 2, 'neg': 3, 'neu': 15}","{'pos': 1.8, 'neg': 1.8, 'neu': 9.5}","{'pos': 2.4, 'neg': 3.6, 'neu': 12.0}",1,0.944751381,1,0.923566879,,1.019102197,1.079283006
Fancy Like,Walker Hayes,"{'ooh': 5, 'slow': 3, 'happy': 1, 'woo': 1, 'wide': 1, 'new': 1, 'up': 1}","{'pos': 2, 'neg': 0, 'neu': 11}","{'pos': 2, 'neg': 3, 'neu': 8}","{'pos': 1.0, 'neg': 0, 'neu': 7.7}","{'pos': 2.4, 'neg': 2.4, 'neu': 6.8}",1.18018018,0.90990991,1.128205128,1,,1.025630073,1.13802951
Bad Habits,Ed Sheeran,"{'ooh': 26, 'lose': 6, 'late': 3, 'wide': 3, 'happen': 3, 'implodes': 1, 'pure': 1, 'long': 1}","{'pos': 0, 'neg': 6, 'neu': 38}","{'pos': 1, 'neg': 3, 'neu': 40}","{'pos': 0, 'neg': 4.8, 'neu': 26.5}","{'pos': 1.2, 'neg': 3.6, 'neu': 33.2}",0.863945578,0.953596288,0.847133758,0.93495935,,0.962458939,0.966362326
Way 2 Sexy,Drake Featuring Future & Young Thug,"{'sexy': 51, 'spend': 3, 'new': 2, 'pray': 2, 'woo': 2, 'accept': 1, 'unprotected': 1, 'send': 1, 'sure': 1, 'all': 1, 'molest': 1, 'prosthetic': 1}","{'pos': 57, 'neg': 2, 'neu': 8}","{'pos': 54, 'neg': 0, 'neu': 13}","{'pos': 16.5, 'neg': 1.0, 'neu': 4.2}","{'pos': 64.8, 'neg': 0, 'neu': 11.6}",6.445544554,5.122137405,3.924528302,6.538461538,,1.220137135,1.398096062
Shivers,Ed Sheeran,"{'ooh': 10, 'bring': 6, 'hot': 2, 'moonlit': 1, 'hard': 1}","{'pos': 0, 'neg': 1, 'neu': 19}","{'pos': 2, 'neg': 1, 'neu': 17}","{'pos': 0, 'neg': 0.2, 'neu': 13.5}","{'pos': 2.4, 'neg': 1.2, 'neu': 14.0}",0.950248756,1.055248619,0.985507246,1.078431373,,1.067767895,1.148768015
Good 4 U,Olivia Rodrigo,"{'emotional': 4, 'new': 3, 'happy': 3, 'healthy': 3, 'ask': 3, 'lose': 3, 'spent': 3, 'unaffected': 3, 'remember': 2, 'happen': 1, 'swore': 1}","{'pos': 10, 'neg': 3, 'neu': 16}","{'pos': 9, 'neg': 0, 'neu': 20}","{'pos': 2.4, 'neg': 2.4, 'neu': 9.4}","{'pos': 10.8, 'neg': 0, 'neu': 18.8}",1.366492147,1.447761194,1,1.571428571,,1.224215247,1.309130122
Need To Know,Doja Cat,"{'ooh': 3, 'wide': 2, 'eat': 2, 'subtract': 1, 'sexual': 1, 'new': 1, 'flexible': 1, 'ugly': 1, 'exciting': 1, 'likely': 1, 'sorry': 1, 'random': 1, 'heard': 1}","{'pos': 2, 'neg': 1, 'neu': 14}","{'pos': 3, 'neg': 3, 'neu': 11}","{'pos': 1.0, 'neg': 0.2, 'neu': 7.3}","{'pos': 3.2, 'neg': 3.6, 'neu': 10.4}",1.066225166,1,1.105263158,0.971631206,,0.990598558,1.151235706
Levitating,Dua Lipa,"{'levitate': 11, 'woo': 4, 'believe': 1, 'write': 1, 'lose': 1, 'levitating': 1}","{'pos': 4, 'neg': 1, 'neu': 14}","{'pos': 0, 'neg': 0, 'neu': 19}","{'pos': 3.2, 'neg': 0.8, 'neu': 11.2}","{'pos': 0, 'neg': 0, 'neu': 15.2}",1.198675497,1,1.198347107,1,,1.039354585,1.236854571
Essence,Wizkid Featuring Justin Bieber & Tems,"{'subes': 1, 'please': 1}","{'pos': 1, 'neg': 0, 'neu': 1}","{'pos': 0, 'neg': 0, 'neu': 2}","{'pos': 0.8, 'neg': 0, 'neu': 0.8}","{'pos': 0, 'neg': 0, 'neu': 1.6}",1.909090909,1,1.888888889,1,,1.024479804,1.020652623
Kiss Me More,Doja Cat Featuring SZA,"{'write': 6, 'lose': 4, 'exhale': 2, 'ooh': 2, 'sure': 1, 'refresh': 1, 'slow': 1}","{'pos': 1, 'neg': 4, 'neu': 12}","{'pos': 1, 'neg': 1, 'neu': 15}","{'pos': 0.2, 'neg': 3.2, 'neu': 9.6}","{'pos': 1.2, 'neg': 0.8, 'neu': 12.0}",0.813664596,1,0.76744186,1.031007752,,1.030395137,1.060262318
Heat Waves,Glass Animals,"{'late': 8, 'happy': 7, 'lose': 1, 'breathe': 1, 'new': 1, 'broken': 1, 'comfortable': 1, 'sad': 1}","{'pos': 8, 'neg': 3, 'neu': 10}","{'pos': 9, 'neg': 10, 'neu': 2}","{'pos': 1.9, 'neg': 1.8, 'neu': 3.0}","{'pos': 10.8, 'neg': 11.6, 'neu': 1.6}",1.381679389,0.917355372,1.020408163,0.939849624,,1.005431831,1.050251256
Beggin',Maneskin,"{'hard': 3, 'easy': 2, 'live': 2, 'rid': 1, 'bleed': 1, 'grow': 1, 'lose': 1, 'understand': 1, 'broken': 1, 'replace': 1}","{'pos': 2, 'neg': 5, 'neu': 7}","{'pos': 4, 'neg': 4, 'neu': 6}","{'pos': 0.5, 'neg': 2.3, 'neu': 5.6}","{'pos': 4.0, 'neg': 4.4, 'neu': 4.8}",0.752066116,1,0.775,0.956989247,,1.096205238,1.169491525
Cold Heart (PNAU Remix),Elton John & Dua Lipa,"{'long': 8, 'brings': 4, 'harden': 3, 'hid': 3, 'lingers': 1, 'strong': 1}","{'pos': 1, 'neg': 3, 'neu': 16}","{'pos': 1, 'neg': 0, 'neu': 19}","{'pos': 0.2, 'neg': 2.4, 'neu': 12.8}","{'pos': 1.2, 'neg': 0, 'neu': 15.2}",0.895287958,1.052356021,0.85620915,1.078431373,,0.932829555,1.025839793
