,song,artist,date
25234,Deja Vu,J. Cole,2017-01-07
25233,Don't Let Me Down,The Chainsmokers Featuring Daya,2017-01-07
25232,Blue Ain't Your Color,Keith Urban,2017-01-07
25228,Jingle Bell Rock,Bobby Helms,2017-01-07
25230,I Hate U I Love U,gnash Featuring Olivia O'Brien,2017-01-07
25229,In The Name Of Love,Martin Garrix & Bebe Rexha,2017-01-07
25235,Cheap Thrills,Sia Featuring Sean Paul,2017-01-07
25227,Mercy,Shawn Mendes,2017-01-07
25231,Can't Stop The Feeling!,Justin Timberlake,2017-01-07
25236,This Town,Niall Horan,2017-01-07
25241,Unsteady,X Ambassadors,2017-01-07
25238,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,2017-01-07
25239,Love Me Now,John Legend,2017-01-07
25240,Both,Gucci Mane Featuring Drake,2017-01-07
25242,X,21 Savage & Metro Boomin Featuring Future,2017-01-07
25243,Feliz Navidad,Jose Feliciano,2017-01-07
25244,"Mary, Did You Know?",Pentatonix,2017-01-07
25245,A Holly Jolly Christmas,Burl Ives,2017-01-07
25246,The Christmas Song (Merry Christmas To You),Nat King Cole,2017-01-07
25226,Rockin' Around The Christmas Tree,Brenda Lee,2017-01-07
25247,It's The Most Wonderful Time Of The Year,Andy Williams,2017-01-07
25237,Cold Water,Major Lazer Featuring Justin Bieber & MO,2017-01-07
25225,Treat You Better,Shawn Mendes,2017-01-07
25213,Scars To Your Beautiful,Alessia Cara,2017-01-07
25223,All Time Low,Jon Bellion,2017-01-07
25248,Party Monster,The Weeknd,2017-01-07
25201,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017-01-07
25202,Closer,The Chainsmokers Featuring Halsey,2017-01-07
25203,24K Magic,Bruno Mars,2017-01-07
25204,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,2017-01-07
25205,Side To Side,Ariana Grande Featuring Nicki Minaj,2017-01-07
25206,Let Me Love You,DJ Snake Featuring Justin Bieber,2017-01-07
25207,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017-01-07
25208,Bad Things,Machine Gun Kelly x Camila Cabello,2017-01-07
25209,Fake Love,Drake,2017-01-07
25224,I Feel It Coming,The Weeknd Featuring Daft Punk,2017-01-07
25210,Caroline,Amine,2017-01-07
25212,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017-01-07
25214,Broccoli,D.R.A.M. Featuring Lil Yachty,2017-01-07
25215,All I Want For Christmas Is You,Mariah Carey,2017-01-07
