date,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,joy,love,nervousness,neutral,optimism,realization,remorse,sadness,surprise
2017-01-07,4.0,8.0,1.0,11.0,1.0,2.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,16.0,0.0,56.0,1.0,1.0,1.0,7.0,0.0
2017-01-14,5.0,8.0,4.0,14.0,1.0,2.0,0.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,59.0,1.0,1.0,1.0,6.0,0.0
2017-01-21,5.0,8.0,3.0,13.0,1.0,3.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,61.0,1.0,1.0,1.0,6.0,0.0
2017-01-28,5.0,8.0,2.0,12.0,1.0,3.0,0.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,59.0,2.0,1.0,2.0,7.0,0.0
2017-02-04,5.0,7.0,3.0,13.0,1.0,3.0,2.0,2.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,58.0,2.0,1.0,1.0,6.0,1.0
2017-02-11,5.0,6.0,2.0,14.0,2.0,3.0,2.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,57.0,2.0,1.0,1.0,6.0,1.0
2017-02-18,5.0,6.0,3.0,14.0,2.0,2.0,3.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,61.0,1.0,1.0,1.0,6.0,1.0
2017-02-25,4.0,7.0,3.0,16.0,2.0,2.0,2.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,60.0,3.0,3.0,0.0,5.0,2.0
2017-03-04,5.0,6.0,2.0,15.0,2.0,2.0,4.0,2.0,7.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,14.0,0.0,60.0,1.0,1.0,0.0,6.0,1.0
2017-03-11,3.0,7.0,3.0,16.0,1.0,2.0,3.0,1.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,14.0,0.0,61.0,1.0,0.0,0.0,6.0,1.0
2017-03-18,4.0,5.0,2.0,12.0,1.0,3.0,3.0,1.0,6.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,14.0,0.0,61.0,1.0,0.0,0.0,7.0,1.0
2017-03-25,5.0,5.0,1.0,10.0,2.0,2.0,3.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,58.0,1.0,0.0,1.0,8.0,1.0
2017-04-01,4.0,6.0,3.0,12.0,1.0,2.0,4.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,13.0,0.0,59.0,1.0,0.0,1.0,7.0,1.0
2017-04-08,5.0,7.0,3.0,12.0,2.0,1.0,4.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,13.0,0.0,68.0,0.0,0.0,0.0,6.0,1.0
2017-04-15,3.0,8.0,4.0,11.0,1.0,2.0,5.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,66.0,0.0,0.0,0.0,6.0,1.0
2017-04-22,3.0,7.0,4.0,11.0,1.0,2.0,5.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,0.0,65.0,0.0,0.0,1.0,7.0,1.0
2017-04-29,3.0,7.0,4.0,10.0,1.0,3.0,6.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,65.0,0.0,0.0,1.0,7.0,1.0
2017-05-06,4.0,4.0,4.0,10.0,1.0,3.0,7.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,67.0,0.0,0.0,0.0,6.0,1.0
2017-05-13,4.0,4.0,6.0,12.0,1.0,4.0,7.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,12.0,0.0,66.0,0.0,0.0,0.0,6.0,1.0
2017-05-20,5.0,5.0,5.0,9.0,2.0,3.0,6.0,2.0,5.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,0.0,68.0,0.0,0.0,0.0,6.0,1.0
2017-05-27,5.0,3.0,5.0,11.0,2.0,3.0,6.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,13.0,0.0,68.0,0.0,0.0,0.0,7.0,1.0
