,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,"[{'label': 'anger', 'score': 0.5164475440979004}]","[{'label': 'anger', 'score': 0.9678864479064941}]","[{'label': 'fear', 'score': 0.34567564725875854}]","[{'label': 'joy', 'score': 0.5018569827079773}]","[{'label': 'joy', 'score': 0.9979730248451233}]","[{'label': 'joy', 'score': 0.9121794104576111}]","[{'label': 'anger', 'score': 0.5934911966323853}]","[{'label': 'joy', 'score': 0.6076703667640686}]","[{'label': 'anger', 'score': 0.5953311324119568}]","[{'label': 'joy', 'score': 0.49228769540786743}]","[{'label': 'anger', 'score': 0.6694029569625854}]","[{'label': 'anger', 'score': 0.42495378851890564}]","[{'label': 'joy', 'score': 0.9179733991622925}]","[{'label': 'joy', 'score': 0.8420448899269104}]","[{'label': 'anger', 'score': 0.45904260873794556}]","[{'label': 'joy', 'score': 0.9981093406677246}]","[{'label': 'anger', 'score': 0.483399361371994}]","[{'label': 'anger', 'score': 0.5044400095939636}]","[{'label': 'anger', 'score': 0.7263302206993103}]","[{'label': 'anger', 'score': 0.4671945571899414}]","[{'label': 'anger', 'score': 0.47184184193611145}]","[{'label': 'anger', 'score': 0.5802406072616577}]","[{'label': 'joy', 'score': 0.307847261428833}]","[{'label': 'anger', 'score': 0.5225681662559509}]","[{'label': 'anger', 'score': 0.5685716867446899}]",
1,"[{'label': 'joy', 'score': 0.9754551649093628}]","[{'label': 'anger', 'score': 0.6542629599571228}]","[{'label': 'joy', 'score': 0.9381586909294128}]","[{'label': 'fear', 'score': 0.39425182342529297}]","[{'label': 'anger', 'score': 0.5234633088111877}]","[{'label': 'sadness', 'score': 0.8889747858047485}]","[{'label': 'anger', 'score': 0.6610164046287537}]","[{'label': 'joy', 'score': 0.864216685295105}]","[{'label': 'joy', 'score': 0.48637163639068604}]","[{'label': 'anger', 'score': 0.8910020589828491}]","[{'label': 'anger', 'score': 0.9682817459106445}]","[{'label': 'anger', 'score': 0.47659924626350403}]","[{'label': 'joy', 'score': 0.5810528993606567}]","[{'label': 'joy', 'score': 0.5682706832885742}]","[{'label': 'anger', 'score': 0.7686810493469238}]","[{'label': 'anger', 'score': 0.6875656247138977}]","[{'label': 'anger', 'score': 0.4425783157348633}]","[{'label': 'joy', 'score': 0.3848392963409424}]","[{'label': 'joy', 'score': 0.5788993835449219}]","[{'label': 'anger', 'score': 0.3732411563396454}]","[{'label': 'anger', 'score': 0.45918142795562744}]","[{'label': 'anger', 'score': 0.8341152667999268}]","[{'label': 'fear', 'score': 0.9109682440757751}]","[{'label': 'anger', 'score': 0.6056556105613708}]","[{'label': 'joy', 'score': 0.9976263642311096}]",
2,"[{'label': 'anger', 'score': 0.7748779654502869}]","[{'label': 'anger', 'score': 0.47830620408058167}]","[{'label': 'anger', 'score': 0.5450003147125244}]","[{'label': 'sadness', 'score': 0.998271107673645}]","[{'label': 'anger', 'score': 0.594285249710083}]","[{'label': 'anger', 'score': 0.8541219830513}]","[{'label': 'joy', 'score': 0.9226906895637512}]","[{'label': 'joy', 'score': 0.4611530005931854}]","[{'label': 'sadness', 'score': 0.511346697807312}]","[{'label': 'joy', 'score': 0.4844222366809845}]","[{'label': 'joy', 'score': 0.5017430782318115}]","[{'label': 'joy', 'score': 0.3436015844345093}]","[{'label': 'anger', 'score': 0.6687780618667603}]","[{'label': 'joy', 'score': 0.6033876538276672}]","[{'label': 'joy', 'score': 0.8449482917785645}]","[{'label': 'anger', 'score': 0.7120582461357117}]","[{'label': 'anger', 'score': 0.6674562692642212}]","[{'label': 'anger', 'score': 0.7239267230033875}]","[{'label': 'anger', 'score': 0.46576356887817383}]","[{'label': 'anger', 'score': 0.7309308648109436}]","[{'label': 'anger', 'score': 0.4267161190509796}]","[{'label': 'anger', 'score': 0.35922887921333313}]","[{'label': 'joy', 'score': 0.5200822949409485}]","[{'label': 'anger', 'score': 0.4563788175582886}]","[{'label': 'anger', 'score': 0.6106641292572021}]",
3,"[{'label': 'joy', 'score': 0.47469356656074524}]","[{'label': 'joy', 'score': 0.5042301416397095}]","[{'label': 'anger', 'score': 0.6225123405456543}]","[{'label': 'joy', 'score': 0.6022332906723022}]","[{'label': 'anger', 'score': 0.6969538927078247}]","[{'label': 'anger', 'score': 0.889214038848877}]","[{'label': 'joy', 'score': 0.5338727235794067}]","[{'label': 'anger', 'score': 0.5857938528060913}]","[{'label': 'anger', 'score': 0.5958051085472107}]","[{'label': 'joy', 'score': 0.973013699054718}]","[{'label': 'anger', 'score': 0.5027410984039307}]","[{'label': 'joy', 'score': 0.520150363445282}]","[{'label': 'anger', 'score': 0.4328007996082306}]","[{'label': 'anger', 'score': 0.5141623020172119}]","[{'label': 'joy', 'score': 0.7891352772712708}]","[{'label': 'joy', 'score': 0.5470411777496338}]","[{'label': 'anger', 'score': 0.567112147808075}]","[{'label': 'joy', 'score': 0.5124340057373047}]","[{'label': 'joy', 'score': 0.4188714921474457}]","[{'label': 'anger', 'score': 0.48770901560783386}]","[{'label': 'joy', 'score': 0.4233715534210205}]","[{'label': 'joy', 'score': 0.6274057626724243}]","[{'label': 'joy', 'score': 0.46533623337745667}]","[{'label': 'anger', 'score': 0.4630195200443268}]","[{'label': 'joy', 'score': 0.7721742391586304}]",
4,"[{'label': 'joy', 'score': 0.519005298614502}]","[{'label': 'sadness', 'score': 0.8918320536613464}]","[{'label': 'anger', 'score': 0.4101473391056061}]","[{'label': 'joy', 'score': 0.6522902846336365}]","[{'label': 'joy', 'score': 0.639786958694458}]","[{'label': 'anger', 'score': 0.5305160880088806}]","[{'label': 'anger', 'score': 0.4636625051498413}]","[{'label': 'joy', 'score': 0.43945443630218506}]","[{'label': 'joy', 'score': 0.5591153502464294}]","[{'label': 'joy', 'score': 0.599936306476593}]","[{'label': 'anger', 'score': 0.42296943068504333}]","[{'label': 'anger', 'score': 0.6939036846160889}]","[{'label': 'fear', 'score': 0.788249671459198}]","[{'label': 'anger', 'score': 0.8122740387916565}]","[{'label': 'joy', 'score': 0.9524943232536316}]","[{'label': 'anger', 'score': 0.6178027987480164}]","[{'label': 'anger', 'score': 0.9271792769432068}]","[{'label': 'anger', 'score': 0.42247653007507324}]","[{'label': 'anger', 'score': 0.5526705980300903}]","[{'label': 'joy', 'score': 0.44832542538642883}]","[{'label': 'joy', 'score': 0.8515245318412781}]","[{'label': 'anger', 'score': 0.605543315410614}]","[{'label': 'joy', 'score': 0.523137092590332}]","[{'label': 'anger', 'score': 0.4061412215232849}]","[{'label': 'joy', 'score': 0.5180058479309082}]",
5,"[{'label': 'anger', 'score': 0.6989220976829529}]","[{'label': 'joy', 'score': 0.8991416096687317}]","[{'label': 'joy', 'score': 0.6659826040267944}]","[{'label': 'joy', 'score': 0.9924803972244263}]","[{'label': 'joy', 'score': 0.9174458384513855}]","[{'label': 'fear', 'score': 0.7787699699401855}]","[{'label': 'anger', 'score': 0.4272238314151764}]","[{'label': 'joy', 'score': 0.9893265962600708}]","[{'label': 'joy', 'score': 0.48807382583618164}]","[{'label': 'joy', 'score': 0.6977121829986572}]","[{'label': 'joy', 'score': 0.987809419631958}]","[{'label': 'joy', 'score': 0.6998150944709778}]","[{'label': 'anger', 'score': 0.8682395219802856}]","[{'label': 'joy', 'score': 0.5164647698402405}]","[{'label': 'anger', 'score': 0.5427407026290894}]","[{'label': 'anger', 'score': 0.9632725715637207}]","[{'label': 'anger', 'score': 0.9418767690658569}]","[{'label': 'anger', 'score': 0.5921589136123657}]","[{'label': 'joy', 'score': 0.4894120693206787}]","[{'label': 'joy', 'score': 0.9910159111022949}]","[{'label': 'anger', 'score': 0.5858355760574341}]","[{'label': 'anger', 'score': 0.3858996629714966}]","[{'label': 'joy', 'score': 0.9855555295944214}]","[{'label': 'fear', 'score': 0.40515634417533875}]","[{'label': 'joy', 'score': 0.7152706384658813}]",
6,"[{'label': 'fear', 'score': 0.4399864375591278}]","[{'label': 'anger', 'score': 0.4934203624725342}]","[{'label': 'joy', 'score': 0.8839415311813354}]","[{'label': 'joy', 'score': 0.891198456287384}]","[{'label': 'joy', 'score': 0.994110643863678}]","[{'label': 'joy', 'score': 0.9979860782623291}]","[{'label': 'joy', 'score': 0.926580011844635}]","[{'label': 'joy', 'score': 0.8320367932319641}]","[{'label': 'fear', 'score': 0.6371376514434814}]","[{'label': 'joy', 'score': 0.9980242252349854}]","[{'label': 'anger', 'score': 0.65041583776474}]","[{'label': 'anger', 'score': 0.8092320561408997}]","[{'label': 'joy', 'score': 0.4492996633052826}]","[{'label': 'joy', 'score': 0.8011786341667175}]","[{'label': 'anger', 'score': 0.4578869640827179}]","[{'label': 'joy', 'score': 0.5156192779541016}]","[{'label': 'anger', 'score': 0.5615361928939819}]","[{'label': 'anger', 'score': 0.72567218542099}]","[{'label': 'anger', 'score': 0.7166121006011963}]","[{'label': 'joy', 'score': 0.6380303502082825}]","[{'label': 'sadness', 'score': 0.6954023241996765}]","[{'label': 'joy', 'score': 0.8691311478614807}]","[{'label': 'fear', 'score': 0.4942120611667633}]","[{'label': 'joy', 'score': 0.755067765712738}]","[{'label': 'anger', 'score': 0.5266053080558777}]",
7,"[{'label': 'anger', 'score': 0.8326086401939392}]","[{'label': 'joy', 'score': 0.8638765215873718}]","[{'label': 'anger', 'score': 0.9821615219116211}]","[{'label': 'joy', 'score': 0.7381207942962646}]","[{'label': 'joy', 'score': 0.9942008256912231}]","[{'label': 'anger', 'score': 0.3858996629714966}]","[{'label': 'joy', 'score': 0.9473423957824707}]","[{'label': 'anger', 'score': 0.6355711221694946}]","[{'label': 'anger', 'score': 0.7830073237419128}]","[{'label': 'joy', 'score': 0.9137623310089111}]","[{'label': 'joy', 'score': 0.8987835049629211}]","[{'label': 'anger', 'score': 0.5630439519882202}]","[{'label': 'joy', 'score': 0.5164647698402405}]","[{'label': 'joy', 'score': 0.5189465284347534}]","[{'label': 'anger', 'score': 0.71458899974823}]","[{'label': 'anger', 'score': 0.7057205438613892}]","[{'label': 'anger', 'score': 0.5526705980300903}]","[{'label': 'joy', 'score': 0.44832542538642883}]","[{'label': 'anger', 'score': 0.8446860313415527}]","[{'label': 'fear', 'score': 0.5515838861465454}]","[{'label': 'joy', 'score': 0.8953976631164551}]","[{'label': 'anger', 'score': 0.5981166362762451}]","[{'label': 'joy', 'score': 0.6376999020576477}]","[{'label': 'joy', 'score': 0.7955695390701294}]","[{'label': 'joy', 'score': 0.8304409384727478}]",
8,"[{'label': 'anger', 'score': 0.47081875801086426}]","[{'label': 'joy', 'score': 0.7715381979942322}]","[{'label': 'fear', 'score': 0.6880042552947998}]","[{'label': 'joy', 'score': 0.8639245629310608}]","[{'label': 'anger', 'score': 0.7763859629631042}]","[{'label': 'joy', 'score': 0.8953976631164551}]","[{'label': 'anger', 'score': 0.8300289511680603}]","[{'label': 'anger', 'score': 0.44630762934684753}]","[{'label': 'joy', 'score': 0.5192598700523376}]","[{'label': 'anger', 'score': 0.47830289602279663}]","[{'label': 'anger', 'score': 0.49177467823028564}]","[{'label': 'joy', 'score': 0.6065024137496948}]","[{'label': 'fear', 'score': 0.8126081824302673}]","[{'label': 'joy', 'score': 0.365126371383667}]","[{'label': 'anger', 'score': 0.8154943585395813}]","[{'label': 'joy', 'score': 0.7195495963096619}]","[{'label': 'joy', 'score': 0.5760449767112732}]","[{'label': 'joy', 'score': 0.8755330443382263}]","[{'label': 'joy', 'score': 0.6230900287628174}]","[{'label': 'joy', 'score': 0.6370730400085449}]","[{'label': 'anger', 'score': 0.6256414651870728}]","[{'label': 'anger', 'score': 0.46992385387420654}]","[{'label': 'fear', 'score': 0.7069485187530518}]","[{'label': 'joy', 'score': 0.6335620284080505}]","[{'label': 'anger', 'score': 0.8127387166023254}]",
9,"[{'label': 'fear', 'score': 0.3844509422779083}]","[{'label': 'joy', 'score': 0.4873179793357849}]","[{'label': 'fear', 'score': 0.6796719431877136}]","[{'label': 'anger', 'score': 0.4562264382839203}]","[{'label': 'anger', 'score': 0.39981305599212646}]","[{'label': 'fear', 'score': 0.4156590700149536}]","[{'label': 'anger', 'score': 0.7357610464096069}]","[{'label': 'anger', 'score': 0.6530293822288513}]","[{'label': 'anger', 'score': 0.5946279764175415}]","[{'label': 'anger', 'score': 0.7746627330780029}]","[{'label': 'joy', 'score': 0.8406118154525757}]","[{'label': 'joy', 'score': 0.5017430782318115}]","[{'label': 'anger', 'score': 0.5880292654037476}]","[{'label': 'anger', 'score': 0.5648590326309204}]","[{'label': 'anger', 'score': 0.6260486245155334}]","[{'label': 'joy', 'score': 0.7955695390701294}]","[{'label': 'joy', 'score': 0.550032377243042}]","[{'label': 'anger', 'score': 0.6613249182701111}]","[{'label': 'anger', 'score': 0.531589150428772}]","[{'label': 'anger', 'score': 0.8479005098342896}]","[{'label': 'joy', 'score': 0.43739452958106995}]","[{'label': 'fear', 'score': 0.5897171497344971}]","[{'label': 'anger', 'score': 0.4330349862575531}]","[{'label': 'anger', 'score': 0.4476351737976074}]",,
