date,close,adj_close,whole_song_vader,song_mean_by_sentence_vader,song_mean_by_sentence_without_0_vader,whole_song_textblob,song_by_sentence_without_0_textblob,song_bert,song_flair,,WEIGHTED_whole_song_score,WEIGHTED_mean_by_sentence_song_score,WEIGHTED_mean_without_0_by_sentence_song_score,WEIGHTED_tb_whole_song,WEIGHTED_tb_song_by_sentence,WEIGHTED_tb_song_by_sentence_without_0,WEIGHTED_bert,WEIGHTED_flair,,vader,textblob,textblob_full,vader_full
1/3/17,117.230003,104.913101,0.342644,0.058717405,0.113224206,0.102330329,0.118448238,3.330889383,0.132211426,,0.346191283,0.058468301,0.112700409,0.108016498,0.045995225,0.124024521,3.597214101,0.091059729,,1.095073458,1.118784351,1.036156958,1.06846245
1/10/17,117.220001,104.904152,0.282988,0.048846632,0.085448719,0.075832646,0.087923541,3.197612319,0.018187199,,0.315919805,0.053936598,0.099118343,0.08519775,0.037470649,0.097302973,3.486711152,-0.009069534,,1.068608524,1.082278755,1.026796198,1.065111839
1/17/17,116.910004,104.62674,0.24816,0.039356385,0.070404304,0.072616219,0.084230845,3.180948054,0.057724767,,0.282875891,0.043809376,0.083093351,0.081238155,0.035957755,0.092516479,3.433035639,0.035991853,,1.052017735,1.101198297,1.0280266,1.056437135
1/24/17,118.160004,105.745415,0.313874,0.046611237,0.091588635,0.086640109,0.098249304,3.214145358,0.095629327,,0.343877401,0.050085105,0.098743374,0.093071711,0.039853029,0.104948278,3.521329992,0.068947719,,1.057749244,1.085144621,1.032332966,1.056547118
1/31/17,118.419998,105.978073,0.29395,0.04505506,0.090661791,0.080233825,0.095805595,3.190644186,0.108502529,,0.32383388,0.048548793,0.098918292,0.087103131,0.038584265,0.103588252,3.501793867,0.084611966,,1.074470472,1.085319036,1.028910405,1.057785619
2/7/17,119.540001,106.980392,0.397111,0.054598829,0.113099671,0.093411946,0.114321764,3.236636251,0.090160969,,0.449192117,0.062372835,0.128502155,0.10557401,0.047414105,0.127307354,3.556382163,0.070567704,,1.091607933,1.099804828,1.036379634,1.065118508
2/14/17,121.309998,108.56443,0.344772,0.055539812,0.110314021,0.092687966,0.111704641,3.227970508,0.088777893,,0.38707897,0.062110137,0.122311715,0.101602706,0.044502093,0.122460944,3.529949483,0.088505379,,1.126496202,1.107917143,1.034552367,1.067043924
2/21/17,121.980003,109.16404,0.415443,0.058202148,0.117517879,0.085400246,0.102642422,3.219632647,0.077700514,,0.461155036,0.065401111,0.131537316,0.094748504,0.040193475,0.111881254,3.508982711,0.065930793,,1.101377392,1.090481605,1.034344875,1.065100359
2/28/17,122.75,109.853157,0.380286,0.049646731,0.100777496,0.075004034,0.090776493,3.212367881,0.145366615,,0.428271568,0.056546894,0.114009857,0.085017433,0.036150409,0.103533454,3.549791878,0.135520195,,1.912658703,1.175251524,1.024795571,1.059017097
3/7/17,122.040001,109.217743,0.347911,0.048057688,0.096886435,0.077959609,0.091592993,3.212717414,0.033159288,,0.400771031,0.055656063,0.110821438,0.088406723,0.035997163,0.104573456,3.5687637,0.023000166,,1.787738273,1.085523678,1.023465239,1.055650633
3/14/17,122.57,109.692047,0.377545,0.051470056,0.099859759,0.0767385,0.093285767,3.250635374,0.065791107,,0.425674487,0.059546659,0.114275201,0.087870799,0.036779481,0.107437578,3.624684052,0.057794585,,1.822417703,1.095920023,1.022849655,1.057704752
3/21/17,120.160004,108.02037,0.438685,0.064427246,0.128901804,0.099353505,0.118898488,3.340098706,0.123055721,,0.504000405,0.075901176,0.151357122,0.114116664,0.044068247,0.135545876,3.754992649,0.115032105,,1.836817356,1.150594582,1.028782573,1.066643105
3/28/17,121.32,109.063187,0.342683,0.054922286,0.10086136,0.076684637,0.09153692,3.261804257,0.043568406,,0.40400588,0.063675382,0.11877642,0.087500449,0.035195939,0.104319695,3.677479975,0.026772927,,1.853691119,1.133050436,1.022473515,1.065814068
4/4/17,120.879997,108.66761,0.43423,0.055158649,0.106317467,0.083267785,0.098646204,3.213437172,0.00197283,,0.516806066,0.067609534,0.130730911,0.098463317,0.039009359,0.115765224,3.623708137,-0.015866368,,1.813963184,1.098307041,1.023386359,1.061637764
4/11/17,,,0.457832,0.06269235,0.120005123,0.078541294,0.095764168,3.23256272,-0.028514923,,0.503136969,0.068606091,0.13377347,0.084918006,0.033735384,0.102961059,3.595830548,-0.060327234,,1.795353851,1.071665905,1.020326254,1.069819149
