dates,song,artist,vader,textblob,textblob_full,vader_full,ID,track_length,track_popularity,weight,WEIGHTED_vader,WEIGHTED_vader_full,WEIGHTED_textblob,WEIGHTED_textblob_full
"2021-10-23, 2021-10-30, 2021-11-06",Easy On Me,Adele,1.18018018,1.45045045,1.12482663,1.13024602,0gplL1WMoJ6iYaPgMCL0gX,224694,83,1.2793670933714698,1.5098836865412182,1.445999565402072,1.8556585762958404,1.4390661761699257
"2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Stay,The Kid LAROI & Justin Bieber,0.960159363,0.958506224,1.00517866,0.99484802,5HCyWlXZPP0y6Gqq8TgA20,141805,85,1.3101952161033124,1.2579962040994037,1.3034451165538525,1.2558302692900498,1.3169802716611378
"2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Industry Baby,Lil Nas X & Jack Harlow,1.0,0.944751381,1.0191022,1.07928301,27NovPIUIRrOZoCHxABJwK,212000,81,1.248538970639627,1.248538970639627,1.347526898334238,1.179558916744106,1.2723888117645794
"2021-07-03, 2021-07-10, 2021-07-17, 2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Fancy Like,Walker Hayes,1.18018018,0.90990991,1.02563007,1.13802951,58UKC45GPNTflCN6nwCUeF,161853,75,1.1560546024440992,1.3643527288023054,1.315624252752703,1.051905539264996,1.1856843628285636
"2021-07-10, 2021-07-17, 2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Bad Habits,Ed Sheeran,0.863945578,0.953596288,0.96245894,0.96636233,3rmo8F54jFF8OgYsqTxm5d,230746,85,1.3101952161033124,1.1319373632692111,1.2661233017884506,1.2493972946314764,1.261009098883865
"2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Way 2 Sexy,Drake Featuring Future & Young Thug,6.445544554,5.122137405,1.22013713,1.39809606,0k1WUmIRnG3xU6fvvDVfRG,257604,78,1.202296786541863,7.749457504786605,1.6809264002148399,6.158329342257377,1.4669669505394112
"2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Shivers,Ed Sheeran,0.950248756,1.055248619,1.06776789,1.14876801,50nfwKoDiSYg8zOCREWAm5,207853,87,1.341023338835155,1.2743057594950724,1.5405247123172165,1.4151130263525664,1.4319016609487685
"2021-05-29, 2021-06-05, 2021-06-12, 2021-06-19, 2021-06-26, 2021-07-03, 2021-07-10, 2021-07-17, 2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Good 4 U,Olivia Rodrigo,1.366492147,1.447761194,1.22421525,1.30913012,4ZtFanR9U6ndgddUvNcjcG,178146,87,1.341023338835155,1.8324978614619594,1.755574044492067,1.9414815502138503,1.641701222007914
"2021-06-26, 2021-07-03, 2021-07-10, 2021-07-17, 2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Need To Know,Doja Cat,1.066225166,1.0,0.99059856,1.15123571,3Vi5XqYrmQgOYBajMWSvCi,210560,82,1.2639530320055483,1.347658531366319,1.45510786620756,1.2639530320055483,1.2520700534123301
"2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Levitating,Dua Lipa,1.198675497,1.0,1.03935458,1.23685457,5nujrmhLynf4yMoMtj8AQF,203064,85,1.3101952161033124,1.5704989018296602,1.6205209406295196,1.3101952161033124,1.3617573985510674
"2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Levitating,Dua Lipa,1.198675497,1.0,1.03935458,1.23685457,5nujrmhLynf4yMoMtj8AQF,203064,85,1.3101952161033124,1.5704989018296602,1.6205209406295196,1.3101952161033124,1.3617573985510674
"2020-10-17, 2020-10-24, 2020-10-31, 2020-11-07, 2020-11-14, 2020-11-21, 2020-11-28, 2020-12-05, 2020-12-12, 2020-12-19, 2020-12-26, 2021-01-02, 2021-01-09, 2021-01-16, 2021-01-23, 2021-01-30, 2021-02-06, 2021-02-13, 2021-02-20, 2021-02-27, 2021-03-06, 2021-03-13, 2021-03-20, 2021-03-27, 2021-04-03, 2021-04-10, 2021-04-17, 2021-04-24, 2021-05-01, 2021-05-08, 2021-05-15, 2021-05-22, 2021-05-29, 2021-06-05, 2021-06-12, 2021-06-19, 2021-06-26, 2021-07-03, 2021-07-10, 2021-07-17",Levitating,Dua Lipa Featuring DaBaby,0.933774834,1.0,1.04253509,1.2283105,5nujrmhLynf4yMoMtj8AQF,203064,85,1.3101952161033124,1.2234273204244648,1.6093265409894677,1.3101952161033124,1.3659244875378362
"2020-10-17, 2020-10-24, 2020-10-31, 2020-11-07, 2020-11-14, 2020-11-21, 2020-11-28, 2020-12-05, 2020-12-12, 2020-12-19, 2020-12-26, 2021-01-02, 2021-01-09, 2021-01-16, 2021-01-23, 2021-01-30, 2021-02-06, 2021-02-13, 2021-02-20, 2021-02-27, 2021-03-06, 2021-03-13, 2021-03-20, 2021-03-27, 2021-04-03, 2021-04-10, 2021-04-17, 2021-04-24, 2021-05-01, 2021-05-08, 2021-05-15, 2021-05-22, 2021-05-29, 2021-06-05, 2021-06-12, 2021-06-19, 2021-06-26, 2021-07-03, 2021-07-10, 2021-07-17",Levitating,Dua Lipa Featuring DaBaby,0.933774834,1.0,1.04253509,1.2283105,5nujrmhLynf4yMoMtj8AQF,203064,85,1.3101952161033124,1.2234273204244648,1.6093265409894677,1.3101952161033124,1.3659244875378362
"2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Essence,Wizkid Featuring Justin Bieber & Tems,1.909090909,1.0,1.0244798,1.02065262,5FG7Tl93LdH117jEKYl3Cm,248040,75,1.1560546024440992,2.2070133318336387,1.179930158847628,1.1560546024440992,1.1843545879010102
"2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Essence,Wizkid Featuring Justin Bieber & Tems,1.909090909,1.0,1.0244798,1.02065262,5FG7Tl93LdH117jEKYl3Cm,248040,75,1.1560546024440992,2.2070133318336387,1.179930158847628,1.1560546024440992,1.1843545879010102
7/17/21,Essence,Wizkid Featuring Tems,1.0,1.0,1.0290336,1.13235965,5FG7Tl93LdH117jEKYl3Cm,248040,75,1.1560546024440992,1.1560546024440992,1.3090695850044893,1.1560546024440992,1.1896190293496203
7/17/21,Essence,Wizkid Featuring Tems,1.0,1.0,1.0290336,1.13235965,5FG7Tl93LdH117jEKYl3Cm,248040,75,1.1560546024440992,1.1560546024440992,1.3090695850044893,1.1560546024440992,1.1896190293496203
"2021-04-24, 2021-05-01, 2021-05-08, 2021-05-15, 2021-05-22, 2021-05-29, 2021-06-05, 2021-06-12, 2021-06-19, 2021-06-26, 2021-07-03, 2021-07-10, 2021-07-17, 2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Kiss Me More,Doja Cat Featuring SZA,0.813664596,1.0,1.03039514,1.06026232,3DarAbFujv6eYNliUTyqtz,208666,83,1.2793670933714698,1.0409757091637912,1.3564647225496913,1.2793670933714698,1.3182536352858887
"2021-01-16, 2021-02-06, 2021-02-13, 2021-02-20, 2021-02-27, 2021-03-06, 2021-03-13, 2021-03-20, 2021-03-27, 2021-04-03, 2021-04-10, 2021-04-17, 2021-04-24, 2021-05-01, 2021-05-08, 2021-05-15, 2021-05-22, 2021-05-29, 2021-06-05, 2021-06-12, 2021-06-19, 2021-06-26, 2021-07-03, 2021-07-10, 2021-07-17, 2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Heat Waves,Glass Animals,1.381679389,0.917355372,1.00543183,1.05025126,3USxtqRwSYz57Ewm6wWRMp,238805,90,1.387265522932919,1.916756180106721,1.456977363414857,1.2726154798529024,1.3948009134183517
"2021-07-10, 2021-07-17, 2021-07-24, 2021-07-31, 2021-08-07, 2021-08-14, 2021-08-21, 2021-08-28, 2021-09-04, 2021-09-11, 2021-09-18, 2021-09-25, 2021-10-02, 2021-10-09, 2021-10-16, 2021-10-23, 2021-10-30, 2021-11-06",Beggin',Maneskin,0.752066116,1.0,1.09620524,1.16949153,3Wrjm47oTz2sjIgck11l5e,211560,85,1.3101952161033124,0.9853534273765987,1.5322622078793433,1.3101952161033124,1.4362428613153833
