week_start,vader,textblob,textblob_full,vader_full,,WEIGHTED_spotify_bert_old,WEIGHTED_spotify_flair_old,DJIA,ICC,song_flair_old,song_bert_old
1/3/17,1.095073458,1.118784351,1.036156958,1.06846245,,3.597214101,0.091059729,19881.76,98.5,0.132211426,3.330889383
1/10/17,1.068608524,1.082278755,1.026796198,1.065111839,,3.486711152,-0.009069534,19855.53,98.5,0.018187199,3.197612319
1/17/17,1.052017735,1.101198297,1.0280266,1.056437135,,3.433035639,0.035991853,19826.77,98.5,0.057724767,3.180948054
1/24/17,1.057749244,1.085144621,1.032332966,1.056547118,,3.521329992,0.068947719,19912.71,98.5,0.095629327,3.214145358
1/31/17,1.074470472,1.085319036,1.028910405,1.057785619,,3.501793867,0.084611966,19864.09,98.5,0.108502529,3.190644186
2/7/17,1.091607933,1.099804828,1.036379634,1.065118508,,3.556382163,0.070567704,20090.29,96.3,0.090160969,3.236636251
2/14/17,1.126496202,1.107917143,1.034552367,1.067043924,,3.529949483,0.088505379,20504.41,96.3,0.088777893,3.227970508
2/21/17,1.101377392,1.090481605,1.034344875,1.065100359,,3.508982711,0.065930793,20743,96.3,0.077700514,3.219632647
2/28/17,1.912658703,1.175251524,1.024795571,1.059017097,,3.549791878,0.135520195,20812.24,96.3,0.145366615,3.212367881
3/7/17,1.787738273,1.085523678,1.023465239,1.055650633,,3.5687637,0.023000166,20924.76,96.9,0.033159288,3.212717414
3/14/17,1.822417703,1.095920023,1.022849655,1.057704752,,3.624684052,0.057794585,20837.37,96.9,0.065791107,3.250635374
3/21/17,1.836817356,1.150594582,1.028782573,1.066643105,,3.754992649,0.115032105,20668.01,96.9,0.123055721,3.340098706
3/28/17,1.853691119,1.133050436,1.022473515,1.065814068,,3.677479975,0.026772927,20701.5,96.9,0.043568406,3.261804257
4/4/17,1.813963184,1.098307041,1.023386359,1.061637764,,3.623708137,-0.015866368,20689.24,97,0.00197283,3.213437172
4/11/17,1.795353851,1.071665905,1.020326254,1.069819149,,3.595830548,-0.060327234,20651.3,97,-0.028514923,3.23256272
4/18/17,1.812898991,1.083754833,1.021072981,1.069798203,,3.578614989,-0.091476555,20523.28,97,-0.046443992,3.221094474
4/25/17,1.787264085,1.074851298,1.016787893,1.068930157,,3.621936725,-0.05658234,20996.12,97,-0.011996883,3.225672214
5/2/17,1.764904958,1.074880137,1.020017277,1.060077326,,3.612616664,0.004931319,20949.89,97.1,0.023362105,3.194479628
5/9/17,1.834135949,1.064482142,1.018769616,1.059313344,,3.673684866,0.023876425,20975.78,97.1,0.034258539,3.226977441
5/16/17,1.807563176,1.079691104,1.022305627,1.06295228,,3.651434347,0.069527109,20979.75,97.1,0.098825291,3.22530329
5/23/17,1.795264249,1.100382667,1.020143215,1.056033322,,3.623529655,0.05566861,20937.91,97.1,0.066943243,3.214891803
5/30/17,1.853134158,1.122500555,1.022336744,1.058883517,,3.624899916,0.076364236,21029.47,97.1,0.079200674,3.224499921
6/6/17,1.872472846,1.382498157,1.019323321,1.064100119,,3.55238273,0.099173295,21136.23,95,0.112513983,3.227329752
6/13/17,1.866285995,1.370919306,1.021762794,1.064983025,,3.6092844,0.064439328,21328.47,95,0.055988756,3.215328374
6/20/17,1.880611912,1.37430715,1.023765287,1.072444507,,3.60477485,0.138338427,21467.14,95,0.144415589,3.246142854
6/27/17,1.874295367,1.365283606,1.024227786,1.072439949,,3.626882784,0.134502595,21310.66,95,0.145635497,3.238371007
7/4/17,1.847568268,1.366110107,1.023734096,1.06624107,,3.632801846,0.131853804,21409.07,93.4,0.148126,3.250282429
7/11/17,1.8868437,1.359310566,1.025248409,1.071244728,,3.604544791,0.110833898,21574.73,93.4,0.134543426,3.257840495
7/18/17,1.900401126,1.371372883,1.02354959,1.064149113,,3.624660744,0.128666143,21613.43,93.4,0.125691992,3.184681772
7/25/17,1.922692036,1.394696933,1.023142781,1.071546816,,3.605602439,0.123599693,21963.92,93.4,0.109947084,3.206850055
8/1/17,1.947575225,1.384145995,1.020135431,1.067807356,,3.615120349,0.210616732,22085.34,96.8,0.204944559,3.19677499
8/8/17,1.900679169,1.050249606,1.012785342,1.058985256,,3.530575196,0.207686209,21998.99,96.8,0.162020152,3.139224364
8/15/17,1.938610048,1.123290294,1.019982718,1.068899894,,3.598841883,0.179914268,21899.89,96.8,0.151430113,3.179847218
8/22/17,1.8401442,1.128011509,1.020328649,1.071468016,,3.567788503,0.189120219,21865.37,96.8,0.155197099,3.155456811
8/29/17,1.839647694,1.14583398,1.022620402,1.070819479,,3.597207683,0.119135123,21753.31,96.8,0.093403259,3.178967272
9/5/17,1.835913374,1.124909027,1.021067312,1.07964363,,3.57460316,0.046745023,22118.86,95.1,0.033955598,3.165010553
9/12/17,1.82472403,1.086644701,1.020608041,1.071813147,,3.501605401,-0.098296587,22370.8,95.1,-0.084427893,3.037390922
9/19/17,1.626584321,1.093403497,1.01890064,1.070537554,,3.58126016,-0.025925273,22284.32,95.1,-0.015403682,3.107823427
9/26/17,1.586159709,1.064588167,1.020721693,1.066111912,,3.558436042,-0.025141923,22641.67,95.1,-0.019821762,3.112787793
