song,artist,position,average,standard_deviation
Easy On Me,Adele,"{'2021-11-06': 1, '2021-10-30': 1, '2021-10-23': 68}",23.33333333,31.58410289
Stay,Zedd & Alessia Cara,"{'2021-11-06': 2, '2021-10-30': 2, '2021-10-23': 2, '2021-10-16': 1, '2021-10-09': 2, '2021-10-02': 1, '2021-09-25': 1, '2021-09-18': 6, '2021-09-11': 2, '2021-09-04': 1, '2021-08-28': 1, '2021-08-21': 1, '2021-08-14': 1, '2021-08-07': 4, '2021-07-31': 4, '2021-07-24': 3, '2020-12-05': 22, '2018-06-02': 88, '2018-05-26': 65, '2018-05-19': 45, '2018-05-12': 17, '2017-10-14': 47, '2017-10-07': 42, '2017-09-30': 41, '2017-09-23': 34, '2017-09-16': 30, '2017-09-09': 27, '2017-09-02': 23, '2017-08-26': 20, '2017-08-19': 19, '2017-08-12': 14, '2017-08-05': 14, '2017-07-29': 12, '2017-07-22': 11, '2017-07-15': 11, '2017-07-08': 10, '2017-07-01': 8, '2017-06-24': 9, '2017-06-17': 7, '2017-06-10': 7, '2017-06-03': 9, '2017-05-27': 9, '2017-05-20': 11, '2017-05-13': 11, '2017-05-06': 7, '2017-04-29': 14, '2017-04-22': 14, '2017-04-15': 17, '2017-04-08': 21, '2017-04-01': 27, '2017-03-25': 34, '2017-03-18': 28}",16.51923077,17.41737681
Industry Baby,Lil Nas X & Jack Harlow,"{'2021-11-06': 3, '2021-10-30': 3, '2021-10-23': 1, '2021-10-16': 2, '2021-10-09': 3, '2021-10-02': 2, '2021-09-25': 6, '2021-09-18': 20, '2021-09-11': 7, '2021-09-04': 5, '2021-08-28': 7, '2021-08-21': 8, '2021-08-14': 7, '2021-08-07': 2}",5.428571429,4.62468973
Fancy Like,Walker Hayes,"{'2021-11-06': 4, '2021-10-30': 4, '2021-10-23': 3, '2021-10-16': 3, '2021-10-09': 5, '2021-10-02': 5, '2021-09-25': 5, '2021-09-18': 21, '2021-09-11': 9, '2021-09-04': 11, '2021-08-28': 12, '2021-08-21': 15, '2021-08-14': 15, '2021-08-07': 14, '2021-07-31': 15, '2021-07-24': 21, '2021-07-17': 20, '2021-07-10': 34, '2021-07-03': 51}",14.05263158,11.76289297
Bad Habits,Ed Sheeran,"{'2021-11-06': 5, '2021-10-30': 5, '2021-10-23': 4, '2021-10-16': 5, '2021-10-09': 6, '2021-10-02': 4, '2021-09-25': 3, '2021-09-18': 13, '2021-09-11': 3, '2021-09-04': 2, '2021-08-28': 2, '2021-08-21': 3, '2021-08-14': 5, '2021-08-07': 7, '2021-07-31': 6, '2021-07-24': 6, '2021-07-17': 6, '2021-07-10': 5}",5,2.40370085
Way 2 Sexy,Drake Featuring Future & Young Thug,"{'2021-11-06': 6, '2021-10-30': 6, '2021-10-23': 5, '2021-10-16': 4, '2021-10-09': 4, '2021-10-02': 3, '2021-09-25': 2, '2021-09-18': 1}",3.875,1.690968657
Shivers,Ed Sheeran,"{'2021-11-06': 7, '2021-10-30': 9, '2021-10-23': 10, '2021-10-16': 11, '2021-10-09': 14, '2021-10-02': 17, '2021-09-25': 16}",12,3.464101615
Good 4 U,Olivia Rodrigo,"{'2021-11-06': 8, '2021-10-30': 7, '2021-10-23': 6, '2021-10-16': 6, '2021-10-09': 7, '2021-10-02': 6, '2021-09-25': 7, '2021-09-18': 15, '2021-09-11': 4, '2021-09-04': 3, '2021-08-28': 3, '2021-08-21': 2, '2021-08-14': 2, '2021-08-07': 3, '2021-07-31': 2, '2021-07-24': 2, '2021-07-17': 2, '2021-07-10': 2, '2021-07-03': 2, '2021-06-26': 2, '2021-06-19': 2, '2021-06-12': 2, '2021-06-05': 2, '2021-05-29': 1}",4.083333333,3.108009366
Need To Know,Doja Cat,"{'2021-11-06': 9, '2021-10-30': 11, '2021-10-23': 11, '2021-10-16': 13, '2021-10-09': 16, '2021-10-02': 18, '2021-09-25': 21, '2021-09-18': 38, '2021-09-11': 24, '2021-09-04': 14, '2021-08-28': 20, '2021-08-21': 20, '2021-08-14': 32, '2021-08-07': 37, '2021-07-31': 46, '2021-07-24': 63, '2021-07-17': 64, '2021-07-10': 49, '2021-07-03': 66, '2021-06-26': 38}",30.5,18.30163927
Levitating,Dua Lipa Featuring DaBaby,"{'2021-11-06': 10, '2021-10-30': 8, '2021-10-23': 8, '2021-10-16': 8, '2021-10-09': 10, '2021-10-02': 11, '2021-09-25': 9, '2021-09-18': 23, '2021-09-11': 8, '2021-09-04': 6, '2021-08-28': 6, '2021-08-21': 5, '2021-08-14': 3, '2021-08-07': 5, '2021-07-31': 3, '2021-07-24': 4, '2021-07-17': 3, '2021-07-10': 4, '2021-07-03': 3, '2021-06-26': 3, '2021-06-19': 3, '2021-06-12': 3, '2021-06-05': 4, '2021-05-29': 3, '2021-05-22': 2, '2021-05-15': 4, '2021-05-08': 5, '2021-05-01': 5, '2021-04-24': 6, '2021-04-17': 7, '2021-04-10': 7, '2021-04-03': 7, '2021-03-27': 7, '2021-03-20': 13, '2021-03-13': 10, '2021-03-06': 10, '2021-02-27': 9, '2021-02-20': 8, '2021-02-13': 5, '2021-02-06': 5, '2021-01-30': 6, '2021-01-23': 6, '2021-01-16': 7, '2021-01-09': 10, '2021-01-02': 27, '2020-12-26': 27, '2020-12-19': 27, '2020-12-12': 26, '2020-12-05': 24, '2020-11-28': 20, '2020-11-21': 26, '2020-11-14': 29, '2020-11-07': 42, '2020-10-31': 47, '2020-10-24': 54, '2020-10-17': 73}",12.75,14.00669483
Essence,Wizkid Featuring Tems,"{'2021-11-06': 11, '2021-10-30': 12, '2021-10-23': 9, '2021-10-16': 10, '2021-10-09': 11, '2021-10-02': 14, '2021-09-25': 17, '2021-09-18': 34, '2021-09-11': 19, '2021-09-04': 13, '2021-08-28': 16, '2021-08-21': 44, '2021-08-14': 54, '2021-08-07': 59, '2021-07-31': 67, '2021-07-24': 72, '2021-07-17': 82}",32,24.63378837
Kiss Me More,Doja Cat Featuring SZA,"{'2021-11-06': 12, '2021-10-30': 10, '2021-10-23': 7, '2021-10-16': 7, '2021-10-09': 8, '2021-10-02': 7, '2021-09-25': 8, '2021-09-18': 19, '2021-09-11': 5, '2021-09-04': 4, '2021-08-28': 5, '2021-08-21': 4, '2021-08-14': 6, '2021-08-07': 6, '2021-07-31': 5, '2021-07-24': 5, '2021-07-17': 4, '2021-07-10': 3, '2021-07-03': 4, '2021-06-26': 4, '2021-06-19': 7, '2021-06-12': 7, '2021-06-05': 8, '2021-05-29': 10, '2021-05-22': 5, '2021-05-15': 5, '2021-05-08': 6, '2021-05-01': 8, '2021-04-24': 7}",6.75862069,3.092317203
Heat Waves,Glass Animals,"{'2021-11-06': 13, '2021-10-30': 14, '2021-10-23': 12, '2021-10-16': 15, '2021-10-09': 15, '2021-10-02': 16, '2021-09-25': 15, '2021-09-18': 33, '2021-09-11': 23, '2021-09-04': 33, '2021-08-28': 34, '2021-08-21': 31, '2021-08-14': 31, '2021-08-07': 30, '2021-07-31': 32, '2021-07-24': 35, '2021-07-17': 27, '2021-07-10': 25, '2021-07-03': 19, '2021-06-26': 21, '2021-06-19': 24, '2021-06-12': 25, '2021-06-05': 37, '2021-05-29': 42, '2021-05-22': 33, '2021-05-15': 34, '2021-05-08': 42, '2021-05-01': 39, '2021-04-24': 41, '2021-04-17': 44, '2021-04-10': 50, '2021-04-03': 57, '2021-03-27': 56, '2021-03-20': 57, '2021-03-13': 61, '2021-03-06': 65, '2021-02-27': 64, '2021-02-20': 69, '2021-02-13': 86, '2021-02-06': 91, '2021-01-16': 100}",38.80487805,21.46263857
