song,artist,counter
Easy On Me,Adele,"{'easy': 6, 'choose': 6, 'bring': 1, 'drown': 1, 'stuck': 1, 'deny': 1, 'hard': 1}"
Stay,The Kid LAROI & Justin Bieber,"{'ooh': 20, 'realize': 1, 'believe': 1, 'difficult': 1, 'afraid': 1, 'live': 1}"
Industry Baby,Lil Nas X & Jack Harlow,"{'ooh': 4, 'long': 3, 'hear': 3, 'lose': 2, 'woo': 2, 'late': 2, 'new': 1, 'nasty': 1, 'send': 1, 'proud': 1}"
Fancy Like,Walker Hayes,"{'ooh': 5, 'slow': 3, 'happy': 1, 'woo': 1, 'wide': 1, 'new': 1, 'up': 1}"
Bad Habits,Ed Sheeran,"{'ooh': 26, 'lose': 6, 'late': 3, 'wide': 3, 'happen': 3, 'implodes': 1, 'pure': 1, 'long': 1}"
Way 2 Sexy,Drake Featuring Future & Young Thug,"{'sexy': 51, 'spend': 3, 'new': 2, 'pray': 2, 'woo': 2, 'accept': 1, 'unprotected': 1, 'send': 1, 'sure': 1, 'all': 1, 'molest': 1, 'prosthetic': 1}"
Shivers,Ed Sheeran,"{'ooh': 10, 'bring': 6, 'hot': 2, 'moonlit': 1, 'hard': 1}"
Good 4 U,Olivia Rodrigo,"{'emotional': 4, 'new': 3, 'happy': 3, 'healthy': 3, 'ask': 3, 'lose': 3, 'spent': 3, 'unaffected': 3, 'remember': 2, 'happen': 1, 'swore': 1}"
Need To Know,Doja Cat,"{'ooh': 3, 'wide': 2, 'eat': 2, 'subtract': 1, 'sexual': 1, 'new': 1, 'flexible': 1, 'ugly': 1, 'exciting': 1, 'likely': 1, 'sorry': 1, 'random': 1, 'heard': 1}"
Levitating,Dua Lipa,"{'levitate': 11, 'woo': 4, 'believe': 1, 'write': 1, 'lose': 1, 'levitating': 1}"
Essence,Wizkid Featuring Justin Bieber & Tems,"{'subes': 1, 'please': 1}"
Kiss Me More,Doja Cat Featuring SZA,"{'write': 6, 'lose': 4, 'exhale': 2, 'ooh': 2, 'sure': 1, 'refresh': 1, 'slow': 1}"
Heat Waves,Glass Animals,"{'late': 8, 'happy': 7, 'lose': 1, 'breathe': 1, 'new': 1, 'broken': 1, 'comfortable': 1, 'sad': 1}"
Beggin',Maneskin,"{'hard': 3, 'easy': 2, 'live': 2, 'rid': 1, 'bleed': 1, 'grow': 1, 'lose': 1, 'understand': 1, 'broken': 1, 'replace': 1}"
Cold Heart (PNAU Remix),Elton John & Dua Lipa,"{'long': 8, 'brings': 4, 'harden': 3, 'hid': 3, 'lingers': 1, 'strong': 1}"
You Right,Doja Cat & The Weeknd,"{'new': 3, 'believe': 1, 'hesitate': 1, 'choose': 1, 'connect': 1, 'belong': 1}"
Save Your Tears,The Weeknd & Ariana Grande,"{'ooh': 4, 'crowded': 1, 'happy': 1, 'caught': 1, 'realize': 1, 'late': 1, 'deserve': 1}"
If I Didn't Love You,Jason Aldean & Carrie Underwood,"{'easy': 3, 'new': 2, 'long': 1, 'ask': 1, 'hard': 1}"
