song,artist,dateRank,lyrics
Bad Romance,Lady Gaga,"{'2010-01-09': 3, '2010-01-02': 3}","126 ContributorsTranslationsEspañolPortuguêsBad Romance Lyrics[Chorus]
Oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra, ah-ah-ah
Roma, roma-ma
Gaga, ooh, la-la
Want your bad romance
Ra-ra-ah-ah-ah
Roma, roma-ma
Gaga, ooh, la-la
Want your bad romance

[Verse 1]
I want your ugly, I want your disease
I want your everything as long as it's free
I want your love
Love, love, love, I want your love (Oh, ey)
I want your drama, the touch of your hand (Hey!)
I want your leather-studded kiss in the sand
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)
You might also like[Pre-Chorus]
You know that I want you
And you know that I need you
I want it bad, your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
(Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra, ah-ah-ah
Roma-roma-ma
Gaga, ooh, la-la
Want your bad romance

[Verse 2]
I want your horror, I want your design
'Cause you're a criminal as long as you're mine
I want your love
Love, love, love, I want your love (Uh)
I want your psycho, your vertigo schtick (Hey!)
Want you in my rear window, baby, you're sick
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)
[Pre-Chorus]
You know that I want you
And you know that I need you ('Cause I'm a free bitch, baby)
I want it bad, your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
(Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ooh, la-la
Want your bad romance
Ra-ra-ah-ah-ah
Roma, roma-ma
Gaga, ooh, la-la
Want your bad romance
[Interlude]
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, passion, baby
Work it, I'm a free bitch, baby

[Bridge]
I want your love, and I want your revenge
I want your love, I don't wanna be friends
Je veux ton amour, et je veux ta revanche
Je veux ton amour, I don't wanna be friends
(Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh)
(I want your bad romance)
(I want your bad romance) No, I don't wanna be friends
(I want your bad romance) (Caught in a bad romance)
(I want your bad romance) I don't wanna be friends
(Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh)
(I want your bad romance)
(I want your bad romance) Want your bad romance
(I want your bad romance) (Caught in a bad romance)
Want your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
(Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh (Want your bad romance)
Oh-oh-oh
Caught in a bad romance (Want your bad romance)
Oh-oh-oh-oh-oh, oh-oh-oh-oh (Want your bad romance)
Oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma, roma-ma
Gaga, ooh, la-la
Want your bad romance72Embed"
"Hey, Soul Sister",Train,"{'2010-01-09': 34, '2010-01-02': 32}","77 ContributorsHey, Soul Sister Lyrics[Intro]
Hey
Hey
Hey

[Verse 1]
Your lipstick stains
On the front lobe of my left-side brains
I knew I wouldn't forget you
And so I went and let you blow my mind
Your sweet moonbeam
The smell of you in every single dream I dream
I knew when we collided
You're the one I have decided who's one of my kind

[Chorus]
Hey, soul sister
Ain't that Mr. Mister on the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a single thing you do
Tonight

[Post-Chorus]
Hey
Hey
Hey
See Train LiveGet tickets as low as $58You might also like[Verse 2]
Just in time
I'm so glad you have a one-track mind like me
You gave my life direction
A game show love connection we can't deny
I'm so obsessed
My heart is bound to beat right out my untrimmed chest
I believe in you, like a virgin, you're Madonna
And I'm always gonna wanna blow your mind

[Chorus]
Hey, soul sister
Ain't that Mr. Mister on the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a single thing you do
Tonight

[Bridge]
The way you can cut a rug
Watching you's the only drug I need
So gangster, I'm so thug
You're the only one I'm dreaming of, you see
I can be myself now, finally
In fact, there's nothing I can't be
I want the world to see you be, with me
[Chorus]
Hey, soul sister
Ain't that Mr. Mister on the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a single thing you do tonight
Hey, soul sister
I don't want to miss a single thing you do
Tonight

[Post-Chorus]
Hey
Hey
Hey
Tonight
Hey
Hey
Hey
Tonight65Embed"
Need You Now,Lady Antebellum,"{'2010-01-09': 22, '2010-01-02': 21}","39 ContributorsNeed You Now Lyrics[Intro: Hillary Scott & Charles Kelley]
""Hey, sorry I missed your call, just leave a message after the beep""
""Hey, yeah, it's me, just been thinking about everything tonight
And I don't know, I just miss you so much
Give me a call back if you can?""

[Verse 1: Hillary Scott]
Picture perfect memories
Scattered all around the floor
Reachin' for the phone 'cause I can't fight it anymore

[Pre-Chorus: Hillary Scott & Charles Kelley]
And I wonder if I ever cross your mind
For me, it happens all the time

[Chorus: Lady A]
It's a quarter after one, I'm all alone and I need you now
Said I wouldn't call, but I've lost all control and I need you now
And I don't know how I can do without
I just need you now

[Verse 2: Charles Kelley]
Another shot of whiskey
Can't stop lookin' at the door
Wishing you'd come sweeping in the way you did before
See Lady A LiveGet tickets as low as $39You might also like[Pre-Chorus: Lady A & Charles Kelley]
And I wonder if I ever cross your mind
For me, it happens all the time

[Chorus: Lady A]
It's a quarter after one, I'm a little drunk and I need you now
Said I wouldn't call, but I've lost all control and I need you now
And I don't know how I can do without
I just need you now
Whoa, oh

[Bridge: Hillary Scott & Charles Kelley]
I guess I'd rather hurt than feel nothin' at all

[Chorus: Hillary Scott, Charles Kelley & Lady A]
It's a quarter after one, I'm all alone and I need you now
And I said I wouldn't call, but I'm a little drunk and I need you now
And I don't know how I can do without
I just need you now

[Outro: Lady A & Hillary Scott]
I just need you now
Oh baby, I need you now39Embed"
Breakeven,The Script,"{'2010-01-09': 85, '2010-01-02': 89}","61 ContributorsBreakeven Lyrics[Intro]
I'm still alive but I'm barely breathing
Just praying to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks, no, it don't break even

[Verse 1]
Her best days will be some of my worst
She finally met a man that's gonna put her first
While I'm wide awake she's no trouble sleeping
'Cause when a heart breaks, no, it don't breakeven, even, no

[Chorus]
What am I supposed to do when the best part of me was always you?
And what am I supposed to say when I'm all choked up and you're ok?
I'm falling to pieces, yeah
I'm falling to pieces

[Verse 2]
They say bad things happen for a reason
But no wise words gonna stop the bleeding
'Cause she's moved on while I'm still grieving
And when a heart breaks, no, it don't breakeven, even, even, no

[Chorus]
What am I gonna do when the best part of me was always you?
And what am I supposed to say when I'm all choked up and you're ok?
I'm falling to pieces, yeah
I'm falling to pieces, yeah
I'm falling to pieces
(One still in love while the other one's leaving)
I'm falling to pieces
('Cause when a heart breaks no it don't break even)
You might also like[Bridge]
Oh, you got his heart and my heart and none of the pain
You took your suitcase, I took the blame
Now I'm tryna make sense of what little remains, oh
'Cause you left me with no love and no love to my name

[Verse 3]
I'm still alive but I'm barely breathing
Just prayed to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks, no, it don't break
No, it don't break, no, it don't break even, no

[Chorus]
What am I gonna do when the best part of me was always you?
And what am I supposed to say when I'm all choked up and you're ok?
I'm falling to pieces, yeah
I'm falling to pieces, yeah
I'm falling to pieces
(One still in love while the other one's leaving)
I'm falling to pieces
('Cause when a heart breaks no it don't break even)

[Outro]
Oh, it don't break even, no
Oh, it don't break even, no
Oh, it don't break even, no66Embed"
Smile,Uncle Kracker,"{'2010-01-09': 44, '2010-01-02': 54}","17 ContributorsSmile Lyrics[Verse 1]
You're better than the best
I'm lucky just to linger in your light
Cooler than the flip-side of my pillow,  that's right
Completely unaware
Nothing can compare to where you send me
It lets me know that it's okay (Yeah, it's okay)
And the moments when my good times start to fade

[Chorus]
You make me smile like the sun
Fall outta bed
Sing like a bird
Dizzy in my head
Spin like a record
Crazy on a Sunday night
You make me dance like a fool
Forget how to breathe
Shine like gold
Buzz like a bee
Just the thought of you can drive me wild
Oh, you make me smile

[Verse 2]
Even when you're gone
Somehow you come along
Just like a flower poking through the sidewalk crack
And just like that
You steal away the rain
And just like that
You might also like[Chorus]
You make me smile like the sun
Fall outta bed
Sing like a bird
Dizzy in my head
Spin like a record
Crazy on a Sunday night
You make me dance like a fool
Forget how to breathe
Shine like gold
Buzz like a bee
Just the thought of you can drive me wild
Oh, you make me smile

[Bridge]
Don't know how I live without you
Cause every time that I get around you
I see the best of me inside your eyes
You make me smile

[Pre-Chorus]
You make me dance like a fool
Forget how to breathe
Shine like gold
Buzz like a bee
Just the thought of you can drive me wild
Oh, you make me smile
[Chorus]
You make me smile like the sun
Fall outta bed
Sing like a bird
Dizzy in my head
Spin like a record
Crazy on a Sunday night
You make me dance like a fool
Forget how to breathe
Shine like gold
Buzz like a bee
Just the thought of you can drive me wild
Oh, you make me smile12Embed"
In My Head,Jason Derulo,"{'2010-01-09': 59, '2010-01-02': 70}","24 ContributorsIn My Head Lyrics[Intro]
Jason Derulo
(Beluga Heights)
(J-J-J-J-J.R.)
C'mon, yeah

[Verse 1]
Everybody's looking for love, oh (Woo, huh)
Ain't that the reason you're at this club? Oh (Huh)
You ain't gon' find it dancing with him, no (No)
I got a better solution for you, girl, oh (Huh)

[Pre-Chorus]
Just leave with me now, say the word and we'll go (And we'll go)
I'll be your teacher, I'll show you the ropes (You the ropes)
You'll see the side of love you'd never known
I can see it goin' down, goin' down

[Chorus]
In my head, I see you all over me
In my head, you fulfill my fantasy
In my head, you'll be screamin' loud
In my head, it's goin' down
In my head, it's goin' down
In my head, yeah
In my head, oh, yeah, c'mon
See Jason Derulo LiveGet tickets as low as $61You might also like[Verse 2]
Some dudes know all the right things to say, ayy (Ayy, uh)
When it comes down to it, it's all just game said
Instead of talking, let me demonstrate, yeah (Yeah)
Get down to business and skip foreplay (Foreplay, ayy, yeah)

[Pre-Chorus]
Just leave with me now, say the word and we'll go (We can go)
I'll be your teacher, I'll show you the ropes (You the ropes)
You'll see the side of love you'd never known (Never known)
I can see it goin' down, goin' down

[Chorus]
In my head, I see you all over me (Baby, all over me)
In my head, you fulfill my fantasy (Fulfill my fantasy)
In my head, you'll be screamin' loud
In my head, it's goin' down
In my head, it's goin' down
In my head

[Bridge]
Break it down (Ayo, ayo), c'mon on, let's go (Ayo)
You're singin' to me, baby, in my head right now
(Ayo, ayo), c'mon, yeah (Ayo, ayo)
She'll be screamin' out when it all goes down
[Pre-Chorus]
Just leave with me now, say the word and we'll go (And we'll go)
I'll be your teacher, I'll show you the ropes (You the ropes)
You'll see the side of love you'd never known (Never known)
I can see it goin' down, goin' down

[Chorus]
In my head, I see you all over me (Head)
In my head, you fulfill my fantasy (Head)
In my head, you'll be screamin' loud (Head, oh, oh)
In my head, it's goin' down
In my head, it's goin' down
In my head, I see you all over me (All over you)
In my head, you fulfill my fantasy (You do, baby)
In my head, you'll be screamin' loud (Oh, oh)
In my head, it's goin' down (In my head)
In my head, it's goin' down
It's goin' down in my head8Embed"
Haven't Met You Yet,Michael Buble,"{'2010-01-09': 63, '2010-01-02': 71}","23 ContributorsHaven’t Met You Yet Lyrics[Verse 1]
I'm not surprised, not everything lasts
I've broken my heart so many times, I stopped keeping track
Talk myself in, I talk myself out
I get all worked up, then I let myself down

[Pre-Chorus]
I tried so very hard not to lose it
I came up with a million excuses
I thought I'd thought of every possibility

[Chorus]
And I know some day that it’ll all turn out
You'll make me work so we can work to work it out
And I promise you, kid, that I'll give so much more than I get
I just haven't met you yet

[Verse 2]
I might have to wait, I'll never give up
I guess it's half timing and the other half's luck
Wherever you are, whenever it's right
You'll come out of nowhere and into my life

[Pre-Chorus]
And I know that we can be so amazing
And baby, your love is gonna change me
And now I can see every possibility
You might also like[Chorus]
And somehow, I know that it'll all turn out
You'll make me work so we can work to work it out
And promise you, kid, I'll give so much more than I get
I just haven't met you yet

[Bridge]
They say all’s fair in love and war
But I won’t need to fight it
We'll get it right and we'll be united

[Chorus 2]
And I know that we can be so amazing
And being in your life is gonna change me
And now I can see every single possibility

[Bridge]
And someday, I know it'll all turn out
And I'll work to work it out
Promise you, kid, I'll give more than I get
Than I get, than I get, than I get

[Chorus]
Oh, you know it'll all turn out
And you'll make me work so we can work to work it out
And promise you, kid, to give so much more than I get, yeah
I just haven't met you yet
[Outro]
I just haven't met you yet
Oh, promise you, kid, to give so much more than I get
I said love, love, love, love, love, love, love
I just haven't met you yet
Love, love, love, love, love, love, love
Yeah, I just haven't met you yet25Embed"
Whataya Want From Me,Adam Lambert,"{'2010-01-09': 68, '2010-01-02': 72}","33 ContributorsTranslationsFrançaisWhataya Want From Me Lyrics[Verse 1]
Hey, slow it down
Whataya want from me?
Whataya want from me?
Yeah, I'm afraid
Whataya want from me?
Whataya want from me?

[Pre-Chorus]
There might've been a time when I would give myself away
Oh, once upon a time, I didn't give a damn
But now, here we are
So whataya want from me?
Whataya want from me?

[Chorus]
Just don't give up
I am workin' it out
Please don't give in
I won't let you down
It messed me up
Need a second to breathe
Just keep coming around
Hey, whataya want from me?
Whataya want from me?
Whataya want from me?
See Adam Lambert LiveGet tickets as low as $213You might also like[Verse 2]
Yeah (Yeah), it's plain to see (It's plain to see)
That baby, you're beautiful
And there's nothing wrong with you (Nothing wrong with you)
It's me, I'm a freak (Yeah)
But thanks for loving me
'Cause you're doing it perfectly (Perfectly)

[Pre-Chorus]
Yeah, there might've been a time when I would let you slip away
I wouldn't even try, but I think you could save my life

[Chorus]
Just don't give up
I am workin' it out
Please don't give in
I won't let you down
It messed me up
Need a second to breathe
Just keep coming around
Hey, whataya want from me? (Whataya want from me?)
Whataya want from me?
Whataya want from me? (Whataya want from me?)

[Bridge]
Just don't give up on me (Oh, oh)
I won't let you down
No, I won't let you down
So
[Chorus]
Just don't give up
I am workin' it out
Please don't give in
I won't let you down
It messed me up (It messed me up)
Need a second to breathe
Just keep coming around (Hey)
Whataya want from me?
Just don't give up
I am workin' it out
Please don't give in
I won't let you down
It messed me up
Need a second to breathe
Just keep coming around
Hey, whataya want from me? (Whataya want from me?)
Whataya want from me? (Whataya you want from me?)
Whataya want from me? (Whataya you want from me?)31Embed"
Telephone,Lady Gaga Featuring Beyonce,"{'2010-01-09': 37, '2010-01-02': 38}","1 ContributorTelephone Music Video Script LyricsStreamline PRESENTS

A Serial Pictures FIX

TELEPHONE

STARRING Lady Gaga & Beyoncé

AND Tyrese Gibson

COUNTY JAIL, FEBRUARY 11, 2010 PRISON FOR BITCHES

Jail Guard: Ooh, in-comin'.

Prisoner #1: We are gonna make you swim out of here in your own blood, bitch.

Lady Gaga: Hello, baby.

Prisoner #2: Come over here, bitch. Let's get some pussy, yo bitch.

Prisoner #3: ??

Prisoner #4: Oh little mama, ay mami.

Police #1: I told you she didn't have a dick.
Police #2: Too bad.

Speaker: Lady Gaga, you've got a call.


Prisoner #5: You ain't got nothing.

Prisoner #6: What's up, girl?

Prisoner #7: Bitch.

Prisoner #8: Go girl, get that bitch.

Prisoner #9: Get her.

Prisoner #10: Whooo.

Speakеr: Beyoncé on the line for Gaga.


Guard #1: I'ts your lucky day, somе idiot bailed you out.

Guard #2: You'll be back, honey.

Beyoncé: You've been a very bad girl. A very very bad bad girl, Gaga.
Lady Gaga: Mmh, honey-B.


Lady Gaga: Are you sure you want to do this, honey-B?

Beyoncé: What do you mean if I'm sure?

Lady Gaga: You know what they say, once you kill a cow, you gotta make a burger.

Beyoncé: You know Gaga, trust is like a mirror. You can fix it if it's broke.

Lady Gaga: But you can still see the crack in that motherfuckers reflection.

Radio: This is radio K-U-K, this is Lady Gaga featuring Beyoncé in ""Telephone"".


Beyoncé: HI HONEY.

Tyrese Gibson: WHERE HAVE YOU BEEN, B#?/7&?

Tyrese Gibson: WHAT THE F**K IS YOUR PROBLEM?

POISON

SMACK!
Customer: ワンピース! (One piece!)

POISON TV

COOK'N'KILL

RECIPES

.................

• 1 oz. Rat PoiSon

• 1/2 oz. Meta-cyanide

• 1/2 oz. Fex-M3

• 1 cup Tiberium

Shake and Stir

GOOD LUCK!


Beyoncé: I knew you would take all the honey, you selfish motherfucker.

EIN...

ZWEI...

DREI!


Reporter: Here at the scene of the crime appears to be a mass homicide, police are on the search for two women said to be fleeing the scene of the crime in Pussy Wagon.


Lady Gaga: We did it honey-B. Now let's go far far away from here.

Beyoncé: You promise we will never come back?

Lady Gaga: I promise.Embed"
I Gotta Feeling,The Black Eyed Peas,"{'2010-01-09': 14, '2010-01-02': 20}","15 ContributorsHits of the 2000s [TOP 64] Lyrics2000
#1 Breathe by Faith Hill vs. #4 I Wanna Know by Joe
#2 Smooth by Santana vs. #3 Maria Maria by Santana
2001
#1 Hanging By A Moment by Lifehouse vs. #4 Drops Of Jupiter (Tell Me) by Train
#2 Fallin' by Alicia Keys vs. #3 All For You by Janet Jackson
2002
#1 How You Remind Me by Nickelback vs. #4 Dilemma by Nelly
#2 Foolish by Ashanti vs. #3 Hot In Herre by Nelly
2003
#1 In Da Club by 50 Cent vs. #4 Crazy In Love by Beyoncé & Jay Z
#2 Ignition (Remix) by R. Kelly vs. #3 Get Busy by Sean Paul
2004
#1 Yeah! by Usher, Lil Jon, & Ludacris vs. #4 This Love by Maroon 5
#2 Burn by Usher vs. #3 If I Ain't Got You by Alicia Keys
2005
#1 We Belong Together by Mariah Carey vs. #4 Since U Been Gone by Kelly Clarkson
#2 Hollaback Girl by Gwen Stefani vs. #3 Let Me Love You by Mario
2006
#1 Bad Day by Daniel Powter vs. #4 You're Beautiful by James Blunt
#2 Temperature by Sean Paul vs. #3 Promiscuous by Nelly Furtado & Timbaland
2007
#1 Irreplaceable by Beyoncé vs. #4 Big Girls Don't Cry by Fergie
#2 Umbrella by Rihanna & Jay Z vs. #3 The Sweet Escape by Gwen Stefani
2008
#1 Low by Flo Rida vs. #4 Lollipop by Lil Wayne
#2 Bleeding Love by Leona Lewis vs. #3 No One by Alicia Keys
2009
#1 Boom Boom Pow by The Black Eyed Peas vs. #4 I Gotta Feeling by The Black Eyed Peas
#2 Poker Face by Lady Gaga vs. #3 Just Dance by Lady Gaga
2010
#1 Tik Tok by Ke$ha vs. #4 California Gurls by Katy Perry & Snoop Dogg
#2 Need You Now by Lady Antebellum vs. #3 Hey, Soul Sister by Train
2011
#1 Rolling In The Deep by Adele vs. #4 E.T. by Katy Perry & Kanye West
#2 Party Rock Anthem by LMFAO vs. #3 Firework by Katy Perry
2012
#1 Somebody That I Used To Know by Gotye & Kimbra vs. #4 Payphone by Maroon 5
#2 Call Me Maybe by Carly Rae Jepsen vs. #3 We Are Young by fun.
2013
#1 Thrift Shop by Macklemore & Ryan Lewis vs. #4 Harlem Shake by Bauuer
#2 Blurred Lines by Robin Thicke vs. #3 Radioactive by Imagine Dragons
2014
#1 Happy by Pharrell Williams vs. #4 Fancy by Iggy Azalea & Charli XCX
#2 Dark Horse by Katy Perry & Juicy J vs. #3 All Of Me by John Legend
2015
#1 Uptown Funk by Mark Ronson & Bruno Mars vs. #4 Trap Queen by Fetty Wap
#2 Thinking Out Loud by Ed Sheeran vs. #3 See You Again by Wiz Khalifa & Charlie Puth10Embed"
